Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2020,Mar 2021
Quarterly Results,Sales,1726,2180,2426,2091,2053,2579,2708,2607,2422,2893,3077,3199,3079,,,
Quarterly Results,Expenses,1441,1724,1835,1654,1636,1924,2025,2000,1836,2212,2226,2383,2396,,,
Quarterly Results,Operating Profit,285,456,591,437,417,655,683,606,586,682,850,816,683,,,
Quarterly Results,OPM %,16%,21%,24%,21%,20%,25%,25%,23%,24%,24%,28%,26%,22%,,,
Quarterly Results,Other Income,39,20,31,40,50,63,63,75,94,105,112,87,249,,,
Quarterly Results,Interest,13,16,10,13,5,6,9,9,9,11,7,221,191,,,
Quarterly Results,Depreciation,47,78,79,85,85,87,96,110,100,108,106,187,231,,,
Quarterly Results,Profit before tax,263,382,533,379,377,624,641,562,572,668,849,495,511,,,
Quarterly Results,Tax %,27%,22%,21%,22%,22%,21%,20%,18%,17%,19%,22%,22%,17%,,,
Quarterly Results,Net Profit,193,298,423,296,294,494,511,460,477,543,659,385,425,,,
Quarterly Results,EPS in Rs,4.75,7.30,10.48,7.09,7.13,12.15,12.51,11.33,11.76,13.39,16.31,9.22,10.20,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,7782,,,,8749,,,,10335,,,,12207,3334,5865,6214
Profit & Loss,Expenses,5791,,,,6848,,,,7796,,,,9190,2748,4427,4565
Profit & Loss,Operating Profit,1991,,,,1902,,,,2538,,,,3018,586,1438,1649
Profit & Loss,OPM %,26%,,,,22%,,,,25%,,,,25%,18%,25%,27%
Profit & Loss,Other Income,210,,,,141,,,,294,,,,554,76,122,183
Profit & Loss,Interest,60,,,,46,,,,35,,,,429,2,23,21
Profit & Loss,Depreciation,167,,,,326,,,,398,,,,621,39,99,119
Profit & Loss,Profit before tax,1975,,,,1671,,,,2399,,,,2521,621,1438,1692
Profit & Loss,Tax %,26%,,,,22%,,,,19%,,,,20%,29%,27%,24%
Profit & Loss,Net Profit,1453,,,,1310,,,,1942,,,,2011,445,1056,1293
Profit & Loss,EPS in Rs,35.78,,,,32.00,,,,47.75,,,,48.26,219.33,25.72,31.59
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,24%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,40,,,,40,,,,40,,,,41,20,40,40
Balance Sheet,Reserves,6115,,,,7395,,,,9323,,,,14291,2035,3445,4682
Balance Sheet,Borrowings,873,,,,170,,,,207,,,,8511,0,131,241
Balance Sheet,Other Liabilities,2080,,,,2080,,,,2313,,,,4916,968,1449,1397
Balance Sheet,Total Liabilities,9108,,,,9686,,,,11883,,,,27760,3022,5065,6360
Balance Sheet,Fixed Assets,3588,,,,4251,,,,4545,,,,19524,316,1600,1664
Balance Sheet,CWIP,701,,,,550,,,,282,,,,306,47,317,372
Balance Sheet,Investments,1109,,,,1346,,,,2568,,,,2042,959,829,1512
Balance Sheet,Other Assets,3709,,,,3538,,,,4488,,,,5887,1700,2319,2811
Balance Sheet,Total Assets,9108,,,,9686,,,,11883,,,,27760,3022,5065,6360
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,920,,,,1813,,,,2152,,,,2413,,1070,1137
Cash Flows,Cash from Investing Activity,-1369,,,,-1052,,,,-2081,,,,-12683,,-436,-1222
Cash Flows,Cash from Financing Activity,605,,,,-740,,,,5,,,,10233,,-531,-8
Cash Flows,Net Cash Flow,156,,,,22,,,,77,,,,-37,,103,-92
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,18,,,,24,,,,30,,,,46,22,33,19
Ratios,Inventory Days,265,,,,188,,,,179,,,,219,166,175,243
Ratios,Days Payable,162,,,,126,,,,127,,,,119,71,145,137
Ratios,Cash Conversion Cycle,121,,,,86,,,,82,,,,146,117,63,125
Ratios,Working Capital Days,62,,,,45,,,,41,,,,112,56,35,43
Ratios,ROCE %,32%,,,,22%,,,,26%,,,,18%,,,37%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,76.50%,76.50%,76.50%,74.88%,74.87%,74.87%,72.71%,72.70%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.18%,4.18%,6.74%,9.87%,11.58%,12.37%,13.34%,12.92%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,4.65%,4.56%,9.78%,11.14%,9.94%,9.91%,11.05%,11.47%,,,
Shareholding Pattern (Quarterly),Public,,,,,,14.67%,14.76%,6.97%,4.10%,3.61%,2.86%,2.89%,2.89%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,131918,134731,127449,135116,153450,163854,171281,180597,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,74.88%,,,,72.70%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,9.87%,,,,12.92%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,11.14%,,,,11.47%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,4.10%,,,,2.89%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,135116,,,,180597,,,
,,,,,,,,,,,,,,,,,
