Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Quarterly Results,Sales,124.32,104.38,154.28,129.70,104.17,108.91,168.90,110.61,105.10,117.99,138.32,123.92,149.79,,,,,
Quarterly Results,Expenses,115.66,104.02,176.19,121.24,93.83,100.06,159.29,100.62,94.89,107.12,125.98,108.21,130.13,,,,,
Quarterly Results,Operating Profit,8.66,0.36,-21.91,8.46,10.34,8.85,9.61,9.99,10.21,10.87,12.34,15.71,19.66,,,,,
Quarterly Results,OPM %,6.97%,0.34%,-14.20%,6.52%,9.93%,8.13%,5.69%,9.03%,9.71%,9.21%,8.92%,12.68%,13.13%,,,,,
Quarterly Results,Other Income,0.32,0.28,0.03,0.64,0.02,0.42,0.07,0.04,0.25,0.21,0.11,0.01,0.01,,,,,
Quarterly Results,Interest,2.91,3.68,3.68,3.83,3.24,4.30,3.81,3.82,3.69,3.94,4.16,5.83,7.55,,,,,
Quarterly Results,Depreciation,3.37,3.85,4.67,4.30,4.72,4.44,5.13,5.18,5.09,5.05,5.19,5.05,5.53,,,,,
Quarterly Results,Profit before tax,2.70,-6.89,-30.23,0.97,2.40,0.53,0.74,1.03,1.68,2.09,3.10,4.84,6.59,,,,,
Quarterly Results,Tax %,51.11%,0.00%,-29.21%,49.48%,75.83%,43.40%,14.86%,12.62%,-45.24%,20.10%,30.65%,24.79%,22.15%,,,,,
Quarterly Results,Net Profit,1.32,-6.89,-21.40,0.49,0.57,0.31,0.63,0.90,2.45,1.67,2.15,3.64,5.14,,,,,
Quarterly Results,EPS in Rs,1.54,-8.04,-24.99,0.57,0.67,0.36,0.74,1.05,2.86,1.95,2.51,4.25,6.00,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,491,,,,493,,,,494,,,,530,375,338,,,
Profit & Loss,Expenses,400,,,,495,,,,455,,,,471,288,210,,,
Profit & Loss,Operating Profit,91,,,,-3,,,,39,,,,59,86,128,,,
Profit & Loss,OPM %,19%,,,,-1%,,,,8%,,,,11%,23%,38%,,,
Profit & Loss,Other Income,1,,,,0,,,,1,,,,0,-9,1,,,
Profit & Loss,Interest,4,,,,14,,,,16,,,,21,5,1,,,
Profit & Loss,Depreciation,15,,,,18,,,,20,,,,21,9,14,,,
Profit & Loss,Profit before tax,73,,,,-34,,,,4,,,,17,63,114,,,
Profit & Loss,Tax %,27%,,,,-19%,,,,-8%,,,,24%,24%,26%,,,
Profit & Loss,Net Profit,54,,,,-27,,,,4,,,,13,48,85,,,
Profit & Loss,EPS in Rs,62.75,,,,-31.78,,,,5.15,,,,14.71,55.98,98.99,,,
Profit & Loss,Dividend Payout %,2%,,,,0%,,,,0%,,,,0%,2%,2%,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,,,,9,,,,9,,,,9,9,9,,,
Balance Sheet,Reserves,296,,,,267,,,,272,,,,285,159,243,,,
