Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,418,434,453,480,486,500,531,586,560,591,642,682,708,,,,,,,,
Quarterly Results,Expenses,354,361,372,403,376,398,417,453,450,462,506,543,583,,,,,,,,
Quarterly Results,Operating Profit,64,73,80,77,110,102,114,133,110,128,136,139,126,,,,,,,,
Quarterly Results,OPM %,15%,17%,18%,16%,23%,20%,21%,23%,20%,22%,21%,20%,18%,,,,,,,,
Quarterly Results,Other Income,15,16,14,18,11,10,19,5,17,15,11,28,17,,,,,,,,
Quarterly Results,Interest,5,2,3,2,2,2,2,3,5,3,3,3,3,,,,,,,,
Quarterly Results,Depreciation,21,11,14,13,14,14,18,22,21,20,20,21,23,,,,,,,,
Quarterly Results,Profit before tax,53,76,78,79,104,97,114,113,100,120,125,143,116,,,,,,,,
Quarterly Results,Tax %,44%,21%,23%,21%,21%,27%,26%,26%,23%,26%,22%,27%,22%,,,,,,,,
Quarterly Results,Net Profit,30,60,60,62,83,70,84,83,78,89,98,105,91,,,,,,,,
Quarterly Results,EPS in Rs,0.69,1.46,1.51,1.57,1.81,1.52,1.84,1.84,1.73,1.96,2.13,2.31,2.00,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1491,,,,1852,,,,2177,,,,2623,630,797,893,767,913,1000,1134,1376
Profit & Loss,Expenses,1232,,,,1513,,,,1719,,,,2094,512,612,757,722,834,868,942,1037
Profit & Loss,Operating Profit,259,,,,340,,,,459,,,,529,118,185,136,45,78,132,192,340
Profit & Loss,OPM %,17%,,,,18%,,,,21%,,,,20%,19%,23%,15%,6%,9%,13%,17%,25%
Profit & Loss,Other Income,42,,,,59,,,,50,,,,70,4,3,9,7,8,5,0,7
Profit & Loss,Interest,8,,,,9,,,,11,,,,12,19,16,10,7,10,10,9,8
Profit & Loss,Depreciation,45,,,,52,,,,74,,,,83,16,16,28,30,27,23,27,36
Profit & Loss,Profit before tax,248,,,,338,,,,424,,,,504,86,156,107,15,50,104,157,302
Profit & Loss,Tax %,25%,,,,21%,,,,26%,,,,24%,15%,28%,23%,24%,28%,23%,23%,21%
Profit & Loss,Net Profit,187,,,,265,,,,315,,,,383,74,112,83,11,36,80,121,239
Profit & Loss,EPS in Rs,4.51,,,,5.88,,,,6.92,,,,8.40,1.87,2.67,1.92,0.22,0.80,1.87,2.95,5.76
Profit & Loss,Dividend Payout %,6%,,,,9%,,,,9%,,,,10%,5%,4%,21%,23%,6%,3%,3%,4%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,41,,,,45,,,,45,,,,45,39,41,41,41,41,41,41,41
Balance Sheet,Reserves,1161,,,,1700,,,,2020,,,,2422,90,326,401,392,430,502,595,846
Balance Sheet,Borrowings,111,,,,123,,,,244,,,,322,173,101,100,110,118,100,30,34
Balance Sheet,Other Liabilities,323,,,,322,,,,372,,,,451,188,207,180,209,142,160,236,307
Balance Sheet,Total Liabilities,1636,,,,2190,,,,2681,,,,3240,490,676,722,752,731,802,902,1228
Balance Sheet,Fixed Assets,428,,,,486,,,,776,,,,1000,146,166,270,267,279,270,303,309
Balance Sheet,CWIP,3,,,,10,,,,9,,,,9,0,0,0,0,0,0,0,12
Balance Sheet,Investments,0,,,,1,,,,27,,,,1,0,0,0,0,0,0,0,0
Balance Sheet,Other Assets,1205,,,,1694,,,,1869,,,,2230,344,510,452,484,451,533,599,907
Balance Sheet,Total Assets,1636,,,,2190,,,,2681,,,,3240,490,676,722,752,731,802,902,1228
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,99,,,,237,,,,230,,,,207,65,155,31,14,50,27,233,179
Cash Flows,Cash from Investing Activity,-84,,,,-259,,,,-141,,,,-49,-4,-33,-123,-21,-39,-13,-60,-45
Cash Flows,Cash from Financing Activity,80,,,,198,,,,-69,,,,-65,-29,17,-58,-3,3,-21,-114,-15
Cash Flows,Net Cash Flow,94,,,,176,,,,21,,,,93,31,138,-150,-10,15,-7,60,118
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,97,,,,82,,,,76,,,,75,98,84,89,118,71,64,78,72
Ratios,Inventory Days,216,,,,192,,,,217,,,,270,102,107,120,151,152,215,155,248
Ratios,Days Payable,102,,,,91,,,,94,,,,98,83,88,85,129,54,78,71,103
Ratios,Cash Conversion Cycle,211,,,,183,,,,199,,,,247,118,103,124,140,169,202,163,217
Ratios,Working Capital Days,138,,,,133,,,,138,,,,150,48,55,95,130,117,133,94,110
Ratios,ROCE %,23%,,,,22%,,,,21%,,,,20%,37%,44%,23%,4%,10%,18%,25%,38%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,48.25%,48.60%,49.00%,43.85%,43.85%,43.85%,43.85%,43.85%,43.87%,43.87%,43.87%,43.87%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,4.04%,4.06%,4.23%,15.11%,14.90%,15.07%,15.55%,15.57%,18.59%,21.31%,21.95%,22.19%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.94%,0.95%,0.96%,1.46%,3.65%,4.02%,4.76%,5.17%,3.75%,4.10%,4.30%,4.55%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,46.77%,46.38%,45.79%,39.57%,37.60%,37.06%,35.81%,35.40%,33.77%,30.70%,29.88%,29.37%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,221359,217743,213123,198382,188447,207937,237377,254699,235500,248845,259813,257273,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,48.25%,,,,43.85%,,,,43.85%,,,,43.87%,,,,48.25%,48.25%,48.25%,48.25%,48.25%
