Section,,Dec 2022,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,125,136,141,166,167,168,181,186,189,,,,
Quarterly Results,Expenses,95,105,118,132,130,132,142,146,148,,,,
Quarterly Results,Operating Profit,31,31,22,34,37,35,38,40,41,,,,
Quarterly Results,OPM %,24%,23%,16%,20%,22%,21%,21%,21%,22%,,,,
Quarterly Results,Other Income,6,2,5,4,4,5,6,4,8,,,,
Quarterly Results,Interest,1,1,1,1,1,2,2,2,4,,,,
Quarterly Results,Depreciation,6,8,8,11,12,14,14,14,14,,,,
Quarterly Results,Profit before tax,30,23,18,26,28,25,30,27,30,,,,
Quarterly Results,Tax %,28%,32%,3%,17%,9%,24%,29%,-10%,28%,,,,
Quarterly Results,Net Profit,22,16,18,21,26,19,21,30,22,,,,
Quarterly Results,EPS in Rs,3.13,2.30,2.58,2.98,3.58,2.68,2.99,4.19,3.05,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,505,,,635,,,,723,277,319,323,394
Profit & Loss,Expenses,,385,,,501,,,,569,194,237,247,302
Profit & Loss,Operating Profit,,120,,,133,,,,154,82,82,76,92
Profit & Loss,OPM %,,24%,,,21%,,,,21%,30%,26%,23%,23%
Profit & Loss,Other Income,,12,,,-5,,,,24,-14,7,11,21
Profit & Loss,Interest,,3,,,3,,,,10,4,4,6,3
Profit & Loss,Depreciation,,27,,,43,,,,56,23,27,32,28
Profit & Loss,Profit before tax,,102,,,82,,,,112,41,59,49,81
Profit & Loss,Tax %,,28%,,,16%,,,,18%,37%,41%,47%,21%
Profit & Loss,Net Profit,,74,,,69,,,,92,26,35,26,64
Profit & Loss,EPS in Rs,,10.76,,,9.53,,,,12.89,7254.85,9576.18,7064.52,9.33
Profit & Loss,Dividend Payout %,,18%,,,42%,,,,0%,0%,0%,0%,20%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,34,,,35,,,,35,0.04,0.04,0.04,34
Balance Sheet,Reserves,,342,,,437,,,,506,218,212,290,303
Balance Sheet,Borrowings,,31,,,26,,,,204,98,115,35,27
Balance Sheet,Other Liabilities,,295,,,344,,,,413,202,231,220,238
Balance Sheet,Total Liabilities,,702,,,842,,,,1158,518,558,545,602
Balance Sheet,Fixed Assets,,171,,,246,,,,310,142,138,119,99
Balance Sheet,CWIP,,0,,,3,,,,0,3,1,1,6
Balance Sheet,Investments,,44,,,77,,,,274,88,72,111,201
Balance Sheet,Other Assets,,487,,,516,,,,574,285,347,315,296
Balance Sheet,Total Assets,,702,,,842,,,,1158,518,558,545,602
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,81,,,66,,,,138,35,19,139,64
Cash Flows,Cash from Investing Activity,,-10,,,-55,,,,-218,-21,-22,-61,-83
Cash Flows,Cash from Financing Activity,,-32,,,-15,,,,112,-10,-12,-10,-30
Cash Flows,Net Cash Flow,,39,,,-3,,,,32,4,-15,69,-49
,,,,,,,,,,,,,,
Ratios,Debtor Days,,92,,,103,,,,112,119,78,137,110
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,92,,,103,,,,112,119,78,137,110
Ratios,Working Capital Days,,-57,,,-37,,,,106,-2,-11,-62,-50
Ratios,ROCE %,,26%,,,23%,,,,19%,,20%,19%,23%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,38.91%,38.85%,20.60%,20.56%,20.56%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,9.67%,9.76%,16.25%,14.04%,13.26%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,30.60%,29.18%,41.33%,42.72%,42.91%,,,,
Shareholding Pattern (Quarterly),Public,,,,,20.80%,22.21%,21.83%,22.68%,23.25%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,92833,78445,88203,95871,99984,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,38.91%,,,,20.56%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,9.67%,,,,13.26%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,30.60%,,,,42.91%,,,,
Shareholding Pattern (Yearly),Public,,,,,20.80%,,,,23.25%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,92833,,,,99984,,,,
,,,,,,,,,,,,,,
