Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,403,508,476,599,544,583,556,636,583,576,585,703,643,,,,,,,,
Quarterly Results,Expenses,273,325,329,394,401,396,400,437,424,396,431,478,446,,,,,,,,
Quarterly Results,Operating Profit,130,183,147,205,144,187,155,199,159,180,155,225,197,,,,,,,,
Quarterly Results,OPM %,32%,36%,31%,34%,26%,32%,28%,31%,27%,31%,26%,32%,31%,,,,,,,,
Quarterly Results,Other Income,13,9,12,15,19,14,16,16,26,23,23,24,23,,,,,,,,
Quarterly Results,Interest,15,13,15,17,18,18,20,20,20,21,22,23,24,,,,,,,,
Quarterly Results,Depreciation,35,39,41,50,50,54,57,59,59,60,62,66,70,,,,,,,,
Quarterly Results,Profit before tax,94,140,103,152,95,128,95,136,105,123,94,160,126,,,,,,,,
Quarterly Results,Tax %,27%,25%,25%,26%,28%,28%,29%,28%,-48%,25%,24%,41%,24%,,,,,,,,
Quarterly Results,Net Profit,70,106,78,113,69,94,68,99,156,92,72,95,95,,,,,,,,
Quarterly Results,EPS in Rs,2.53,3.86,2.81,4.12,2.52,3.42,2.45,3.60,5.71,3.37,2.56,3.48,3.48,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1343,,,,2127,,,,2357,,,,2507,668,732,803,910,1075,1217,1285,800
Profit & Loss,Expenses,930,,,,1447,,,,1653,,,,1750,546,600,663,758,848,880,930,625
Profit & Loss,Operating Profit,412,,,,680,,,,704,,,,757,122,132,140,152,227,337,355,175
Profit & Loss,OPM %,31%,,,,32%,,,,30%,,,,30%,18%,18%,17%,17%,21%,28%,28%,22%
Profit & Loss,Other Income,55,,,,53,,,,66,,,,95,3,6,7,9,8,19,23,76
Profit & Loss,Interest,50,,,,63,,,,79,,,,90,1,1,1,0,0,34,40,45
Profit & Loss,Depreciation,134,,,,181,,,,229,,,,258,11,12,13,16,20,94,121,122
Profit & Loss,Profit before tax,283,,,,489,,,,462,,,,504,113,125,133,144,215,228,218,85
Profit & Loss,Tax %,25%,,,,26%,,,,11%,,,,30%,34%,34%,34%,35%,34%,34%,27%,23%
Profit & Loss,Net Profit,214,,,,365,,,,415,,,,354,75,82,87,95,142,153,161,65
Profit & Loss,EPS in Rs,7.79,,,,13.30,,,,15.17,,,,12.88,50.63,55.83,57.67,61.80,94.39,11.13,11.80,2.57
Profit & Loss,Dividend Payout %,29%,,,,30%,,,,33%,,,,155%,22%,21%,22%,22%,21%,22%,25%,58%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,136,,,,136,,,,136,,,,136,15,15,15,15,15,133,133,133
Balance Sheet,Reserves,1129,,,,1412,,,,1728,,,,1573,260,318,381,449,562,517,675,695
Balance Sheet,Borrowings,692,,,,943,,,,1098,,,,1227,7,8,3,3,6,424,549,567
Balance Sheet,Other Liabilities,348,,,,416,,,,391,,,,398,118,114,118,170,189,247,261,265
Balance Sheet,Total Liabilities,2305,,,,2906,,,,3353,,,,3334,399,455,517,636,772,1322,1617,1659
Balance Sheet,Fixed Assets,848,,,,1302,,,,1482,,,,1603,68,122,135,172,185,593,708,724
Balance Sheet,CWIP,6,,,,18,,,,9,,,,8,2,0,1,4,6,4,13,5
Balance Sheet,Investments,401,,,,478,,,,750,,,,550,78,37,76,83,185,210,348,400
Balance Sheet,Other Assets,1050,,,,1109,,,,1111,,,,1173,251,296,305,377,397,515,548,532
Balance Sheet,Total Assets,2305,,,,2906,,,,3353,,,,3334,399,455,517,636,772,1322,1617,1659
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,220,,,,381,,,,590,,,,698,,,,82,155,196,273,265
Cash Flows,Cash from Investing Activity,-301,,,,-52,,,,-251,,,,122,,,,-83,-94,-67,-163,-122
Cash Flows,Cash from Financing Activity,116,,,,-359,,,,-323,,,,-773,,,,-1,-50,-132,-112,-127
Cash Flows,Net Cash Flow,35,,,,-30,,,,16,,,,47,,,,-1,10,-4,-1,16
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,13,,,,18,,,,12,,,,13,10,11,10,13,13,16,20,23
Ratios,Inventory Days,284,,,,276,,,,274,,,,219,209,230,218,221,214,243,241,293
Ratios,Days Payable,141,,,,126,,,,99,,,,78,85,92,82,89,108,129,129,207
