Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM,Mar 2014
Quarterly Results,Sales,2.42,2.08,7.40,11.01,8.26,10.31,17.49,22.96,10.71,27.46,11.75,44.85,11.61,,,,,,,,,,,
Quarterly Results,Expenses,3.16,2.60,7.07,8.60,6.16,7.32,14.90,17.55,8.12,23.82,8.30,36.49,7.50,,,,,,,,,,,
Quarterly Results,Operating Profit,-0.74,-0.52,0.33,2.41,2.10,2.99,2.59,5.41,2.59,3.64,3.45,8.36,4.11,,,,,,,,,,,
Quarterly Results,OPM %,-30.58%,-25.00%,4.46%,21.89%,25.42%,29.00%,14.81%,23.56%,24.18%,13.26%,29.36%,18.64%,35.40%,,,,,,,,,,,
Quarterly Results,Other Income,0.24,1.26,-0.28,0.72,0.22,6.78,0.82,0.86,0.22,0.23,0.49,0.31,0.14,,,,,,,,,,,
Quarterly Results,Interest,0.12,0.21,0.30,0.16,0.54,0.48,0.35,0.42,0.46,1.35,1.38,1.42,1.67,,,,,,,,,,,
Quarterly Results,Depreciation,0.62,0.54,0.67,0.54,0.55,0.38,0.35,0.37,0.39,0.39,0.39,0.44,0.91,,,,,,,,,,,
Quarterly Results,Profit before tax,-1.24,-0.01,-0.92,2.43,1.23,8.91,2.71,5.48,1.96,2.13,2.17,6.81,1.67,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,-0.81%,1.23%,0.00%,-804.93%,0.00%,0.00%,0.00%,47.58%,0.00%,,,,,,,,,,,
Quarterly Results,Net Profit,-1.24,-0.01,-0.92,2.43,1.24,8.80,2.71,49.59,1.97,2.13,2.17,3.57,1.67,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.06,-0.00,-0.04,0.11,0.06,0.39,0.12,2.24,0.08,0.09,0.09,0.15,0.07,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,22.91,,,,54.57,,,,94.76,,91.83,150.45,206.75,217.93,158.62,4.84,1.86,1.09,44.95,95.67,
Profit & Loss,Expenses,,,,21.41,,,,42.27,,,,76.72,,88.19,139.69,162.87,215.75,162.94,24.56,18.95,2.73,38.27,76.11,
Profit & Loss,Operating Profit,,,,1.50,,,,12.30,,,,18.04,,3.64,10.76,43.88,2.18,-4.32,-19.72,-17.09,-1.64,6.68,19.56,
Profit & Loss,OPM %,,,,6.55%,,,,22.54%,,,,19.04%,,3.96%,7.15%,21.22%,1.00%,-2.72%,-407.44%,-918.82%,-150.46%,14.86%,20.45%,
Profit & Loss,Other Income,,,,1.94,,,,8.61,,,,1.24,,-53.16,3.60,-192.76,2.15,-95.02,0.38,1.00,3.14,1.31,1.17,
Profit & Loss,Interest,,,,0.80,,,,1.64,,,,4.61,,9.28,6.51,0.47,28.52,24.42,0.49,0.33,0.09,2.05,5.82,
Profit & Loss,Depreciation,,,,2.37,,,,1.54,,,,1.61,,4.60,7.83,7.51,7.81,7.75,7.66,7.53,6.82,2.91,2.13,
Profit & Loss,Profit before tax,,,,0.27,,,,17.73,,,,13.06,,-63.40,0.02,-156.86,-32.00,-131.51,-27.49,-23.95,-5.41,3.03,12.78,
Profit & Loss,Tax %,,,,0.00%,,,,-248.79%,,,,24.81%,,-28.91%,-8900.00%,-29.31%,9.06%,45.51%,0.00%,0.00%,0.00%,0.33%,,
Profit & Loss,Net Profit,,,,0.26,,,,61.84,,,,9.83,,-45.06,1.80,-110.89,-34.90,-191.36,-27.49,-23.95,-5.42,3.01,9.54,
Profit & Loss,EPS in Rs,,,,0.01,,,,2.79,,,,0.41,,-4.40,0.15,-6.67,-1.58,-8.69,-1.25,-1.09,-0.25,0.14,0.40,
Profit & Loss,Dividend Payout %,,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,44.29,,,,44.29,,,,48.20,,,23.78,33.23,44.05,44.05,44.05,44.05,44.05,44.29,,20.50
Balance Sheet,Reserves,,,,18.73,,,,77.67,,,,174.39,,,286.12,197.51,69.34,-121.40,-148.48,-171.94,-39.04,18.49,,279.06
Balance Sheet,Borrowings,,,,16.56,,,,11.61,,,,43.57,,,161.04,156.62,103.62,117.17,117.17,134.64,32.85,7.88,,158.39
Balance Sheet,Other Liabilities,,,,7.82,,,,7.19,,,,47.83,,,121.93,98.18,124.99,160.39,165.40,153.86,27.09,4.42,,117.56
Balance Sheet,Total Liabilities,,,,87.40,,,,140.76,,,,313.99,,,592.87,485.54,342.00,200.21,178.14,160.61,64.95,75.08,,575.51
Balance Sheet,Fixed Assets,,,,43.42,,,,25.97,,,,48.72,,,127.50,120.26,92.54,89.80,82.14,74.61,46.33,47.07,,144.98
Balance Sheet,CWIP,,,,9.85,,,,0.00,,,,0.00,,,17.24,17.24,6.65,1.83,1.83,1.83,0.00,4.62,,17.24
