Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,323,115,181,231,345,188,227,252,406,163,262,238,411,,,,
Quarterly Results,Expenses,201,82,122,166,244,146,191,216,325,140,213,186,317,,,,
Quarterly Results,Operating Profit,122,33,59,66,100,42,36,36,80,23,49,52,93,,,,
Quarterly Results,OPM %,38%,29%,32%,28%,29%,22%,16%,14%,20%,14%,19%,22%,23%,,,,
Quarterly Results,Other Income,16,7,9,9,12,8,8,7,8,8,9,7,8,,,,
Quarterly Results,Interest,15,5,6,7,8,9,9,9,8,7,8,7,7,,,,
Quarterly Results,Depreciation,12,12,13,14,14,14,14,14,15,15,16,16,16,,,,
Quarterly Results,Profit before tax,111,23,49,54,91,27,21,19,65,9,34,36,77,,,,
Quarterly Results,Tax %,27%,24%,31%,28%,27%,30%,33%,33%,28%,42%,30%,30%,27%,,,,
Quarterly Results,Net Profit,81,18,34,39,66,19,14,13,46,5,24,26,56,,,,
Quarterly Results,EPS in Rs,4.33,0.95,1.79,2.06,3.54,1.00,0.74,0.68,2.47,0.28,1.27,1.36,3.00,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,859,,,,872,,,,1073,,,,1074,711,713,813,
Profit & Loss,Expenses,596,,,,613,,,,878,,,,856,526,515,567,
Profit & Loss,Operating Profit,263,,,,259,,,,195,,,,218,185,197,246,
Profit & Loss,OPM %,31%,,,,30%,,,,18%,,,,20%,26%,28%,30%,
Profit & Loss,Other Income,32,,,,38,,,,30,,,,32,37,36,20,
Profit & Loss,Interest,23,,,,27,,,,35,,,,29,7,7,13,
Profit & Loss,Depreciation,33,,,,53,,,,59,,,,63,23,26,27,
Profit & Loss,Profit before tax,239,,,,217,,,,131,,,,157,191,200,226,
Profit & Loss,Tax %,26%,,,,28%,,,,30%,,,,29%,32%,21%,26%,
Profit & Loss,Net Profit,177,,,,156,,,,92,,,,111,131,158,166,
Profit & Loss,EPS in Rs,9.43,,,,8.34,,,,4.90,,,,5.92,6.97,8.44,8.88,
Profit & Loss,Dividend Payout %,33%,,,,40%,,,,29%,,,,0%,31%,30%,31%,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,187,,,,187,,,,187,,,,187,187,187,187,
Balance Sheet,Reserves,1002,,,,1098,,,,1132,,,,1228,647,769,884,
Balance Sheet,Borrowings,360,,,,489,,,,433,,,,350,107,134,160,
Balance Sheet,Other Liabilities,1230,,,,1089,,,,1154,,,,1150,883,1306,1228,
Balance Sheet,Total Liabilities,2779,,,,2863,,,,2905,,,,2915,1825,2396,2459,
Balance Sheet,Fixed Assets,938,,,,1016,,,,1032,,,,1074,425,441,429,
Balance Sheet,CWIP,132,,,,80,,,,83,,,,25,175,405,549,
Balance Sheet,Investments,21,,,,21,,,,22,,,,25,2,20,21,
Balance Sheet,Other Assets,1688,,,,1746,,,,1769,,,,1790,1223,1530,1461,
Balance Sheet,Total Assets,2779,,,,2863,,,,2905,,,,2915,1825,2396,2459,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5,,,,-35,,,,216,,,,217,296,204,176,
Cash Flows,Cash from Investing Activity,-68,,,,-3,,,,-65,,,,-96,-205,-195,-115,
Cash Flows,Cash from Financing Activity,39,,,,43,,,,-148,,,,-126,-78,-13,-37,
Cash Flows,Net Cash Flow,-24,,,,4,,,,2,,,,-6,13,-4,24,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,130,,,,132,,,,110,,,,139,181,152,173,
Ratios,Inventory Days,2088,,,,2745,,,,,,,,1086,984,2784,1381,
Ratios,Days Payable,336,,,,357,,,,,,,,79,248,394,148,
Ratios,Cash Conversion Cycle,1882,,,,2520,,,,110,,,,1146,916,2542,1407,
Ratios,Working Capital Days,453,,,,531,,,,431,,,,435,277,430,393,
Ratios,ROCE %,19%,,,,15%,,,,9%,,,,11%,,20%,21%,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,74.00%,,,,
Shareholding Pattern (Quarterly),FIIs,,0.51%,0.52%,0.52%,0.58%,0.95%,1.19%,0.96%,1.07%,1.27%,1.42%,1.26%,1.65%,,,,
Shareholding Pattern (Quarterly),DIIs,,14.59%,15.57%,13.76%,13.82%,13.11%,12.48%,11.84%,11.04%,9.33%,8.44%,8.48%,8.79%,,,,
Shareholding Pattern (Quarterly),Public,,10.91%,9.90%,11.71%,11.61%,11.93%,12.33%,13.20%,13.88%,15.40%,16.13%,16.25%,15.55%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,85599,78813,81201,82463,78588,93631,101808,123007,142559,153279,156888,157106,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.00%,,,,74.00%,,,,74.00%,,,,74.00%,74.00%,74.00%,74.00%,74.00%
Shareholding Pattern (Yearly),FIIs,0.31%,,,,0.58%,,,,1.07%,,,,1.65%,0.51%,0.72%,0.44%,0.00%
Shareholding Pattern (Yearly),DIIs,14.74%,,,,13.82%,,,,11.04%,,,,8.79%,19.50%,18.78%,14.19%,18.62%
Shareholding Pattern (Yearly),Public,10.95%,,,,11.61%,,,,13.88%,,,,15.55%,5.99%,6.50%,11.37%,7.38%
Shareholding Pattern (Yearly),No. of Shareholders,86505,,,,82463,,,,123007,,,,157106,32646,42778,87620,38201
,,,,,,,,,,,,,,,,,,
