Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Quarterly Results,Sales,165.13,186.01,176.25,129.87,160.87,127.60,208.70,141.67,152.39,143.51,201.39,114.38,121.95,,,,,,,,,
Quarterly Results,Expenses,149.70,162.87,156.08,115.91,151.73,118.39,196.66,126.25,140.36,132.99,184.51,111.25,116.33,,,,,,,,,
Quarterly Results,Operating Profit,15.43,23.14,20.17,13.96,9.14,9.21,12.04,15.42,12.03,10.52,16.88,3.13,5.62,,,,,,,,,
Quarterly Results,OPM %,9.34%,12.44%,11.44%,10.75%,5.68%,7.22%,5.77%,10.88%,7.89%,7.33%,8.38%,2.74%,4.61%,,,,,,,,,
Quarterly Results,Other Income,0.09,0.24,0.13,0.16,4.51,2.71,3.19,1.55,0.57,0.21,0.31,0.54,0.46,,,,,,,,,
Quarterly Results,Interest,3.10,2.05,2.71,1.90,3.12,2.02,2.36,3.94,3.48,1.64,2.59,3.73,2.64,,,,,,,,,
Quarterly Results,Depreciation,7.02,6.57,6.32,7.16,5.67,7.04,6.40,7.18,7.71,7.98,7.28,7.77,7.57,,,,,,,,,
Quarterly Results,Profit before tax,5.40,14.76,11.27,5.06,4.86,2.86,6.47,5.85,1.41,1.11,7.32,-7.83,-4.13,,,,,,,,,
Quarterly Results,Tax %,-47.96%,29.13%,20.76%,24.31%,33.95%,14.69%,38.02%,24.96%,14.18%,41.44%,19.54%,-27.46%,6.30%,,,,,,,,,
Quarterly Results,Net Profit,7.98,10.46,8.93,3.83,3.22,2.44,4.01,4.40,1.22,0.64,5.90,-5.69,-4.40,,,,,,,,,
Quarterly Results,EPS in Rs,0.66,0.87,0.74,0.32,0.23,0.18,0.29,0.32,0.09,0.05,0.43,-0.41,-0.32,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1399,,,,653,,,,630,,,,581,225,287,289,936,972,1152,1261,1049,
Profit & Loss,Expenses,1223,,,,590,,,,582,,,,546,207,258,286,775,797,1009,1089,930,
Profit & Loss,Operating Profit,176,,,,63,,,,49,,,,35,18,29,3,161,175,143,172,119,
Profit & Loss,OPM %,13%,,,,10%,,,,8%,,,,6%,8%,10%,1%,17%,18%,12%,14%,11%,
Profit & Loss,Other Income,18,,,,8,,,,8,,,,3,15,21,27,1,-1,3,2,0,
Profit & Loss,Interest,23,,,,10,,,,12,,,,11,7,14,15,26,25,34,46,41,
Profit & Loss,Depreciation,58,,,,26,,,,28,,,,31,7,8,9,29,32,35,63,67,
Profit & Loss,Profit before tax,113,,,,36,,,,17,,,,-4,19,28,6,107,118,76,64,12,
Profit & Loss,Tax %,23%,,,,26%,,,,27%,,,,-7%,37%,37%,44%,33%,33%,36%,26%,30%,
Profit & Loss,Net Profit,86,,,,26,,,,12,,,,-3,12,18,3,72,78,49,48,8,
Profit & Loss,EPS in Rs,7.19,,,,1.91,,,,0.87,,,,-0.24,1.27,1.90,0.35,5.96,6.52,4.06,3.97,0.69,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,39%,26%,86%,15%,14%,22%,23%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,28,,,,28,,,,28,,,,28,19,19,19,24,24,24,24,24,
Balance Sheet,Reserves,481,,,,506,,,,525,,,,537,98,107,113,478,548,588,604,614,
Balance Sheet,Borrowings,49,,,,45,,,,35,,,,48,107,112,113,156,283,357,288,140,
Balance Sheet,Other Liabilities,174,,,,151,,,,131,,,,122,51,62,63,106,146,147,344,392,
Balance Sheet,Total Liabilities,732,,,,729,,,,719,,,,734,274,300,308,764,1002,1115,1260,1170,
Balance Sheet,Fixed Assets,361,,,,399,,,,392,,,,415,111,118,124,354,357,409,585,568,
Balance Sheet,CWIP,4,,,,1,,,,11,,,,2,13,18,30,2,25,5,11,8,
Balance Sheet,Investments,7,,,,7,,,,8,,,,9,6,2,6,1,1,1,1,2,
Balance Sheet,Other Assets,360,,,,322,,,,308,,,,308,145,163,148,408,619,701,663,592,
Balance Sheet,Total Assets,732,,,,729,,,,719,,,,734,274,300,308,764,1002,1115,1260,1170,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-4,,,,47,,,,50,,,,28,-4,29,,114,-24,35,228,238,
Cash Flows,Cash from Investing Activity,55,,,,-53,,,,-25,,,,-29,-18,-19,,-36,-59,-67,-63,-41,
Cash Flows,Cash from Financing Activity,-12,,,,-32,,,,-22,,,,1,12,-10,,-82,89,26,-157,-201,
Cash Flows,Net Cash Flow,39,,,,-39,,,,3,,,,1,-10,-1,,-5,6,-6,8,-3,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,15,,,,48,,,,46,,,,42,44,45,39,26,50,49,41,28,
Ratios,Inventory Days,70,,,,155,,,,149,,,,171,292,218,180,192,291,240,214,264,
Ratios,Days Payable,47,,,,91,,,,73,,,,73,57,59,58,29,65,45,50,68,
Ratios,Cash Conversion Cycle,38,,,,113,,,,121,,,,140,279,204,161,189,275,244,206,224,
Ratios,Working Capital Days,40,,,,106,,,,111,,,,126,179,150,123,120,177,176,134,138,
Ratios,ROCE %,20%,,,,7%,,,,5%,,,,1%,,18%,9%,,19%,12%,12%,6%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.91%,67.95%,68.15%,71.77%,71.77%,71.76%,71.77%,71.39%,71.27%,71.27%,71.27%,71.27%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.42%,3.49%,3.09%,1.56%,2.40%,1.38%,0.47%,0.34%,0.34%,0.30%,0.17%,0.14%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,3.11%,3.87%,4.47%,4.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,25.56%,24.69%,24.30%,22.55%,25.83%,26.85%,27.75%,28.27%,28.38%,28.44%,28.55%,28.57%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,67752,70808,72756,73029,91500,87644,87980,87833,84125,81943,81079,83184,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.91%,,,,71.77%,,,,71.39%,,,,71.27%,,,,73.78%,70.43%,70.22%,70.42%,67.66%,70.87%
Shareholding Pattern (Yearly),FIIs,3.00%,,,,1.56%,,,,0.34%,,,,0.14%,,,,0.42%,3.58%,0.63%,0.06%,0.04%,0.00%
Shareholding Pattern (Yearly),DIIs,0.04%,,,,4.13%,,,,0.00%,,,,0.01%,,,,0.16%,2.88%,0.95%,0.14%,0.04%,2.05%
Shareholding Pattern (Yearly),Public,29.05%,,,,22.55%,,,,28.27%,,,,28.57%,,,,25.64%,23.11%,28.21%,29.37%,32.26%,27.07%
Shareholding Pattern (Yearly),No. of Shareholders,67615,,,,73029,,,,87833,,,,83184,,,,41883,36751,41747,42176,52648,26390
,,,,,,,,,,,,,,,,,,,,,,,
