Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,203,229,265,342,291,269,268,,,
Quarterly Results,Expenses,196,221,266,344,287,317,324,,,
Quarterly Results,Operating Profit,7,8,-1,-1,4,-48,-56,,,
Quarterly Results,OPM %,4%,4%,-0%,-0%,1%,-18%,-21%,,,
Quarterly Results,Other Income,3,2,7,4,3,5,11,,,
Quarterly Results,Interest,5,5,5,7,7,7,7,,,
Quarterly Results,Depreciation,1,1,1,2,3,3,4,,,
Quarterly Results,Profit before tax,5,5,-1,-6,-3,-53,-57,,,
Quarterly Results,Tax %,1%,-2%,5%,4%,8%,4%,-1%,,,
Quarterly Results,Net Profit,5,5,-1,-7,-4,-55,-56,,,
Quarterly Results,EPS in Rs,0.91,0.92,-0.12,-1.16,-0.63,-7.12,-7.21,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,875,,,,1170,289,527,539
Profit & Loss,Expenses,,,853,,,,1272,404,659,617
Profit & Loss,Operating Profit,,,22,,,,-102,-115,-132,-78
Profit & Loss,OPM %,,,3%,,,,-9%,-40%,-25%,-14%
Profit & Loss,Other Income,,,15,,,,22,14,17,22
Profit & Loss,Interest,,,19,,,,27,7,11,20
Profit & Loss,Depreciation,,,4,,,,13,1,2,4
Profit & Loss,Profit before tax,,,14,,,,-120,-110,-128,-81
Profit & Loss,Tax %,,,0%,,,,2%,1%,-0%,4%
Profit & Loss,Net Profit,,,14,,,,-122,-111,-128,-84
Profit & Loss,EPS in Rs,,,2.46,,,,-15.64,-1107.46,-22.41,-14.66
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,11,,,,16,1,11,11
Balance Sheet,Reserves,,,151,,,,573,-35,205,131
Balance Sheet,Borrowings,,,223,,,,292,75,158,206
Balance Sheet,Other Liabilities,,,469,,,,480,383,462,366
Balance Sheet,Total Liabilities,,,855,,,,1360,423,836,714
Balance Sheet,Fixed Assets,,,16,,,,25,1,9,15
Balance Sheet,CWIP,,,0,,,,0,0,0,0
Balance Sheet,Investments,,,5,,,,6,1,1,2
Balance Sheet,Other Assets,,,834,,,,1329,421,826,698
Balance Sheet,Total Assets,,,855,,,,1360,423,836,714
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-22,,,,-68,-35,-321,27
Cash Flows,Cash from Investing Activity,,,27,,,,-313,10,-85,-1
Cash Flows,Cash from Financing Activity,,,3,,,,515,73,329,18
Cash Flows,Net Cash Flow,,,8,,,,133,49,-76,44
,,,,,,,,,,,
Ratios,Debtor Days,,,34,,,,17,48,20,51
Ratios,Inventory Days,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,34,,,,17,48,20,51
Ratios,Working Capital Days,,,-68,,,,-77,-292,-128,-118
Ratios,ROCE %,,,9%,,,,-15%,,-57%,-17%
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,25.18%,25.18%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.83%,3.90%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.85%,4.55%,,,
Shareholding Pattern (Quarterly),Public,,,,,,61.13%,66.38%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,140286,185741,,,
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,25.18%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,3.90%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,4.55%,,,
Shareholding Pattern (Yearly),Public,,,,,,,66.38%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,185741,,,
,,,,,,,,,,,
