Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,37.41,41.67,49.15,53.70,53.83,57.01,71.85,89.63,75.42,80.35,125.63,126.16,134.71,,,,,,,,
Quarterly Results,Expenses,31.68,35.58,43.90,46.18,46.38,49.28,61.63,80.83,68.05,71.49,109.82,109.10,120.36,,,,,,,,
Quarterly Results,Operating Profit,5.73,6.09,5.25,7.52,7.45,7.73,10.22,8.80,7.37,8.86,15.81,17.06,14.35,,,,,,,,
Quarterly Results,OPM %,15.32%,14.61%,10.68%,14.00%,13.84%,13.56%,14.22%,9.82%,9.77%,11.03%,12.58%,13.52%,10.65%,,,,,,,,
Quarterly Results,Other Income,0.57,0.95,3.24,0.62,0.16,1.66,0.84,0.41,0.58,1.50,1.01,1.26,0.20,,,,,,,,
Quarterly Results,Interest,2.10,2.04,2.45,1.71,1.52,1.55,1.53,1.48,1.46,1.62,2.00,2.11,1.74,,,,,,,,
Quarterly Results,Depreciation,3.19,3.45,4.74,4.57,4.57,4.53,5.57,5.26,4.90,4.63,5.09,5.09,4.11,,,,,,,,
Quarterly Results,Profit before tax,1.01,1.55,1.30,1.86,1.52,3.31,3.96,2.47,1.59,4.11,9.73,11.12,8.70,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,4.62%,0.00%,0.00%,3.02%,8.59%,11.34%,45.28%,2.92%,0.00%,0.63%,0.00%,,,,,,,,
Quarterly Results,Net Profit,1.01,1.55,1.24,1.86,1.52,3.21,3.63,2.19,0.87,3.98,9.73,11.06,8.69,,,,,,,,
Quarterly Results,EPS in Rs,0.06,0.10,0.08,0.11,0.09,0.18,0.20,0.12,0.05,0.21,0.51,0.58,0.45,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,148,,,,198,,,,294,,,,467,8,6,5,38,60,75,99,105
Profit & Loss,Expenses,125,,,,172,,,,260,,,,411,14,8,14,37,66,91,114,98
Profit & Loss,Operating Profit,23,,,,26,,,,34,,,,56,-7,-2,-9,0,-5,-16,-15,7
Profit & Loss,OPM %,15%,,,,13%,,,,12%,,,,12%,-88%,-37%,-165%,0%,-9%,-21%,-15%,7%
Profit & Loss,Other Income,5,,,,5,,,,3,,,,4,-1,0,0,3,0,2,-16,2
Profit & Loss,Interest,9,,,,8,,,,6,,,,7,2,2,3,2,5,5,6,9
Profit & Loss,Depreciation,13,,,,17,,,,20,,,,19,0,0,0,0,2,9,9,9
Profit & Loss,Profit before tax,6,,,,6,,,,11,,,,34,-10,-5,-12,1,-13,-28,-46,-9
Profit & Loss,Tax %,0%,,,,1%,,,,13%,,,,1%,0%,0%,0%,9%,0%,3%,-1%,1%
Profit & Loss,Net Profit,6,,,,6,,,,10,,,,33,-10,-5,-12,1,-13,-29,-46,-9
Profit & Loss,EPS in Rs,0.40,,,,0.37,,,,0.53,,,,1.75,-2.13,-1.01,-2.59,0.09,-0.96,-1.96,-2.91,-0.58
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,32,,,,33,,,,38,,,,38,46,9,9,25,26,31,32,32
Balance Sheet,Reserves,33,,,,80,,,,232,,,,290,-52,-22,-34,19,16,72,31,21
Balance Sheet,Borrowings,68,,,,72,,,,69,,,,21,13,16,26,32,55,44,62,63
Balance Sheet,Other Liabilities,29,,,,30,,,,44,,,,94,8,9,10,11,29,37,36,37
Balance Sheet,Total Liabilities,162,,,,215,,,,382,,,,444,15,13,11,87,126,184,161,154
Balance Sheet,Fixed Assets,94,,,,110,,,,236,,,,251,2,0,0,32,48,105,96,91
