Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1051,754,1321,1076,1027,1502,1655,1791,2154,2312,2838,1993,1190,,,,,,,,
Quarterly Results,Expenses,559,553,576,588,584,664,740,703,916,920,1025,932,910,,,,,,,,
Quarterly Results,Operating Profit,493,201,744,488,444,837,915,1089,1238,1393,1813,1061,280,,,,,,,,
Quarterly Results,OPM %,47%,27%,56%,45%,43%,56%,55%,61%,57%,60%,64%,53%,24%,,,,,,,,
Quarterly Results,Other Income,1,4,4,5,6,32,1,6,18,5,11,26,18,,,,,,,,
Quarterly Results,Interest,112,111,126,169,190,216,241,262,302,318,347,319,298,,,,,,,,
Quarterly Results,Depreciation,11,13,16,17,13,17,17,24,24,22,23,27,26,,,,,,,,
Quarterly Results,Profit before tax,370,81,607,307,247,636,658,809,930,1059,1454,741,-27,,,,,,,,
Quarterly Results,Tax %,18%,61%,16%,26%,33%,17%,19%,18%,22%,17%,23%,24%,137%,,,,,,,,
Quarterly Results,Net Profit,303,32,510,227,165,528,532,661,725,884,1122,566,-63,,,,,,,,
Quarterly Results,EPS in Rs,5.02,0.52,8.62,3.83,2.78,8.90,8.96,11.11,12.13,14.77,18.71,9.42,-1.08,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,4298,,,,4178,,,,7106,,,,8340,467,772,1080,1923,2751,2450,2358,3626
Profit & Loss,Expenses,2178,,,,2301,,,,3024,,,,3794,326,516,647,915,1357,1543,1546,1610
Profit & Loss,Operating Profit,2120,,,,1877,,,,4082,,,,4546,141,256,432,1008,1394,907,812,2016
Profit & Loss,OPM %,49%,,,,45%,,,,57%,,,,55%,30%,33%,40%,52%,51%,37%,34%,56%
Profit & Loss,Other Income,18,,,,19,,,,71,,,,78,-54,1,1,-27,1,12,8,-80
Profit & Loss,Interest,475,,,,596,,,,1039,,,,1298,3,31,174,442,528,517,494,430
Profit & Loss,Depreciation,48,,,,58,,,,83,,,,99,24,31,35,33,37,24,40,48
Profit & Loss,Profit before tax,1616,,,,1242,,,,3032,,,,3226,59,196,225,506,829,378,285,1458
Profit & Loss,Tax %,19%,,,,25%,,,,19%,,,,22%,30%,27%,27%,28%,25%,25%,24%,18%
Profit & Loss,Net Profit,1312,,,,935,,,,2446,,,,2508,42,145,172,371,632,298,190,1265
Profit & Loss,EPS in Rs,21.97,,,,15.74,,,,40.96,,,,41.74,0.72,2.56,2.97,6.23,10.72,5.04,3.10,21.49
Profit & Loss,Dividend Payout %,11%,,,,16%,,,,9%,,,,12%,70%,29%,29%,22%,20%,42%,32%,12%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,15,,,,15,,,,60,14,14,14,14,15,15,15,15
Balance Sheet,Reserves,5659,,,,6237,,,,8717,,,,11019,1156,1281,1422,1772,2871,3039,3071,4447
Balance Sheet,Borrowings,6152,,,,10278,,,,13787,,,,14774,0,795,2589,5067,5323,5158,4627,5693
Balance Sheet,Other Liabilities,5033,,,,6419,,,,9252,,,,8064,677,855,1064,1586,2202,2149,2370,3887
