Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20145m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Quarterly Results,Sales,3278,3411,3520,3506,3361,3252,3276,3338,3412,3422,3536,3561,3710,,,,,,,,,
Quarterly Results,Expenses,2701,2811,2902,2889,2763,2665,2681,2737,2773,2804,2888,2883,3007,,,,,,,,,
Quarterly Results,Operating Profit,577,600,618,618,599,587,596,601,639,619,648,678,703,,,,,,,,,
Quarterly Results,OPM %,18%,18%,18%,18%,18%,18%,18%,18%,19%,18%,18%,19%,19%,,,,,,,,,
Quarterly Results,Other Income,39,36,43,40,43,50,49,54,64,74,59,63,60,,,,,,,,,
Quarterly Results,Interest,21,23,26,24,24,24,34,53,50,50,40,39,36,,,,,,,,,
Quarterly Results,Depreciation,80,80,80,82,83,87,89,103,131,105,104,132,135,,,,,,,,,
Quarterly Results,Profit before tax,516,533,555,551,534,526,522,499,522,537,563,569,591,,,,,,,,,
Quarterly Results,Tax %,24%,25%,25%,25%,24%,25%,25%,25%,25%,25%,25%,25%,24%,,,,,,,,,
Quarterly Results,Net Profit,392,402,418,412,405,396,392,374,393,405,423,428,446,,,,,,,,,
Quarterly Results,EPS in Rs,20.88,21.37,22.24,21.89,21.51,21.01,20.78,19.79,20.81,21.39,22.37,22.56,23.49,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,11961,,,,13798,,,,13279,,,,14230,2594,5795,6081,6076,6546,7731,8844,9722,
Profit & Loss,Expenses,9844,,,,11365,,,,10857,,,,11583,2154,4925,5218,5108,5483,6407,7193,7919,
Profit & Loss,Operating Profit,2118,,,,2434,,,,2422,,,,2647,440,870,863,969,1062,1324,1650,1803,
Profit & Loss,OPM %,18%,,,,18%,,,,18%,,,,19%,17%,15%,14%,16%,16%,17%,19%,19%,
Profit & Loss,Other Income,160,,,,162,,,,218,,,,255,44,194,172,223,149,177,178,133,
Profit & Loss,Interest,74,,,,97,,,,161,,,,166,11,28,24,14,13,17,81,63,
Profit & Loss,Depreciation,291,,,,325,,,,410,,,,476,50,98,121,79,71,76,232,242,
Profit & Loss,Profit before tax,1913,,,,2173,,,,2068,,,,2260,422,938,890,1099,1128,1407,1515,1631,
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,25%,28%,28%,29%,28%,26%,24%,22%,25%,
Profit & Loss,Net Profit,1431,,,,1638,,,,1555,,,,1702,303,675,632,792,838,1073,1185,1217,
Profit & Loss,EPS in Rs,76.19,,,,86.94,,,,82.27,,,,89.55,14.40,32.10,30.05,37.62,43.34,57.64,63.52,65.06,
Profit & Loss,Dividend Payout %,60%,,,,58%,,,,67%,,,,64%,49%,50%,67%,45%,46%,47%,55%,100%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,188,,,,188,,,,189,,,,190,,210,210,210,193,186,187,187,210
Balance Sheet,Reserves,6755,,,,7746,,,,8606,,,,9438,,5270,5645,5942,5289,5064,5643,6340,4905
Balance Sheet,Borrowings,527,,,,198,,,,1544,,,,1116,,575,461,260,390,543,571,513,540
Balance Sheet,Other Liabilities,3214,,,,3373,,,,3662,,,,4000,,1312,1092,889,1109,1576,2339,2324,1320
Balance Sheet,Total Liabilities,10684,,,,11506,,,,14000,,,,14744,,7367,7408,7301,6980,7368,8740,9365,6974
Balance Sheet,Fixed Assets,3774,,,,4060,,,,5533,,,,5781,,2334,1597,1921,1884,2170,3013,3020,2404
Balance Sheet,CWIP,11,,,,32,,,,61,,,,0,,20,56,1,2,3,17,3,6
Balance Sheet,Investments,1813,,,,1753,,,,3090,,,,2208,,1443,2122,2396,1782,1329,1326,1846,1815
Balance Sheet,Other Assets,5087,,,,5662,,,,5316,,,,6754,,3569,3633,2983,3312,3866,4384,4496,2748
Balance Sheet,Total Assets,10684,,,,11506,,,,14000,,,,14744,,7367,7408,7301,6980,7368,8740,9365,6974
,,,,,,,,,,,,,,,,,,,,,,,
