Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Jun 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,21.13,27.07,32.21,36.98,46.21,48.57,49.61,,,,,,,,
Quarterly Results,Expenses,6.86,7.41,9.32,10.32,15.10,16.73,21.54,,,,,,,,
Quarterly Results,Operating Profit,14.27,19.66,22.89,26.66,31.11,31.84,28.07,,,,,,,,
Quarterly Results,OPM %,67.53%,72.63%,71.06%,72.09%,67.32%,65.55%,56.58%,,,,,,,,
Quarterly Results,Other Income,0.00,0.04,0.05,0.37,0.14,0.39,0.13,,,,,,,,
Quarterly Results,Interest,8.56,12.93,16.85,20.30,22.41,23.62,23.14,,,,,,,,
Quarterly Results,Depreciation,0.34,0.67,0.96,0.82,0.83,0.83,0.83,,,,,,,,
Quarterly Results,Profit before tax,5.37,6.10,5.13,5.91,8.01,7.78,4.23,,,,,,,,
Quarterly Results,Tax %,25.33%,25.41%,20.86%,26.06%,29.21%,26.22%,18.20%,,,,,,,,
Quarterly Results,Net Profit,4.01,4.55,4.05,4.39,5.68,5.74,3.44,,,,,,,,
Quarterly Results,EPS in Rs,0.27,0.30,0.25,0.27,0.35,0.36,0.22,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,98,,,,179,,,,,,,,
Profit & Loss,Expenses,,,29,,,,61,,,,,,,,
Profit & Loss,Operating Profit,,,69,,,,118,,,,,,,,
Profit & Loss,OPM %,,,70%,,,,66%,,,,,,,,
Profit & Loss,Other Income,,,-0,,,,1,,,,,,,,
Profit & Loss,Interest,,,45,,,,89,,,,,,,,
Profit & Loss,Depreciation,,,2,,,,3,,,,,,,,
Profit & Loss,Profit before tax,,,21,,,,26,,,,,,,,
Profit & Loss,Tax %,,,24%,,,,26%,,,,,,,,
Profit & Loss,Net Profit,,,16,,,,19,,,,,,,,
Profit & Loss,EPS in Rs,,,0.99,,,,1.20,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,,,,,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,16,,,,16,,,,,,,,
Balance Sheet,Reserves,,,228,,,,253,,,,,,,,
Balance Sheet,Borrowings,,,640,,,,714,,,,,,,,
Balance Sheet,Other Liabilities,,,41,,,,50,,,,,,,,
Balance Sheet,Total Liabilities,,,926,,,,1033,,,,,,,,
Balance Sheet,Fixed Assets,,,9,,,,6,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,,,,,,,
Balance Sheet,Investments,,,5,,,,5,,,,,,,,
Balance Sheet,Other Assets,,,912,,,,1022,,,,,,,,
Balance Sheet,Total Assets,,,926,,,,1033,,,,,,,,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-359,,,,-153,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-57,,,,90,,,,,,,,
Cash Flows,Cash from Financing Activity,,,486,,,,67,,,,,,,,
Cash Flows,Net Cash Flow,,,70,,,,4,,,,,,,,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,0,,,,23,,,,,,,,
Ratios,Inventory Days,,,,,,,0,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,0,,,,23,,,,,,,,
Ratios,Working Capital Days,,,12,,,,-20,,,,,,,,
Ratios,ROCE %,,,,,,,12%,,,,,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.18%,58.18%,54.77%,54.51%,54.51%,54.35%,54.31%,58.19%,58.19%,58.19%,58.19%,54.20%,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.11%,0.49%,0.33%,0.86%,1.25%,0.00%,0.00%,0.00%,0.00%,0.86%,,,
Shareholding Pattern (Quarterly),DIIs,14.12%,14.12%,13.16%,13.09%,13.09%,12.54%,12.53%,14.12%,14.12%,14.12%,14.12%,11.85%,,,
Shareholding Pattern (Quarterly),Public,27.68%,27.70%,31.96%,31.90%,32.06%,32.25%,31.92%,27.70%,27.68%,27.69%,27.70%,33.10%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,14843,18850,22133,25009,24017,25503,25971,10401,10486,10521,11294,26505,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,54.77%,,,,54.31%,,,58.19%,,54.20%,64.91%,67.75%,0.00%
Shareholding Pattern (Yearly),FIIs,,,0.11%,,,,1.25%,,,0.00%,,0.86%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,13.16%,,,,12.53%,,,14.12%,,11.85%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,31.96%,,,,31.92%,,,27.69%,,33.10%,35.09%,32.25%,100.00%
Shareholding Pattern (Yearly),No. of Shareholders,,,22133,,,,25971,,,10521,,26505,8889,8471,11511
,,,,,,,,,,,,,,,,
