Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Revenue,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,Financing Margin %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,Financing Margin %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowing,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,62.62%,,,,,,
Shareholding Pattern (Quarterly),FIIs,8.97%,0.51%,0.56%,0.61%,0.97%,1.56%,1.35%,1.36%,1.32%,1.30%,1.46%,1.39%,,,,,,
Shareholding Pattern (Quarterly),DIIs,5.98%,3.07%,0.18%,0.88%,0.86%,0.93%,0.68%,0.68%,0.84%,1.22%,1.27%,1.36%,,,,,,
Shareholding Pattern (Quarterly),Public,22.43%,33.80%,36.63%,35.90%,35.55%,34.88%,35.35%,35.33%,35.22%,34.86%,34.65%,34.62%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,20134,21485,20316,19674,18725,18022,18658,19733,19782,21755,22348,22524,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,62.62%,,,,62.62%,,,,62.62%,74.93%,62.50%,62.49%,62.62%,62.62%,62.62%
Shareholding Pattern (Yearly),FIIs,,,,0.61%,,,,1.36%,,,,1.39%,0.00%,1.26%,0.52%,5.30%,9.58%,9.63%
Shareholding Pattern (Yearly),DIIs,,,,0.88%,,,,0.68%,,,,1.36%,0.06%,13.75%,14.43%,14.03%,7.99%,6.68%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.32%,0.37%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,35.90%,,,,35.33%,,,,34.62%,25.02%,22.17%,22.20%,18.06%,19.81%,21.07%
Shareholding Pattern (Yearly),No. of Shareholders,,,,19674,,,,19733,,,,22524,7213,9865,14000,11386,16249,18956
,,,,,,,,,,,,,,,,,,,
