Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,,
Quarterly Results,Expenses,,,,,,,
Quarterly Results,Operating Profit,,,,,,,
Quarterly Results,OPM %,,,,,,,
Quarterly Results,Other Income,,,,,,,
Quarterly Results,Interest,,,,,,,
Quarterly Results,Depreciation,,,,,,,
Quarterly Results,Profit before tax,,,,,,,
Quarterly Results,Tax %,,,,,,,
Quarterly Results,Net Profit,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,,,,,
Profit & Loss,Expenses,,,,,,,
Profit & Loss,Operating Profit,,,,,,,
Profit & Loss,OPM %,,,,,,,
Profit & Loss,Other Income,,,,,,,
Profit & Loss,Interest,,,,,,,
Profit & Loss,Depreciation,,,,,,,
Profit & Loss,Profit before tax,,,,,,,
Profit & Loss,Tax %,,,,,,,
Profit & Loss,Net Profit,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,
,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,
Balance Sheet,Reserves,,,,,,,
Balance Sheet,Borrowings,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,
Balance Sheet,CWIP,,,,,,,
Balance Sheet,Investments,,,,,,,
Balance Sheet,Other Assets,,,,,,,
Balance Sheet,Total Assets,,,,,,,
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,
,,,,,,,,
Ratios,Debtor Days,,,,,,,
Ratios,Inventory Days,,,,,,,
Ratios,Days Payable,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,
Ratios,Working Capital Days,,,,,,,
Ratios,ROCE %,,,,,,,
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.28%,74.28%,74.28%,74.28%,74.28%,74.28%,74.28%
Shareholding Pattern (Quarterly),FIIs,8.77%,8.64%,8.04%,7.96%,2.86%,1.75%,0.69%
Shareholding Pattern (Quarterly),DIIs,2.60%,1.66%,1.23%,1.23%,1.16%,1.16%,1.11%
Shareholding Pattern (Quarterly),Public,14.36%,15.42%,16.46%,16.54%,21.71%,22.83%,23.93%
Shareholding Pattern (Quarterly),No. of Shareholders,65717,25734,25007,23394,30815,31355,32208
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,74.28%,,,,74.28%
Shareholding Pattern (Yearly),FIIs,,,8.04%,,,,0.69%
Shareholding Pattern (Yearly),DIIs,,,1.23%,,,,1.11%
Shareholding Pattern (Yearly),Public,,,16.46%,,,,23.93%
Shareholding Pattern (Yearly),No. of Shareholders,,,25007,,,,32208
,,,,,,,,
