Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,4,5,9,6,5,6,8,4,6,7,12,5,3,,,,,,,
Quarterly Results,Expenses,2,2,2,7,3,13,7,13,3,2,4,2,2,,,,,,,
Quarterly Results,Operating Profit,2,3,7,-1,3,-7,1,-9,3,4,7,2,1,,,,,,,
Quarterly Results,OPM %,51%,65%,80%,-18%,53%,-115%,14%,-239%,53%,62%,62%,48%,36%,,,,,,,
Quarterly Results,Other Income,63,40,27,6,9,8,5,10,5,16,7,4,18,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Quarterly Results,Profit before tax,65,43,33,5,12,1,6,1,8,20,14,6,19,,,,,,,
Quarterly Results,Tax %,37%,-23%,1%,-1%,-30%,500%,12%,126%,-11%,42%,26%,-16%,-14%,,,,,,,
Quarterly Results,Net Profit,41,53,33,5,16,-2,5,-0,9,12,10,6,21,,,,,,,
Quarterly Results,EPS in Rs,24.68,31.69,19.72,2.96,9.35,-1.29,3.11,-0.09,5.30,6.97,6.23,3.88,12.67,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,42,,,,33,,,,52,,,,26,24,18,30,27,24,18,46
Profit & Loss,Expenses,8,,,,8,,,,36,,,,10,2,6,3,9,9,14,5
Profit & Loss,Operating Profit,34,,,,25,,,,16,,,,17,21,12,27,18,15,4,40
Profit & Loss,OPM %,81%,,,,76%,,,,31%,,,,63%,90%,69%,90%,68%,61%,25%,88%
Profit & Loss,Other Income,273,,,,69,,,,0,,,,43,0,0,0,0,17,0,45
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,0,0,0,0,1,0
Profit & Loss,Depreciation,1,,,,1,,,,1,,,,1,0,0,0,0,0,1,1
Profit & Loss,Profit before tax,306,,,,93,,,,15,,,,58,22,12,27,18,31,4,84
Profit & Loss,Tax %,26%,,,,-14%,,,,21%,,,,15%,19%,16%,18%,-6%,19%,-3%,27%
Profit & Loss,Net Profit,226,,,,107,,,,12,,,,50,19,40,63,19,25,4,61
Profit & Loss,EPS in Rs,135.23,,,,63.73,,,,7.03,,,,29.74,11.23,23.87,37.58,11.21,14.92,2.21,36.41
Profit & Loss,Dividend Payout %,2%,,,,2%,,,,21%,,,,5%,13%,6%,4%,13%,10%,23%,4%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,8,,,,8,,,,8,8,8,8,8,8,8,8
Balance Sheet,Reserves,1551,,,,1520,,,,1533,,,,1556,577,613,675,994,997,783,1035
Balance Sheet,Borrowings,2,,,,0,,,,4,,,,5,0,15,15,24,5,4,6
Balance Sheet,Other Liabilities,173,,,,152,,,,153,,,,157,9,7,8,71,74,72,106
Balance Sheet,Total Liabilities,1733,,,,1681,,,,1700,,,,1726,593,643,707,1098,1085,867,1156
Balance Sheet,Fixed Assets,55,,,,54,,,,53,,,,52,8,7,17,20,38,41,56
Balance Sheet,CWIP,1,,,,0,,,,7,,,,16,24,25,18,0,11,16,0
Balance Sheet,Investments,1652,,,,1617,,,,1621,,,,1632,542,589,634,1035,1000,739,1014
Balance Sheet,Other Assets,26,,,,9,,,,18,,,,26,20,22,37,43,37,72,86
Balance Sheet,Total Assets,1733,,,,1681,,,,1700,,,,1726,593,643,707,1098,1085,867,1156
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-69,,,,-23,,,,-11,,,,-0,8,4,-8,-23,29,138,-55
Cash Flows,Cash from Investing Activity,75,,,,26,,,,12,,,,3,-17,-1,12,27,-25,-134,56
Cash Flows,Cash from Financing Activity,-5,,,,-3,,,,-3,,,,-3,8,-3,-3,-3,-3,-4,-1
Cash Flows,Net Cash Flow,1,,,,-0,,,,-1,,,,0,-0,-0,1,-0,0,-0,1
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0
Ratios,Working Capital Days,116,,,,37,,,,11,,,,-24,162,301,328,2,382,545,191
Ratios,ROCE %,23%,,,,6%,,,,1%,,,,4%,,2%,4%,2%,3%,0%,9%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.54%,71.55%,71.55%,71.55%,71.55%,71.55%,71.55%,71.55%,71.65%,71.65%,71.65%,71.65%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.49%,0.48%,0.46%,0.32%,0.31%,0.31%,0.31%,0.31%,0.34%,0.34%,0.36%,0.32%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.37%,0.37%,,,,,,,
Shareholding Pattern (Quarterly),Public,,27.95%,27.95%,27.97%,28.13%,28.12%,28.13%,28.12%,28.12%,27.98%,28.00%,27.63%,27.68%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,14631,14787,14349,14163,13966,13881,13444,13711,13023,13181,13695,13510,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.47%,,,,71.55%,,,,71.55%,,,,71.65%,,,70.42%,70.42%,70.42%,70.58%,71.06%
Shareholding Pattern (Yearly),FIIs,0.38%,,,,0.32%,,,,0.31%,,,,0.32%,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.02%,,,,0.02%,,,,0.02%,,,,0.37%,,,0.07%,0.04%,0.03%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,28.13%,,,,28.13%,,,,28.12%,,,,27.68%,,,29.51%,29.55%,29.55%,29.40%,28.91%
Shareholding Pattern (Yearly),No. of Shareholders,13736,,,,14163,,,,13711,,,,13510,,,12585,11705,11197,10231,9924
,,,,,,,,,,,,,,,,,,,,,
