Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2012
Quarterly Results,Sales,597,885,432,492,898,1140,1031,759,1068,1363,1371,475,1221,,,,,,,,,
Quarterly Results,Expenses,615,489,337,387,559,612,573,490,571,558,567,436,673,,,,,,,,,
Quarterly Results,Operating Profit,-19,395,95,106,339,528,458,268,497,805,804,39,548,,,,,,,,,
Quarterly Results,OPM %,-3%,45%,22%,22%,38%,46%,44%,35%,47%,59%,59%,8%,45%,,,,,,,,,
Quarterly Results,Other Income,14,34,20,21,29,20,29,37,42,48,64,176,66,,,,,,,,,
Quarterly Results,Interest,7,4,4,4,3,4,4,5,6,5,4,4,10,,,,,,,,,
Quarterly Results,Depreciation,38,40,42,42,41,44,44,44,56,44,46,47,98,,,,,,,,,
Quarterly Results,Profit before tax,-50,386,70,81,324,500,440,256,478,804,818,164,506,,,,,,,,,
Quarterly Results,Tax %,2%,17%,19%,23%,15%,16%,16%,17%,19%,17%,17%,19%,20%,,,,,,,,,
Quarterly Results,Net Profit,-50,320,57,62,276,420,369,213,386,668,676,132,406,,,,,,,,,
Quarterly Results,EPS in Rs,-2.77,17.55,3.11,3.41,15.11,23.47,20.60,11.88,21.57,37.32,37.81,7.43,22.70,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1945,,,,2707,,,,3999,,,,4430,739,825,1042,2020,2185,2094,1915,2052,
Profit & Loss,Expenses,1681,,,,1772,,,,2245,,,,2234,560,615,777,1337,1256,1300,1332,1446,
Profit & Loss,Operating Profit,264,,,,936,,,,1754,,,,2196,179,210,266,683,928,795,583,606,
