Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021
Quarterly Results,Sales,80,63,94,106,130,128,158,140,176,171,174,175,192,,
Quarterly Results,Expenses,74,59,85,98,119,116,142,127,160,155,157,157,171,,
Quarterly Results,Operating Profit,6,5,9,7,11,11,15,13,16,17,17,19,21,,
Quarterly Results,OPM %,7%,7%,9%,7%,8%,9%,10%,9%,9%,10%,10%,11%,11%,,
Quarterly Results,Other Income,4,3,3,3,5,3,2,3,3,3,3,3,5,,
Quarterly Results,Interest,0,0,0,1,1,1,1,1,1,1,1,1,1,,
Quarterly Results,Depreciation,2,2,1,3,3,3,4,4,4,4,4,4,4,,
Quarterly Results,Profit before tax,7,5,11,7,13,11,13,11,15,15,16,17,20,,
Quarterly Results,Tax %,16%,18%,21%,19%,21%,22%,22%,21%,22%,22%,25%,21%,19%,,
Quarterly Results,Net Profit,6,4,8,6,10,8,10,9,12,12,12,13,16,,
Quarterly Results,EPS in Rs,2.55,1.70,3.53,2.39,4.18,3.46,4.34,3.59,4.88,4.84,5.02,5.63,6.89,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,233,,,,393,,,,602,,,,713,97,114
Profit & Loss,Expenses,218,,,,360,,,,545,,,,639,97,108
Profit & Loss,Operating Profit,15,,,,33,,,,56,,,,73,-1,6
Profit & Loss,OPM %,6%,,,,8%,,,,9%,,,,10%,-1%,6%
Profit & Loss,Other Income,12,,,,13,,,,11,,,,14,14,10
Profit & Loss,Interest,1,,,,2,,,,3,,,,3,0,0
Profit & Loss,Depreciation,7,,,,9,,,,15,,,,16,7,5
Profit & Loss,Profit before tax,18,,,,35,,,,49,,,,68,6,11
Profit & Loss,Tax %,18%,,,,20%,,,,22%,,,,22%,-11%,23%
Profit & Loss,Net Profit,15,,,,28,,,,39,,,,53,7,9
Profit & Loss,EPS in Rs,6.26,,,,11.81,,,,16.26,,,,22.38,2.77,3.58
Profit & Loss,Dividend Payout %,10%,,,,11%,,,,12%,,,,12%,0%,7%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6,,,,6,,,,12,,,,24,6,6
Balance Sheet,Reserves,185,,,,212,,,,242,,,,279,164,172
Balance Sheet,Borrowings,13,,,,34,,,,31,,,,32,0,4
Balance Sheet,Other Liabilities,46,,,,92,,,,112,,,,151,19,40
Balance Sheet,Total Liabilities,250,,,,344,,,,396,,,,486,189,223
Balance Sheet,Fixed Assets,47,,,,133,,,,147,,,,153,33,41
Balance Sheet,CWIP,32,,,,13,,,,12,,,,28,0,3
Balance Sheet,Investments,43,,,,51,,,,56,,,,63,39,40
Balance Sheet,Other Assets,128,,,,146,,,,181,,,,242,117,138
Balance Sheet,Total Assets,250,,,,344,,,,396,,,,486,189,223
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1,,,,48,,,,27,,,,84,3,-2
Cash Flows,Cash from Investing Activity,-4,,,,-35,,,,-6,,,,-42,-10,1
Cash Flows,Cash from Financing Activity,0,,,,-5,,,,-8,,,,-12,-1,-1
Cash Flows,Net Cash Flow,-3,,,,8,,,,13,,,,29,-7,-1
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,29,,,,53,,,,48,23,99
Ratios,Inventory Days,44,,,,48,,,,23,,,,30,35,53
Ratios,Days Payable,84,,,,91,,,,80,,,,88,80,154
Ratios,Cash Conversion Cycle,8,,,,-14,,,,-4,,,,-11,-22,-1
Ratios,Working Capital Days,43,,,,-12,,,,14,,,,0,3,26
Ratios,ROCE %,10%,,,,17%,,,,19%,,,,23%,,6%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.95%,73.95%,73.95%,73.95%,73.95%,73.06%,73.06%,73.06%,73.06%,73.06%,73.06%,73.13%,,
Shareholding Pattern (Quarterly),FIIs,,0.84%,0.84%,0.24%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,0.12%,0.00%,0.06%,,
Shareholding Pattern (Quarterly),Public,,25.21%,25.21%,25.80%,26.06%,26.05%,26.93%,26.95%,26.95%,26.95%,26.82%,26.93%,26.80%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,6450,6384,6885,8378,11901,12953,13917,15754,16374,22547,26596,24660,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.95%,,,,73.95%,,,,73.06%,,,,73.13%,73.20%,73.86%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.06%,0.23%,0.14%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.76%,0.01%
Shareholding Pattern (Yearly),Public,26.05%,,,,26.06%,,,,26.95%,,,,26.80%,25.81%,25.99%
Shareholding Pattern (Yearly),No. of Shareholders,5965,,,,8378,,,,15754,,,,24660,8218,6699
,,,,,,,,,,,,,,,,
