Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,104,108,106,105,67,70,96,98,107,94,111,133,127,,,,,,,,
Quarterly Results,Expenses,75,78,86,83,82,80,91,106,122,139,155,174,176,,,,,,,,
Quarterly Results,Operating Profit,29,30,19,22,-15,-10,5,-9,-16,-46,-43,-42,-49,,,,,,,,
Quarterly Results,OPM %,28%,28%,18%,21%,-22%,-14%,5%,-9%,-15%,-48%,-39%,-31%,-38%,,,,,,,,
Quarterly Results,Other Income,6,6,2,3,15,5,4,2,12,4,1,1,1,,,,,,,,
Quarterly Results,Interest,1,1,1,1,1,0,0,1,3,3,4,6,8,,,,,,,,
Quarterly Results,Depreciation,5,5,5,5,3,2,2,2,3,2,6,8,8,,,,,,,,
Quarterly Results,Profit before tax,30,31,16,20,-4,-7,6,-10,-9,-47,-53,-54,-63,,,,,,,,
Quarterly Results,Tax %,13%,16%,18%,25%,-69%,14%,1%,2%,1%,0%,1%,3%,-2%,,,,,,,,
Quarterly Results,Net Profit,26,26,13,15,-1,-8,6,-10,-9,-47,-53,-55,-62,,,,,,,,
Quarterly Results,EPS in Rs,3.75,3.60,1.86,2.00,0.09,-1.26,0.92,-1.48,-1.31,-7.25,-8.19,-8.64,-9.44,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,396,,,,386,,,,370,,,,465,459,571,566,490,426,399,373,358
Profit & Loss,Expenses,294,,,,328,,,,398,,,,638,524,553,600,532,465,358,322,283
Profit & Loss,Operating Profit,102,,,,58,,,,-28,,,,-173,-65,18,-34,-42,-40,41,52,74
Profit & Loss,OPM %,26%,,,,15%,,,,-8%,,,,-37%,-14%,3%,-6%,-9%,-9%,10%,14%,21%
Profit & Loss,Other Income,23,,,,25,,,,22,,,,1,36,7,11,4,2,19,20,49
Profit & Loss,Interest,10,,,,3,,,,5,,,,20,20,21,21,22,21,28,25,23
Profit & Loss,Depreciation,19,,,,17,,,,9,,,,24,27,25,25,18,15,12,11,10
Profit & Loss,Profit before tax,96,,,,63,,,,-20,,,,-217,-76,-21,-68,-78,-74,21,36,90
Profit & Loss,Tax %,12%,,,,16%,,,,7%,,,,0%,11%,119%,11%,10%,15%,45%,21%,17%
Profit & Loss,Net Profit,85,,,,53,,,,-21,,,,-218,-85,-44,-74,-86,-84,11,28,75
Profit & Loss,EPS in Rs,12.38,,,,7.56,,,,-3.14,,,,-33.52,-12.59,-6.83,-8.50,-12.47,-12.41,1.59,3.76,11.00
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,26,,,,26,,,,26,,,,26,26,26,26,26,26,26,26,26
Balance Sheet,Reserves,207,,,,254,,,,233,,,,33,90,48,56,77,23,40,62,126
Balance Sheet,Borrowings,22,,,,8,,,,113,,,,338,188,188,158,170,191,158,121,75
Balance Sheet,Other Liabilities,225,,,,179,,,,228,,,,246,304,324,309,205,263,270,285,228
Balance Sheet,Total Liabilities,479,,,,466,,,,599,,,,643,608,586,548,478,503,493,494,454
Balance Sheet,Fixed Assets,68,,,,49,,,,133,,,,198,111,98,87,78,65,58,64,60
Balance Sheet,CWIP,0,,,,0,,,,36,,,,1,1,1,2,0,1,0,0,0
Balance Sheet,Investments,32,,,,32,,,,35,,,,34,18,10,12,13,20,23,10,42
Balance Sheet,Other Assets,379,,,,385,,,,395,,,,410,478,478,448,386,418,413,419,351
Balance Sheet,Total Assets,479,,,,466,,,,599,,,,643,608,586,548,478,503,493,494,454
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,155,,,,-13,,,,-68,,,,-144,1,-19,-3,-7,41,27,16,43
Cash Flows,Cash from Investing Activity,-78,,,,40,,,,50,,,,-73,60,59,-17,9,5,-15,74,9
Cash Flows,Cash from Financing Activity,-81,,,,-19,,,,21,,,,213,-56,-22,-6,-6,2,-58,-72,-72
Cash Flows,Net Cash Flow,-5,,,,7,,,,4,,,,-5,5,19,-25,-4,49,-47,18,-21
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,68,,,,70,,,,128,,,,110,121,118,95,114,121,124,144,108
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,68,,,,70,,,,128,,,,110,121,118,95,114,121,124,144,108
Ratios,Working Capital Days,-40,,,,-11,,,,21,,,,5,90,92,51,75,21,41,62,10
Ratios,ROCE %,39%,,,,19%,,,,-4%,,,,-48%,-14%,2%,-12%,-15%,-16%,21%,24%,49%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,61.45%,61.44%,69.71%,69.71%,69.71%,69.71%,69.71%,69.71%,64.71%,64.71%,64.71%,64.71%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,14.70%,14.72%,5.33%,3.00%,0.02%,0.05%,0.13%,0.14%,0.09%,0.10%,0.10%,0.13%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,23.85%,23.84%,24.96%,27.28%,30.26%,30.21%,30.15%,30.14%,35.20%,35.18%,35.19%,35.15%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,30664,56602,66298,81468,88261,84202,85846,83769,84426,80934,80922,79842,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.45%,,,,69.71%,,,,69.71%,,,,64.71%,,,,61.45%,61.45%,61.45%,61.45%,61.45%
Shareholding Pattern (Yearly),FIIs,14.62%,,,,3.00%,,,,0.14%,,,,0.13%,,,,18.77%,14.17%,14.17%,14.17%,14.17%
Shareholding Pattern (Yearly),DIIs,0.28%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.01%,0.00%,0.00%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,23.65%,,,,27.28%,,,,30.14%,,,,35.15%,,,,19.78%,24.38%,24.38%,24.38%,24.38%
Shareholding Pattern (Yearly),No. of Shareholders,28320,,,,81468,,,,83769,,,,79842,,,,48527,24553,23838,23021,21826
,,,,,,,,,,,,,,,,,,,,,,
