Section,,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Mar 2014,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,118.22,130.64,139.47,130.47,128.18,134.25,145.46,136.74,124.24,144.73,142.29,140.31,76.04,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,113.72,126.85,134.58,125.87,123.21,130.08,139.93,132.34,119.63,140.45,136.52,135.09,74.06,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,4.50,3.79,4.89,4.60,4.97,4.17,5.53,4.40,4.61,4.28,5.77,5.22,1.98,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,3.81%,2.90%,3.51%,3.53%,3.88%,3.11%,3.80%,3.22%,3.71%,2.96%,4.06%,3.72%,2.60%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.64,0.21,0.25,0.06,0.25,-0.09,1.17,0.23,0.12,0.61,-0.26,0.00,0.40,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.16,2.45,1.70,1.87,1.92,2.61,2.24,2.05,1.61,2.54,1.85,2.56,0.86,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.03,1.25,0.06,0.83,0.88,0.53,0.82,0.61,0.62,0.70,0.78,0.66,0.75,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.95,0.30,3.38,1.96,2.42,0.94,3.64,1.97,2.50,1.65,2.88,2.00,0.77,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,31.79%,-13.33%,43.49%,30.61%,31.40%,31.91%,45.60%,34.52%,32.00%,32.73%,48.26%,34.00%,33.77%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.33,0.34,1.91,1.35,1.65,0.64,1.99,1.29,1.70,1.11,1.50,1.32,0.51,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.14,0.04,0.20,0.14,0.17,0.07,0.21,0.14,0.18,0.12,0.16,0.14,0.05,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,531,,,,538,,,,548,,,572,503,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,511,,,,518,,,,528,,,550,486,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,20,,,,21,,,,20,,,21,17,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,4%,,,,4%,,,,4%,,,4%,3%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,1,,,,1,,,,1,,,0,1,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,9,,,,10,,,,9,,,9,8,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,3,,,,3,,,,3,,,4,3,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,9,,,,9,,,,9,,,9,7,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,35%,,,,37%,,,,38%,,,32%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,6,,,,6,,,,6,,,6,4,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,0.58,,,,0.59,,,,0.59,,,0.66,0.47,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,50,,,,50,,,,50,,50,50,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,17,,,,23,,,,28,,31,12,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,74,,,,78,,,,83,,65,73,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,22,,,,16,,,,15,,13,18,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,163,,,,167,,,,177,,160,153,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,15,,,,18,,,,18,,18,15,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,148,,,,149,,,,158,,142,138,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,163,,,,167,,,,177,,160,153,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,1,,,,2,,,,-2,,,-6,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-2,,,,-7,,,,-3,,,-3,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,2,,,,4,,,,5,,,7,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,0,,,,-0,,,,0,,,-2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,78,,,,81,,,,84,,,73,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,78,,,,81,,,,84,,,73,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,81,,,,85,,,,90,,,72,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,12%,,,,13%,,,,11%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,52.67%,52.68%,52.68%,52.68%,52.68%,52.68%,52.68%,52.68%,52.30%,54.19%,54.19%,54.19%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.15%,0.12%,0.01%,0.04%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,47.33%,47.32%,47.32%,47.33%,47.33%,47.32%,47.29%,47.17%,47.58%,45.79%,45.77%,45.81%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,17891,17792,17493,17595,17670,18707,31254,33082,36113,46238,48700,47794,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,74.83%,,,,67.52%,,,,,,,,52.68%,,,,52.68%,,,,54.19%,54.66%,54.66%,56.66%,56.66%,52.67%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.00%,,,,,,,,0.00%,,,,0.15%,,,,0.00%,0.80%,0.80%,1.36%,2.11%,0.09%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.00%,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.08%,0.06%,0.02%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,25.17%,,,,32.48%,,,,,,,,47.33%,,,,47.17%,,,,45.81%,44.46%,44.48%,41.96%,41.23%,47.23%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,1200,,,,17280,,,,,,,,17595,,,,33082,,,,47794,18238,16580,15394,14511,19941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
