Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,4442,6455,6754,10137,6257,5048,5660,7584,5284,5092,4390,5856,4457,,,,,,,
Quarterly Results,Expenses,4304,6174,6582,9235,6590,5060,5714,7266,4905,4983,4265,5710,4222,,,,,,,
Quarterly Results,Operating Profit,139,281,172,902,-333,-12,-55,318,379,109,125,146,234,,,,,,,
Quarterly Results,OPM %,3%,4%,3%,9%,-5%,-0%,-1%,4%,7%,2%,3%,2%,5%,,,,,,,
Quarterly Results,Other Income,6,22,11,33,179,34,58,25,55,50,37,47,62,,,,,,,
Quarterly Results,Interest,38,51,73,94,84,104,39,50,74,90,60,41,35,,,,,,,
Quarterly Results,Depreciation,85,87,87,90,89,87,90,92,92,91,93,94,95,,,,,,,
Quarterly Results,Profit before tax,22,164,23,752,-326,-169,-127,201,268,-21,9,57,167,,,,,,,
Quarterly Results,Tax %,72%,23%,35%,26%,-28%,-28%,-31%,25%,23%,-59%,-35%,19%,19%,,,,,,,
Quarterly Results,Net Profit,6,125,15,554,-236,-121,-87,151,208,-9,12,46,135,,,,,,,
Quarterly Results,EPS in Rs,0.12,2.56,0.30,11.29,-4.81,-2.48,-1.78,3.08,4.23,-0.18,0.25,0.93,2.75,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,15857,,,,29587,,,,23556,,,,19794,8514,7757,7600,8943,12429,13135,11906
Profit & Loss,Expenses,15469,,,,28509,,,,22928,,,,19187,8130,7197,7041,8404,11417,12283,11001
Profit & Loss,Operating Profit,388,,,,1077,,,,628,,,,608,385,560,559,539,1012,852,904
Profit & Loss,OPM %,2%,,,,4%,,,,3%,,,,3%,5%,7%,7%,6%,8%,6%,8%
Profit & Loss,Other Income,26,,,,195,,,,185,,,,203,37,45,45,62,52,-331,33
Profit & Loss,Interest,137,,,,308,,,,277,,,,226,304,231,193,192,320,409,294
Profit & Loss,Depreciation,335,,,,353,,,,362,,,,373,73,87,85,73,285,374,312
Profit & Loss,Profit before tax,-58,,,,612,,,,174,,,,212,45,287,325,335,459,-263,331
Profit & Loss,Tax %,63%,,,,25%,,,,14%,,,,13%,41%,31%,36%,36%,36%,-31%,28%
Profit & Loss,Net Profit,-95,,,,458,,,,150,,,,184,26,197,208,213,294,-181,237
Profit & Loss,EPS in Rs,-1.94,,,,9.34,,,,3.06,,,,3.75,0.53,4.02,4.24,4.34,5.99,-3.69,4.83
Profit & Loss,Dividend Payout %,0%,,,,30%,,,,9%,,,,0%,32%,30%,0%,0%,31%,-26%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,491,,,,491,,,,491,,,,491,491,491,491,491,491,491,491
Balance Sheet,Reserves,1589,,,,2051,,,,2064,,,,2225,990,1199,1334,1495,1720,1412,1650
Balance Sheet,Borrowings,3172,,,,3993,,,,4091,,,,2001,7645,6124,4135,3061,6464,8103,1892
Balance Sheet,Other Liabilities,5244,,,,6002,,,,4563,,,,4594,4332,4207,4223,4582,5231,4561,4382
Balance Sheet,Total Liabilities,10496,,,,12536,,,,11208,,,,9311,13458,12019,10182,9628,13905,14565,8414
Balance Sheet,Fixed Assets,4230,,,,3969,,,,3831,,,,3694,4443,4259,4059,4080,3993,3726,3615
Balance Sheet,CWIP,138,,,,178,,,,242,,,,172,39,33,51,64,133,656,862
Balance Sheet,Investments,257,,,,259,,,,345,,,,443,0,23,152,217,265,323,416
Balance Sheet,Other Assets,5870,,,,8131,,,,6791,,,,5002,8975,7705,5921,5268,9513,9861,3520
Balance Sheet,Total Assets,10496,,,,12536,,,,11208,,,,9311,13458,12019,10182,9628,13905,14565,8414
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1029,,,,-333,,,,668,,,,2590,304,1848,2453,1661,-2703,-319,7021
Cash Flows,Cash from Investing Activity,-129,,,,-206,,,,-334,,,,-268,-89,-87,-201,-346,-310,-810,-497
Cash Flows,Cash from Financing Activity,1145,,,,526,,,,-318,,,,-2334,-214,-1760,-2250,-1314,3022,1132,-6505
Cash Flows,Net Cash Flow,-14,,,,-13,,,,16,,,,-12,1,2,1,1,9,3,20
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,65,,,,51,,,,63,,,,60,216,226,205,160,210,215,81
Ratios,Inventory Days,90,,,,57,,,,41,,,,27,25,49,63,45,90,67,25
Ratios,Days Payable,58,,,,33,,,,33,,,,45,15,31,44,42,35,47,42
Ratios,Cash Conversion Cycle,97,,,,75,,,,70,,,,42,225,244,224,163,265,235,64
