Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2016,Mar 2017,Mar 2018
Quarterly Results,Sales,84.06,65.25,67.72,71.93,75.13,71.04,80.18,87.95,99.76,90.75,93.48,89.10,94.97,,,,,,
Quarterly Results,Expenses,73.50,63.10,58.57,62.12,60.93,61.18,66.21,74.08,83.94,81.40,81.92,84.01,88.65,,,,,,
Quarterly Results,Operating Profit,10.56,2.15,9.15,9.81,14.20,9.86,13.97,13.87,15.82,9.35,11.56,5.09,6.32,,,,,,
Quarterly Results,OPM %,12.56%,3.30%,13.51%,13.64%,18.90%,13.88%,17.42%,15.77%,15.86%,10.30%,12.37%,5.71%,6.65%,,,,,,
Quarterly Results,Other Income,2.98,2.50,0.47,0.69,0.87,3.32,3.22,3.68,3.68,5.88,5.12,-0.13,-0.97,,,,,,
Quarterly Results,Interest,1.54,0.50,0.12,0.26,0.34,0.24,0.36,0.28,0.49,0.44,0.32,0.60,0.97,,,,,,
Quarterly Results,Depreciation,3.48,3.60,3.25,1.23,2.68,2.86,2.89,2.94,2.92,3.00,3.03,3.10,3.32,,,,,,
Quarterly Results,Profit before tax,8.52,0.55,6.25,9.01,12.05,10.08,13.94,14.33,16.09,11.79,13.33,1.26,1.06,,,,,,
Quarterly Results,Tax %,19.60%,5.45%,25.44%,28.08%,22.66%,15.58%,24.82%,30.01%,23.43%,21.80%,26.41%,-0.79%,49.06%,,,,,,
Quarterly Results,Net Profit,6.87,0.52,4.67,6.49,9.32,8.51,10.48,10.03,12.32,9.22,9.81,1.28,0.54,,,,,,
Quarterly Results,EPS in Rs,11.12,0.84,7.56,10.51,15.09,13.77,16.96,16.24,19.94,14.92,15.88,2.07,0.87,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,318,,,,278,,,,339,,,,368,153,152,258,,,
Profit & Loss,Expenses,249,,,,243,,,,285,,,,334,121,130,178,,,
Profit & Loss,Operating Profit,68,,,,35,,,,54,,,,34,32,22,80,,,
Profit & Loss,OPM %,21%,,,,13%,,,,16%,,,,9%,21%,14%,31%,,,
Profit & Loss,Other Income,11,,,,6,,,,14,,,,9,4,1,8,,,
Profit & Loss,Interest,2,,,,2,,,,2,,,,2,3,3,2,,,
Profit & Loss,Depreciation,10,,,,11,,,,12,,,,12,6,8,8,,,
Profit & Loss,Profit before tax,67,,,,27,,,,54,,,,28,28,12,78,,,
Profit & Loss,Tax %,25%,,,,25%,,,,24%,,,,24%,27%,31%,27%,,,
Profit & Loss,Net Profit,50,,,,20,,,,41,,,,21,20,8,57,,,
