Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,20.83,13.51,29.97,28.46,43.15,24.43,39.16,34.31,86.75,41.31,39.81,52.34,113.42,,,,,,,,
Quarterly Results,Expenses,19.34,12.85,29.33,27.75,42.58,24.72,36.79,30.25,81.60,37.09,34.40,46.94,106.32,,,,,,,,
Quarterly Results,Operating Profit,1.49,0.66,0.64,0.71,0.57,-0.29,2.37,4.06,5.15,4.22,5.41,5.40,7.10,,,,,,,,
Quarterly Results,OPM %,7.15%,4.89%,2.14%,2.49%,1.32%,-1.19%,6.05%,11.83%,5.94%,10.22%,13.59%,10.32%,6.26%,,,,,,,,
Quarterly Results,Other Income,3.52,2.93,3.02,3.03,3.03,3.32,3.60,2.25,4.38,3.84,3.78,3.70,3.83,,,,,,,,
Quarterly Results,Interest,3.19,2.92,2.64,2.76,2.88,1.98,1.98,1.98,1.79,1.08,0.94,1.01,0.76,,,,,,,,
Quarterly Results,Depreciation,0.43,0.46,0.35,0.35,0.33,0.37,0.32,0.33,0.33,0.32,0.34,0.37,0.38,,,,,,,,
Quarterly Results,Profit before tax,1.39,0.21,0.67,0.63,0.39,0.68,3.67,4.00,7.41,6.66,7.91,7.72,9.79,,,,,,,,
Quarterly Results,Tax %,27.34%,76.19%,28.36%,36.51%,30.77%,35.29%,25.34%,25.50%,29.15%,25.68%,25.54%,25.65%,25.84%,,,,,,,,
Quarterly Results,Net Profit,-1.08,-0.46,0.06,-0.07,0.02,0.23,2.48,3.21,5.33,4.99,5.24,4.91,5.36,,,,,,,,
Quarterly Results,EPS in Rs,-0.03,-0.01,0.00,-0.00,0.00,0.01,0.06,0.08,0.14,0.13,0.13,0.12,0.14,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,83,,,,115,,,,185,,,,247,97,124,183,195,202,214,244,97
Profit & Loss,Expenses,76,,,,112,,,,173,,,,225,74,101,156,167,166,177,215,87
Profit & Loss,Operating Profit,7,,,,3,,,,11,,,,22,24,23,27,28,36,36,29,10
Profit & Loss,OPM %,9%,,,,2%,,,,6%,,,,9%,24%,18%,15%,14%,18%,17%,12%,10%
Profit & Loss,Other Income,11,,,,12,,,,14,,,,15,4,7,12,6,6,7,11,9
Profit & Loss,Interest,15,,,,11,,,,8,,,,4,8,10,15,9,11,13,17,16
Profit & Loss,Depreciation,2,,,,1,,,,1,,,,1,1,1,1,2,2,2,2,2
Profit & Loss,Profit before tax,2,,,,2,,,,16,,,,32,18,19,23,23,29,28,21,1
Profit & Loss,Tax %,32%,,,,37%,,,,28%,,,,26%,35%,36%,38%,36%,31%,29%,22%,41%
Profit & Loss,Net Profit,-2,,,,-0,,,,11,,,,20,12,12,14,15,20,20,16,-1
Profit & Loss,EPS in Rs,-0.05,,,,-0.01,,,,0.29,,,,0.52,0.40,0.32,0.38,0.38,0.51,0.51,0.42,-0.02
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,25%,31%,29%,29%,22%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,39,,,,39,,,,39,,,,39,30,37,37,39,39,39,39,39
Balance Sheet,Reserves,94,,,,93,,,,104,,,,125,80,120,129,19,64,79,96,96
Balance Sheet,Borrowings,108,,,,66,,,,35,,,,26,92,148,159,79,103,122,119,145
Balance Sheet,Other Liabilities,178,,,,620,,,,664,,,,680,28,47,55,104,71,76,90,84
Balance Sheet,Total Liabilities,419,,,,818,,,,842,,,,870,229,352,379,241,277,316,345,364
Balance Sheet,Fixed Assets,36,,,,34,,,,35,,,,38,32,33,33,35,34,32,31,38
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0,22,0,0,0,0
Balance Sheet,Investments,71,,,,78,,,,89,,,,102,7,7,10,10,6,5,6,7
Balance Sheet,Other Assets,311,,,,706,,,,719,,,,731,190,312,336,174,236,280,308,318
Balance Sheet,Total Assets,419,,,,818,,,,842,,,,870,229,352,379,241,277,316,345,364
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,64,,,,58,,,,65,,,,60,-2,-76,-11,34,3,-18,29,18
Cash Flows,Cash from Investing Activity,-26,,,,-3,,,,-28,,,,-25,1,-13,8,-22,-12,17,-9,-16
Cash Flows,Cash from Financing Activity,-51,,,,-54,,,,-39,,,,-12,3,88,2,-10,8,1,-19,10
Cash Flows,Net Cash Flow,-13,,,,1,,,,-1,,,,23,2,-0,-1,2,-1,-1,-0,12
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,164,,,,62,,,,16,,,,7,107,91,73,56,63,54,96,245
Ratios,Inventory Days,,,,,,,,,1195,,,,183,,,,,,,562,
Ratios,Days Payable,,,,,,,,,169,,,,43,,,,,,,495,
Ratios,Cash Conversion Cycle,164,,,,62,,,,1042,,,,147,107,91,73,56,63,54,163,245
Ratios,Working Capital Days,350,,,,119,,,,46,,,,34,553,664,433,31,136,223,197,510
Ratios,ROCE %,6%,,,,6%,,,,12%,,,,19%,,11%,12%,14%,23%,19%,16%,6%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,61.90%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,5.69%,3.74%,2.82%,2.82%,2.82%,0.93%,0.94%,0.95%,1.05%,1.36%,0.60%,0.57%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,32.40%,34.35%,35.27%,35.28%,35.28%,37.18%,37.17%,37.15%,37.05%,36.75%,37.49%,37.54%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,47492,47853,45947,45111,44768,57843,56698,71410,72605,82305,89036,94944,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.90%,,,,61.90%,,,,61.90%,,,,61.90%,,,,61.98%,61.90%,61.90%,61.90%,61.90%
Shareholding Pattern (Yearly),FIIs,5.69%,,,,2.82%,,,,0.95%,,,,0.57%,,,,0.00%,5.68%,5.67%,5.69%,5.67%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.48%,2.58%,1.85%,1.83%,0.00%
Shareholding Pattern (Yearly),Public,32.40%,,,,35.28%,,,,37.15%,,,,37.54%,,,,37.54%,29.84%,30.58%,30.58%,32.43%
Shareholding Pattern (Yearly),No. of Shareholders,46111,,,,45111,,,,71410,,,,94944,,,,17175,35235,32933,30852,32065
,,,,,,,,,,,,,,,,,,,,,,
