Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,159.55,80.23,106.62,105.00,314.26,99.07,111.07,126.66,133.99,82.61,138.09,119.70,167.03,,,,,
Quarterly Results,Expenses,156.89,79.20,105.66,104.26,307.75,99.71,108.96,122.90,125.68,82.29,132.84,117.29,158.80,,,,,
Quarterly Results,Operating Profit,2.66,1.03,0.96,0.74,6.51,-0.64,2.11,3.76,8.31,0.32,5.25,2.41,8.23,,,,,
Quarterly Results,OPM %,1.67%,1.28%,0.90%,0.70%,2.07%,-0.65%,1.90%,2.97%,6.20%,0.39%,3.80%,2.01%,4.93%,,,,,
Quarterly Results,Other Income,-0.74,0.19,0.40,0.70,-1.85,1.89,-0.34,-1.66,1.73,1.29,0.49,1.11,3.17,,,,,
Quarterly Results,Interest,0.04,0.03,0.02,0.19,0.24,0.20,0.03,0.02,0.02,0.02,0.02,0.02,0.02,,,,,
Quarterly Results,Depreciation,0.35,0.36,0.36,0.36,0.31,0.34,0.63,0.43,0.25,0.51,0.56,0.53,0.61,,,,,
Quarterly Results,Profit before tax,1.53,0.83,0.98,0.89,4.11,0.71,1.11,1.65,9.77,1.08,5.16,2.97,10.77,,,,,
Quarterly Results,Tax %,28.10%,25.30%,23.47%,25.84%,38.69%,49.30%,27.93%,21.21%,23.54%,23.15%,24.03%,25.25%,21.36%,,,,,
Quarterly Results,Net Profit,1.10,0.61,0.75,0.66,2.52,0.36,0.80,1.31,7.47,0.83,3.92,2.22,8.47,,,,,
Quarterly Results,EPS in Rs,0.27,0.15,0.19,0.16,0.63,0.09,0.20,0.33,1.86,0.21,0.98,0.51,1.56,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,356,,,,606,,,,471,,,,507,175,,,,
Profit & Loss,Expenses,351,,,,597,,,,455,,,,491,174,,,,
Profit & Loss,Operating Profit,5,,,,9,,,,16,,,,16,1,,,,
Profit & Loss,OPM %,1%,,,,2%,,,,3%,,,,3%,1%,,,,
Profit & Loss,Other Income,-0,,,,-1,,,,-1,,,,6,3,,,,
Profit & Loss,Interest,0,,,,0,,,,0,,,,0,0,,,,
Profit & Loss,Depreciation,1,,,,1,,,,2,,,,2,1,,,,
Profit & Loss,Profit before tax,3,,,,7,,,,13,,,,20,2,,,,
Profit & Loss,Tax %,24%,,,,37%,,,,25%,,,,25%,33%,,,,
Profit & Loss,Net Profit,2,,,,4,,,,10,,,,15,1,,,,
Profit & Loss,EPS in Rs,0.61,,,,1.08,,,,2.42,,,,2.78,0.33,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,43,,,,40,,,,40,,,,60,43,,,,
Balance Sheet,Reserves,136,,,,136,,,,112,,,,182,134,,,,
Balance Sheet,Borrowings,13,,,,26,,,,1,,,,2,30,,,,
Balance Sheet,Other Liabilities,120,,,,113,,,,72,,,,140,70,,,,
Balance Sheet,Total Liabilities,313,,,,315,,,,225,,,,384,277,,,,
Balance Sheet,Fixed Assets,8,,,,7,,,,9,,,,12,10,,,,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,,,,
Balance Sheet,Investments,14,,,,14,,,,15,,,,23,14,,,,
Balance Sheet,Other Assets,290,,,,293,,,,200,,,,350,253,,,,
Balance Sheet,Total Assets,313,,,,315,,,,225,,,,384,277,,,,
,,,,,,,,,,,,,,,,,,,
