Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2015
Quarterly Results,Sales,3086,3863,3489,3679,5134,3316,2978,3164,3541,3376,3657,4411,3836,,,,,,,,,
Quarterly Results,Expenses,2018,2455,2310,3957,3898,2123,2143,2260,3208,2294,2644,3377,2975,,,,,,,,,
Quarterly Results,Operating Profit,1068,1408,1179,-278,1236,1194,835,905,333,1082,1013,1035,861,,,,,,,,,
Quarterly Results,OPM %,35%,36%,34%,-8%,24%,36%,28%,29%,9%,32%,28%,23%,22%,,,,,,,,,
Quarterly Results,Other Income,171,103,207,300,713,112,1535,149,494,362,713,489,957,,,,,,,,,
Quarterly Results,Interest,215,221,337,232,221,231,214,205,199,189,180,237,325,,,,,,,,,
Quarterly Results,Depreciation,618,436,434,460,472,461,455,446,462,433,413,458,581,,,,,,,,,
Quarterly Results,Profit before tax,407,854,616,-670,1256,614,1701,402,165,822,1133,830,912,,,,,,,,,
Quarterly Results,Tax %,19%,33%,32%,-41%,33%,33%,36%,37%,31%,31%,13%,16%,49%,,,,,,,,,
Quarterly Results,Net Profit,331,569,417,-396,837,414,1086,254,114,567,982,696,468,,,,,,,,,
Quarterly Results,EPS in Rs,2.37,4.05,2.96,-2.93,5.98,2.92,7.82,1.81,0.82,4.03,6.58,4.82,3.48,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,12070,,,,16165,,,,12999,,,,15283,5945,6075,7828,11094,11289,9871,10325,9936,
Profit & Loss,Expenses,8119,,,,10425,,,,9575,,,,10443,4013,4535,5334,5998,7401,7614,7039,7320,
Profit & Loss,Operating Profit,3951,,,,5740,,,,3424,,,,4840,1932,1540,2494,5097,3887,2257,3286,2616,
Profit & Loss,OPM %,33%,,,,36%,,,,26%,,,,32%,32%,25%,32%,46%,34%,23%,32%,26%,
Profit & Loss,Other Income,1544,,,,-872,,,,2132,,,,1673,976,1434,-412,-1176,713,2125,1568,2531,
Profit & Loss,Interest,984,,,,1012,,,,849,,,,932,182,150,467,588,548,700,1174,1313,
Profit & Loss,Depreciation,1909,,,,1801,,,,1825,,,,1884,517,441,910,1044,1232,1121,1334,1611,
Profit & Loss,Profit before tax,2603,,,,2056,,,,2882,,,,3697,2209,2383,705,2289,2821,2561,2345,2223,
Profit & Loss,Tax %,57%,,,,31%,,,,35%,,,,27%,32%,34%,90%,-7%,31%,40%,38%,41%,
Profit & Loss,Net Profit,1116,,,,1426,,,,1868,,,,2714,1502,1580,68,2457,1957,1537,1453,1314,
Profit & Loss,EPS in Rs,7.88,,,,10.07,,,,13.37,,,,18.90,8.95,9.42,0.51,16.01,12.71,10.87,10.39,9.24,
Profit & Loss,Dividend Payout %,19%,,,,35%,,,,22%,,,,16%,31%,30%,588%,46%,35%,42%,68%,27%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1387,,,,1387,,,,1387,,,,1387,1678,1678,1678,1529,1529,1387,1387,1387,
Balance Sheet,Reserves,12803,,,,13782,,,,15144,,,,17336,12225,13198,11104,10598,11823,11383,11518,12098,
Balance Sheet,Borrowings,22086,,,,22333,,,,22415,,,,22429,6587,6601,8423,11479,13215,20598,27230,27234,
Balance Sheet,Other Liabilities,13542,,,,15605,,,,16043,,,,16700,4226,4279,8488,9888,11880,11917,12493,12594,
Balance Sheet,Total Liabilities,49818,,,,53107,,,,54989,,,,57851,24716,25756,29693,33493,38448,45285,52628,53313,
Balance Sheet,Fixed Assets,24875,,,,24058,,,,23391,,,,30699,6548,6655,16327,15997,16765,17658,24109,25824,
Balance Sheet,CWIP,13022,,,,14636,,,,17726,,,,15297,9372,10985,2542,5219,8397,13856,12662,11597,
Balance Sheet,Investments,7,,,,8,,,,8,,,,8,206,103,13,13,13,13,14,14,
Balance Sheet,Other Assets,11914,,,,14405,,,,13864,,,,11847,8590,8014,10812,12265,13273,13759,15844,15879,
Balance Sheet,Total Assets,49818,,,,53107,,,,54989,,,,57851,24716,25756,29693,33493,38448,45285,52628,53313,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,7746,,,,4171,,,,5624,,,,8977,3737,1036,1301,1225,4533,1620,1647,4390,
Cash Flows,Cash from Investing Activity,-763,,,,-2499,,,,-3151,,,,-7160,-1393,-502,-1380,-4332,-4593,-6119,-5812,-2212,
Cash Flows,Cash from Financing Activity,-7001,,,,-1735,,,,-1985,,,,-2196,-946,-1231,63,-68,98,4416,4163,-2037,
Cash Flows,Net Cash Flow,-18,,,,-62,,,,487,,,,-379,1398,-696,-16,-3174,39,-83,-2,140,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,112,,,,96,,,,106,,,,75,135,137,174,158,147,229,301,276,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,112,,,,96,,,,106,,,,75,135,137,174,158,147,229,301,276,
Ratios,Working Capital Days,128,,,,142,,,,105,,,,21,46,82,104,173,139,132,198,295,
Ratios,ROCE %,8%,,,,13%,,,,7%,,,,11%,12%,10%,10%,21%,13%,11%,9%,8%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,79.20%,79.20%,79.20%,79.20%,79.20%,79.20%,79.20%,72.20%,72.20%,72.20%,72.20%,72.20%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.21%,1.16%,0.83%,0.67%,0.81%,0.95%,1.21%,2.39%,2.18%,2.53%,2.86%,2.91%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,5.49%,5.33%,5.88%,6.89%,8.02%,9.18%,8.85%,13.38%,13.82%,14.29%,14.46%,14.63%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,4.31%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,9.79%,10.02%,9.79%,8.94%,7.66%,6.37%,6.44%,7.73%,7.48%,6.65%,6.17%,5.96%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,199766,192426,186344,182450,168939,169600,190164,258498,286701,343411,348165,340021,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,79.20%,,,,79.20%,,,,72.20%,,,,72.20%,,,,89.32%,84.04%,81.91%,79.20%,79.20%,90.00%
Shareholding Pattern (Yearly),FIIs,1.05%,,,,0.67%,,,,2.39%,,,,2.91%,,,,0.02%,0.50%,0.39%,0.46%,0.40%,0.07%
Shareholding Pattern (Yearly),DIIs,5.71%,,,,6.89%,,,,13.38%,,,,14.63%,,,,5.04%,8.74%,10.23%,12.13%,9.41%,4.79%
Shareholding Pattern (Yearly),Government,4.31%,,,,4.31%,,,,4.31%,,,,4.31%,,,,3.91%,3.91%,4.31%,4.31%,4.31%,3.56%
Shareholding Pattern (Yearly),Public,9.74%,,,,8.94%,,,,7.73%,,,,5.96%,,,,1.71%,2.81%,3.17%,3.91%,6.68%,1.59%
Shareholding Pattern (Yearly),No. of Shareholders,194111,,,,182450,,,,258498,,,,340021,,,,84916,96351,94141,99969,132369,89713
,,,,,,,,,,,,,,,,,,,,,,,
