Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,6785,4767,3328,3720,5851,5395,4014,5410,6489,5414,4919,6568,7005,,,,,,,,
Quarterly Results,Expenses,4061,2869,2477,2579,3689,3401,2824,3403,4388,3074,3533,4196,4953,,,,,,,,
Quarterly Results,Operating Profit,2725,1898,851,1141,2162,1994,1190,2007,2102,2340,1386,2372,2051,,,,,,,,
Quarterly Results,OPM %,40%,40%,26%,31%,37%,37%,30%,37%,32%,43%,28%,36%,29%,,,,,,,,
Quarterly Results,Other Income,332,146,426,205,1228,294,321,84,389,365,361,375,492,,,,,,,,
Quarterly Results,Interest,25,15,18,30,12,6,19,32,21,23,29,61,65,,,,,,,,
Quarterly Results,Depreciation,112,85,74,84,93,69,89,82,111,74,103,103,141,,,,,,,,
Quarterly Results,Profit before tax,2920,1944,1185,1232,3285,2212,1404,1977,2359,2608,1614,2584,2338,,,,,,,,
Quarterly Results,Tax %,36%,24%,25%,27%,31%,25%,27%,26%,40%,25%,26%,27%,37%,,,,,,,,
Quarterly Results,Net Profit,1866,1445,972,914,2272,1653,1026,1482,1410,1969,1205,1880,1477,,,,,,,,
Quarterly Results,EPS in Rs,2.12,1.64,1.11,1.04,2.58,1.88,1.17,1.69,1.61,2.24,1.38,2.14,1.68,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,25965,,,,17667,,,,21308,,,,23906,12058,12356,6456,8828,11615,12153,11699,15370
Profit & Loss,Expenses,13338,,,,11613,,,,14014,,,,15757,4335,4591,3771,5233,5812,5228,5697,6580
Profit & Loss,Operating Profit,12626,,,,6054,,,,7294,,,,8149,7723,7765,2685,3595,5803,6925,6002,8790
Profit & Loss,OPM %,49%,,,,34%,,,,34%,,,,34%,64%,63%,42%,41%,50%,57%,51%,57%
