Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,41.05,25.53,36.78,27.79,21.23,21.23,31.35,22.37,16.97,20.27,31.19,26.46,31.74,,,
Quarterly Results,Expenses,43.78,31.25,41.69,28.71,24.69,24.13,29.97,26.62,21.40,22.63,33.54,30.47,30.54,,,
Quarterly Results,Operating Profit,-2.73,-5.72,-4.91,-0.92,-3.46,-2.90,1.38,-4.25,-4.43,-2.36,-2.35,-4.01,1.20,,,
Quarterly Results,OPM %,-6.65%,-22.41%,-13.35%,-3.31%,-16.30%,-13.66%,4.40%,-19.00%,-26.10%,-11.64%,-7.53%,-15.15%,3.78%,,,
Quarterly Results,Other Income,1.71,1.17,1.89,1.90,2.15,2.67,3.20,5.90,-1.26,5.79,3.17,1.48,1.99,,,
Quarterly Results,Interest,0.29,0.14,0.10,0.11,0.10,0.12,0.08,0.11,0.18,0.15,0.27,0.18,0.62,,,
Quarterly Results,Depreciation,0.59,0.61,0.62,0.60,0.56,0.58,0.59,0.59,0.60,0.66,0.62,0.54,0.52,,,
Quarterly Results,Profit before tax,-1.90,-5.30,-3.74,0.27,-1.97,-0.93,3.91,0.95,-6.47,2.62,-0.07,-3.25,2.05,,,
Quarterly Results,Tax %,-26.32%,-22.08%,-22.73%,-11.11%,-22.34%,-23.66%,25.83%,82.11%,-35.86%,36.64%,585.71%,-13.85%,-20.00%,,,
Quarterly Results,Net Profit,-1.40,-4.13,-2.89,0.30,-1.53,-0.71,2.89,0.17,-4.15,1.66,-0.48,-2.80,2.47,,,
Quarterly Results,EPS in Rs,-1.40,-4.13,-2.89,0.30,-1.53,-0.71,2.89,0.17,-4.15,1.66,-0.48,-2.80,2.47,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,256,,,,111,,,,92,,,,110,62,99,213
Profit & Loss,Expenses,200,,,,126,,,,102,,,,117,53,90,152
Profit & Loss,Operating Profit,56,,,,-15,,,,-10,,,,-8,9,10,62
Profit & Loss,OPM %,22%,,,,-13%,,,,-11%,,,,-7%,15%,10%,29%
Profit & Loss,Other Income,8,,,,7,,,,11,,,,12,0,0,3
Profit & Loss,Interest,1,,,,0,,,,0,,,,1,0,1,2
Profit & Loss,Depreciation,1,,,,2,,,,2,,,,2,0,0,0
Profit & Loss,Profit before tax,61,,,,-11,,,,-3,,,,1,9,9,62
Profit & Loss,Tax %,26%,,,,-23%,,,,-30%,,,,37%,30%,26%,26%
Profit & Loss,Net Profit,45,,,,-8,,,,-2,,,,1,6,6,46
Profit & Loss,EPS in Rs,44.96,,,,-8.25,,,,-1.79,,,,0.85,6230.00,6400.00,46.37
Profit & Loss,Dividend Payout %,7%,,,,0%,,,,0%,,,,0%,0%,0%,4%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,10,,,,10,0.01,0.01,10
Balance Sheet,Reserves,193,,,,185,,,,183,,,,184,8,15,153
Balance Sheet,Borrowings,4,,,,3,,,,3,,,,5,0,10,4
Balance Sheet,Other Liabilities,12,,,,8,,,,10,,,,11,15,9,19
Balance Sheet,Total Liabilities,219,,,,207,,,,205,,,,210,24,34,186
Balance Sheet,Fixed Assets,10,,,,9,,,,7,,,,9,1,1,4
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Investments,33,,,,59,,,,94,,,,1,0,0,0
