Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,823,913,689,1629,961,910,1217,1054,1315,1405,1320,1411,1150,,,,,,,,
Quarterly Results,Expenses,472,421,378,689,593,436,579,544,526,590,506,555,532,,,,,,,,
Quarterly Results,Operating Profit,352,492,310,940,369,474,638,509,789,815,814,856,618,,,,,,,,
Quarterly Results,OPM %,43%,54%,45%,58%,38%,52%,52%,48%,60%,58%,62%,61%,54%,,,,,,,,
Quarterly Results,Other Income,20,67,124,36,94,25,28,31,247,39,41,52,63,,,,,,,,
Quarterly Results,Interest,32,33,36,38,62,62,56,50,50,59,52,75,80,,,,,,,,
Quarterly Results,Depreciation,10,10,10,10,10,11,11,11,14,20,21,23,24,,,,,,,,
Quarterly Results,Profit before tax,331,517,388,929,391,426,599,479,971,775,782,810,577,,,,,,,,
Quarterly Results,Tax %,30%,22%,18%,24%,-23%,25%,24%,25%,19%,25%,25%,24%,25%,,,,,,,,
Quarterly Results,Net Profit,232,403,319,703,480,322,457,360,788,585,589,618,433,,,,,,,,
Quarterly Results,EPS in Rs,6.39,11.09,8.76,19.32,13.21,8.85,12.56,9.91,21.67,16.08,16.21,17.01,11.91,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2694,,,,4193,,,,4496,,,,5286,798,923,1416,1114,1265,2582,2238,2053
Profit & Loss,Expenses,1512,,,,2081,,,,2066,,,,2183,364,409,740,543,589,1427,1189,1052
Profit & Loss,Operating Profit,1182,,,,2112,,,,2430,,,,3103,435,514,676,571,676,1156,1048,1001
Profit & Loss,OPM %,44%,,,,50%,,,,54%,,,,59%,54%,56%,48%,51%,53%,45%,47%,49%
Profit & Loss,Other Income,297,,,,321,,,,312,,,,196,57,17,43,50,29,86,54,41
Profit & Loss,Interest,86,,,,169,,,,218,,,,265,0,2,7,6,7,19,88,76
Profit & Loss,Depreciation,40,,,,40,,,,48,,,,88,27,40,49,50,49,44,45,41
Profit & Loss,Profit before tax,1354,,,,2224,,,,2476,,,,2945,464,489,663,565,650,1178,969,924
Profit & Loss,Tax %,23%,,,,14%,,,,22%,,,,24%,33%,35%,35%,33%,29%,31%,29%,20%
Profit & Loss,Net Profit,1047,,,,1905,,,,1927,,,,2226,311,317,436,379,459,817,689,739
Profit & Loss,EPS in Rs,28.80,,,,52.38,,,,52.99,,,,61.21,9.48,9.66,12.84,11.15,13.51,22.47,18.96,20.33
Profit & Loss,Dividend Payout %,10%,,,,8%,,,,15%,,,,13%,21%,21%,16%,18%,15%,9%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,364,,,,364,,,,364,,,,364,328,328,339,340,340,364,364,364
Balance Sheet,Reserves,10053,,,,11847,,,,13481,,,,15341,4068,4306,5002,5386,5753,7666,8266,9006
Balance Sheet,Borrowings,2855,,,,3944,,,,2495,,,,3300,76,902,473,869,1694,1586,1519,1534
Balance Sheet,Other Liabilities,2394,,,,2471,,,,3293,,,,3710,1015,1584,1669,1865,2401,1483,1045,1116
Balance Sheet,Total Liabilities,15666,,,,18626,,,,19633,,,,22715,5487,7120,7484,8459,10188,11098,11193,12019
Balance Sheet,Fixed Assets,980,,,,949,,,,3053,,,,4685,931,1280,247,945,976,1062,1046,1014
Balance Sheet,CWIP,3298,,,,4031,,,,2705,,,,1604,434,22,49,110,113,126,305,1980
Balance Sheet,Investments,2679,,,,703,,,,818,,,,2535,50,0,2182,1824,2420,2938,2406,1620
Balance Sheet,Other Assets,8709,,,,12943,,,,13057,,,,13891,4073,5818,5007,5581,6679,6972,7435,7406
Balance Sheet,Total Assets,15666,,,,18626,,,,19633,,,,22715,5487,7120,7484,8459,10188,11098,11193,12019
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1069,,,,-2383,,,,2816,,,,2163,-517,-938,453,174,-202,146,-282,696
Cash Flows,Cash from Investing Activity,-1390,,,,1739,,,,-644,,,,-2392,715,-88,-121,-559,-592,-646,358,-591
Cash Flows,Cash from Financing Activity,1142,,,,709,,,,-2034,,,,200,-1,694,-204,335,651,839,-309,-116
Cash Flows,Net Cash Flow,821,,,,64,,,,138,,,,-29,197,-333,128,-50,-143,339,-233,-11
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,17,,,,96,,,,17,,,,8,39,33,29,35,52,15,19,23
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,6239
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,402
Ratios,Cash Conversion Cycle,17,,,,96,,,,17,,,,8,39,33,29,35,52,15,19,5860
Ratios,Working Capital Days,755,,,,821,,,,692,,,,624,652,1081,727,1049,942,588,873,998
Ratios,ROCE %,12%,,,,16%,,,,15%,,,,18%,11%,10%,12%,9%,9%,13%,11%,9%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.70%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,67.71%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,19.42%,18.02%,17.33%,17.77%,18.17%,17.83%,17.41%,16.96%,18.05%,18.40%,20.24%,19.96%,,,,,,,,
