Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1.34,0.82,0.94,1.30,1.37,1.82,1.30,1.47,32.41,7.21,1.52,1.33,1.23,,,,,,,,
Quarterly Results,Expenses,2.01,0.79,1.34,2.02,2.19,2.08,1.35,1.80,26.23,6.02,33.57,2.57,7.05,,,,,,,,
Quarterly Results,Operating Profit,-0.67,0.03,-0.40,-0.72,-0.82,-0.26,-0.05,-0.33,6.18,1.19,-32.05,-1.24,-5.82,,,,,,,,
Quarterly Results,OPM %,-50.00%,3.66%,-42.55%,-55.38%,-59.85%,-14.29%,-3.85%,-22.45%,19.07%,16.50%,-2108.55%,-93.23%,-473.17%,,,,,,,,
Quarterly Results,Other Income,0.70,0.19,0.20,0.20,0.39,0.24,0.12,0.01,2.81,0.64,26.20,-0.49,11.57,,,,,,,,
Quarterly Results,Interest,0.02,0.24,0.20,0.20,0.86,0.30,0.16,0.10,1.22,0.73,0.55,0.44,0.21,,,,,,,,
Quarterly Results,Depreciation,0.04,0.00,0.00,0.02,0.03,0.03,0.03,0.03,0.45,0.15,0.22,0.26,-0.01,,,,,,,,
Quarterly Results,Profit before tax,-0.03,-0.02,-0.40,-0.74,-1.32,-0.35,-0.12,-0.45,7.32,0.95,-6.62,-2.43,5.55,,,,,,,,
Quarterly Results,Tax %,-133.33%,100.00%,10.00%,6.76%,-8.33%,28.57%,75.00%,11.11%,75.55%,31.58%,2.87%,18.52%,25.23%,,,,,,,,
Quarterly Results,Net Profit,0.00,-0.04,-0.44,-0.79,-1.21,-0.45,-0.21,-0.50,1.80,0.65,-6.80,-2.88,4.15,,,,,,,,
Quarterly Results,EPS in Rs,0.00,-0.03,-0.33,-0.59,-0.91,-0.34,-0.16,-0.37,1.16,0.44,-5.04,-2.04,2.79,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6.39,,,,5.22,,,,37.87,,,,11.28,6.05,10.27,3.55,7.85,7.40,10.54,9.49,6.45
