Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,34,56,73,78,334,393,426,,,
Quarterly Results,Expenses,72,67,76,73,257,251,243,,,
Quarterly Results,Operating Profit,-39,-10,-3,5,77,142,183,,,
Quarterly Results,OPM %,-114%,-19%,-4%,7%,23%,36%,43%,,,
Quarterly Results,Other Income,-32,-74,3,1,-1,-94,2,,,
Quarterly Results,Interest,25,26,20,20,45,46,33,,,
Quarterly Results,Depreciation,18,20,20,19,68,69,68,,,
Quarterly Results,Profit before tax,-114,-130,-40,-33,-37,-67,83,,,
Quarterly Results,Tax %,0%,0%,0%,0%,12%,4%,-19%,,,
Quarterly Results,Net Profit,-114,-130,-40,-33,-42,-69,98,,,
Quarterly Results,EPS in Rs,,,,,,-6.02,8.61,,,
Quarterly Results,Raw PDF,,,,,,,,,,
,,,,,,,,,,,
Profit & Loss,Sales,,,172,,,,1445,21,128,39
Profit & Loss,Expenses,,,254,,,,978,93,132,199
Profit & Loss,Operating Profit,,,-82,,,,467,-71,-4,-161
Profit & Loss,OPM %,,,-48%,,,,32%,-334%,-3%,-415%
Profit & Loss,Other Income,,,-143,,,,-94,1,-128,-526
Profit & Loss,Interest,,,89,,,,166,16,46,48
Profit & Loss,Depreciation,,,76,,,,274,34,53,66
Profit & Loss,Profit before tax,,,-391,,,,-68,-121,-231,-800
Profit & Loss,Tax %,,,0%,,,,-73%,0%,-0%,0%
Profit & Loss,Net Profit,,,-391,,,,-18,-121,-231,-800
Profit & Loss,EPS in Rs,,,,,,,-1.57,,,
Profit & Loss,Dividend Payout %,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,
Balance Sheet,Equity Capital,,,4,,,,11,2,3,4
Balance Sheet,Reserves,,,392,,,,5869,774,1009,781
Balance Sheet,Borrowings,,,571,,,,942,386,1182,864
Balance Sheet,Other Liabilities,,,459,,,,727,96,248,365
Balance Sheet,Total Liabilities,,,1426,,,,7550,1258,2442,2015
Balance Sheet,Fixed Assets,,,863,,,,6276,633,1231,1361
Balance Sheet,CWIP,,,188,,,,60,431,490,334
Balance Sheet,Investments,,,20,,,,16,0,0,4
Balance Sheet,Other Assets,,,356,,,,1199,195,722,314
Balance Sheet,Total Assets,,,1426,,,,7550,1258,2442,2015
,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-107,,,,-68,-118,-416,-163
Cash Flows,Cash from Investing Activity,,,511,,,,-201,-207,-692,-68
Cash Flows,Cash from Financing Activity,,,-391,,,,412,381,1162,118
Cash Flows,Net Cash Flow,,,13,,,,143,56,54,-112
,,,,,,,,,,,
Ratios,Debtor Days,,,117,,,,105,38,67,36
Ratios,Inventory Days,,,258,,,,133,87,,615
Ratios,Days Payable,,,163,,,,147,762,,420
Ratios,Cash Conversion Cycle,,,212,,,,91,-637,67,232
Ratios,Working Capital Days,,,-259,,,,59,-1085,271,-1953
Ratios,ROCE %,,,-12%,,,,5%,,-3%,-12%
,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,37.76%,34.25%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,17.44%,18.54%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,12.56%,18.03%,,,
Shareholding Pattern (Quarterly),Public,,,,,,32.24%,29.18%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,98425,82712,,,
,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,34.25%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,18.54%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,18.03%,,,
Shareholding Pattern (Yearly),Public,,,,,,,29.18%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,82712,,,
,,,,,,,,,,,
