Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,194,206,301,327,340,282,274,482,490,493,477,472,449,,,,,,,,
Quarterly Results,Expenses,211,206,293,312,346,268,262,460,461,470,448,438,426,,,,,,,,
Quarterly Results,Operating Profit,-17,-0,8,15,-5,13,13,22,29,23,29,34,23,,,,,,,,
Quarterly Results,OPM %,-9%,-0%,3%,5%,-2%,5%,5%,5%,6%,5%,6%,7%,5%,,,,,,,,
Quarterly Results,Other Income,29,9,8,3,34,4,3,3,15,5,5,1,10,,,,,,,,
Quarterly Results,Interest,2,1,1,2,2,1,2,2,3,7,8,8,7,,,,,,,,
Quarterly Results,Depreciation,4,2,5,3,4,4,4,4,6,6,7,6,4,,,,,,,,
Quarterly Results,Profit before tax,6,6,10,13,24,12,9,19,36,15,20,21,21,,,,,,,,
Quarterly Results,Tax %,52%,20%,30%,4%,27%,21%,42%,6%,33%,20%,31%,27%,-7%,,,,,,,,
Quarterly Results,Net Profit,3,5,7,13,17,9,5,18,24,12,14,15,22,,,,,,,,
Quarterly Results,EPS in Rs,0.33,0.58,0.83,1.46,2.01,1.09,0.63,2.09,2.80,1.41,1.60,1.75,2.57,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,472,,,,1174,,,,1528,,,,1890,4106,2570,1922,1538,714,1173,333,182
Profit & Loss,Expenses,491,,,,1156,,,,1449,,,,1782,3986,2461,1842,1492,660,1234,425,280
Profit & Loss,Operating Profit,-20,,,,18,,,,79,,,,108,120,109,80,45,54,-61,-91,-98
Profit & Loss,OPM %,-4%,,,,2%,,,,5%,,,,6%,3%,4%,4%,3%,8%,-5%,-27%,-54%
Profit & Loss,Other Income,36,,,,54,,,,23,,,,21,7,8,9,29,15,63,17,206
Profit & Loss,Interest,5,,,,6,,,,8,,,,30,39,40,43,44,33,42,8,6
Profit & Loss,Depreciation,6,,,,13,,,,18,,,,22,13,33,23,19,16,17,10,5
Profit & Loss,Profit before tax,5,,,,53,,,,76,,,,77,75,43,23,11,20,-57,-93,97
Profit & Loss,Tax %,120%,,,,21%,,,,25%,,,,17%,35%,36%,43%,39%,31%,4%,-8%,3%
Profit & Loss,Net Profit,-1,,,,42,,,,57,,,,63,49,27,13,7,14,-59,-85,95
