Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,66,89,89,106,111,93,91,102,107,82,103,122,133,,,,,,,,
Quarterly Results,Expenses,54,64,65,73,79,70,71,74,81,70,79,87,94,,,,,,,,
Quarterly Results,Operating Profit,12,25,23,32,32,22,20,29,27,12,25,35,39,,,,,,,,
Quarterly Results,OPM %,18%,28%,26%,31%,29%,24%,22%,28%,25%,14%,24%,28%,29%,,,,,,,,
Quarterly Results,Other Income,2,2,3,1,4,1,2,5,4,1,0,1,1,,,,,,,,
Quarterly Results,Interest,5,6,5,5,5,5,5,5,3,4,5,5,4,,,,,,,,
Quarterly Results,Depreciation,7,6,6,6,6,6,6,6,6,7,8,9,9,,,,,,,,
Quarterly Results,Profit before tax,2,16,16,23,26,13,11,22,21,2,13,22,26,,,,,,,,
Quarterly Results,Tax %,33%,29%,29%,34%,30%,32%,31%,24%,21%,26%,34%,34%,32%,,,,,,,,
Quarterly Results,Net Profit,0,10,8,16,21,7,4,19,19,-1,6,15,19,,,,,,,,
Quarterly Results,EPS in Rs,0.00,0.56,0.45,0.87,1.16,0.41,0.24,1.04,1.08,-0.08,0.32,0.86,1.09,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,219,,,,395,,,,393,,,,440,355,367,311,335,358,347,291,116
Profit & Loss,Expenses,196,,,,282,,,,295,,,,330,301,306,278,286,302,295,253,148
Profit & Loss,Operating Profit,23,,,,112,,,,98,,,,110,55,60,33,49,56,51,38,-32
Profit & Loss,OPM %,11%,,,,29%,,,,25%,,,,25%,15%,16%,11%,15%,16%,15%,13%,-28%
Profit & Loss,Other Income,7,,,,11,,,,11,,,,3,-15,3,-6,5,4,104,7,7
Profit & Loss,Interest,22,,,,20,,,,17,,,,17,31,32,32,32,31,27,24,22
Profit & Loss,Depreciation,26,,,,23,,,,24,,,,33,35,33,24,25,28,28,28,29
Profit & Loss,Profit before tax,-18,,,,80,,,,68,,,,63,-26,-2,-28,-3,2,100,-6,-76
Profit & Loss,Tax %,-29%,,,,31%,,,,26%,,,,33%,-6%,-125%,-29%,15%,136%,13%,3%,-29%
Profit & Loss,Net Profit,-20,,,,54,,,,50,,,,39,-24,1,-12,5,6,92,-8,-71
Profit & Loss,EPS in Rs,-1.13,,,,3.04,,,,2.78,,,,2.20,-1.27,0.09,-0.69,0.28,0.34,5.13,-0.46,-3.99
Profit & Loss,Dividend Payout %,0%,,,,16%,,,,18%,,,,23%,-43%,436%,-29%,0%,0%,10%,-43%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,18,,,,18,,,,18,,,,18,18,18,18,18,18,18,18,18
Balance Sheet,Reserves,422,,,,521,,,,601,,,,664,365,329,402,394,424,516,513,433
Balance Sheet,Borrowings,280,,,,215,,,,202,,,,183,347,348,317,322,313,243,228,253
Balance Sheet,Other Liabilities,66,,,,74,,,,70,,,,85,105,141,82,75,72,75,69,67
Balance Sheet,Total Liabilities,786,,,,828,,,,890,,,,950,835,836,819,809,827,852,828,771
Balance Sheet,Fixed Assets,355,,,,380,,,,388,,,,481,533,537,407,391,376,395,396,372
Balance Sheet,CWIP,0,,,,4,,,,54,,,,1,17,5,4,4,17,2,2,5
Balance Sheet,Investments,252,,,,296,,,,334,,,,366,96,100,238,235,259,289,272,248
Balance Sheet,Other Assets,179,,,,148,,,,114,,,,101,190,194,170,179,175,167,158,146
Balance Sheet,Total Assets,786,,,,828,,,,890,,,,950,835,836,819,809,827,852,828,771
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,29,,,,104,,,,91,,,,100,57,64,28,42,52,38,45,-21
Cash Flows,Cash from Investing Activity,-32,,,,-10,,,,-57,,,,-56,-44,-26,-7,-4,-19,82,39,-1
Cash Flows,Cash from Financing Activity,4,,,,-105,,,,-40,,,,-46,-15,-43,-18,-32,-40,-98,-65,-0
Cash Flows,Net Cash Flow,1,,,,-10,,,,-7,,,,-2,-2,-5,3,7,-7,22,18,-23
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,24,,,,17,,,,13,,,,19,23,21,18,15,16,14,15,28
Ratios,Inventory Days,125,,,,86,,,,90,,,,95,76,92,78,74,76,71,103,197
Ratios,Days Payable,460,,,,315,,,,274,,,,293,274,293,341,317,326,376,441,756
Ratios,Cash Conversion Cycle,-311,,,,-212,,,,-171,,,,-179,-175,-180,-245,-227,-234,-291,-324,-532
Ratios,Working Capital Days,-32,,,,-12,,,,-17,,,,-12,-168,-42,-32,-21,-13,-276,-35,-62
Ratios,ROCE %,1%,,,,13%,,,,11%,,,,9%,3%,4%,1%,4%,4%,4%,2%,-7%
,,,,,,,,,,,,,,,,,,,,,,
