Section,,Jun 2011,Mar 2012,Jun 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,19.81,19.77,15.93,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,17.13,20.77,13.85,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,2.68,-1.00,2.08,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,13.53%,-5.06%,13.06%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.01,0.19,0.03,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.55,0.98,1.12,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0.34,0.39,0.33,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,1.80,-2.18,0.66,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,33.33%,-11.93%,33.33%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.20,-1.92,0.44,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,3.24,-1.14,0.26,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,15.68%,15.68%,15.68%,21.51%,7.36%,7.37%,7.36%,1.23%,1.23%,1.23%,1.23%,1.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.25%,6.25%,6.25%,6.53%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,84.32%,84.32%,84.31%,78.49%,92.63%,92.64%,92.64%,98.76%,92.53%,92.52%,92.52%,92.24%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,12571,12449,12781,12585,12181,11836,12314,12192,11952,12165,12094,12144,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,21.51%,,,,1.23%,,,,1.23%,35.64%,35.64%,34.84%,34.84%,10.40%,15.68%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.00%,,,,0.00%,,,,6.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,78.49%,,,,98.76%,,,,92.24%,64.36%,64.33%,65.16%,65.16%,89.60%,84.32%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,12585,,,,12192,,,,12144,6339,6483,6336,6367,7297,12662
,,,,,,,,,,,,,,,,,,,,,,
