Section,,Mar 2022,Mar 2023,Mar 2024,Jun 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,360,385,759,
Profit & Loss,Expenses,322,327,606,
Profit & Loss,Operating Profit,39,58,153,
Profit & Loss,OPM %,11%,15%,20%,
Profit & Loss,Other Income,1,2,0,
Profit & Loss,Interest,8,6,14,
Profit & Loss,Depreciation,7,8,9,
Profit & Loss,Profit before tax,24,47,130,
Profit & Loss,Tax %,29%,27%,25%,
Profit & Loss,Net Profit,17,34,98,
Profit & Loss,EPS in Rs,28.93,58.44,166.90,
Profit & Loss,Dividend Payout %,0%,0%,0%,
,,,,,
Balance Sheet,Equity Capital,6,6,6,
Balance Sheet,Reserves,38,73,173,
Balance Sheet,Borrowings,90,62,78,
Balance Sheet,Other Liabilities,88,111,254,
Balance Sheet,Total Liabilities,222,252,511,
Balance Sheet,Fixed Assets,71,81,97,
Balance Sheet,CWIP,0,3,1,
Balance Sheet,Investments,4,0,0,
Balance Sheet,Other Assets,147,168,413,
Balance Sheet,Total Assets,222,252,511,
,,,,,
Cash Flows,Cash from Operating Activity,65,50,17,
Cash Flows,Cash from Investing Activity,-46,-21,-24,
Cash Flows,Cash from Financing Activity,-14,-33,3,
Cash Flows,Net Cash Flow,5,-4,-3,
,,,,,
Ratios,Debtor Days,38,69,115,
Ratios,Inventory Days,108,93,89,
Ratios,Days Payable,78,82,47,
Ratios,Cash Conversion Cycle,69,80,157,
Ratios,Working Capital Days,51,47,75,
Ratios,ROCE %,,38%,74%,
,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,75.67%
Shareholding Pattern (Quarterly),FIIs,,,,4.17%
Shareholding Pattern (Quarterly),DIIs,,,,9.23%
Shareholding Pattern (Quarterly),Public,,,,10.92%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,339735
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,75.67%
Shareholding Pattern (Yearly),FIIs,,,,4.17%
Shareholding Pattern (Yearly),DIIs,,,,9.23%
Shareholding Pattern (Yearly),Public,,,,10.92%
Shareholding Pattern (Yearly),No. of Shareholders,,,,339735
,,,,,
