Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,23.86,36.49,48.94,30.86,31.74,33.05,41.68,18.92,22.33,19.32,28.52,20.33,17.50,,,,,,,,
Quarterly Results,Expenses,24.52,35.46,47.28,31.01,31.90,33.47,40.05,21.09,22.88,20.56,29.01,21.59,20.37,,,,,,,,
Quarterly Results,Operating Profit,-0.66,1.03,1.66,-0.15,-0.16,-0.42,1.63,-2.17,-0.55,-1.24,-0.49,-1.26,-2.87,,,,,,,,
Quarterly Results,OPM %,-2.77%,2.82%,3.39%,-0.49%,-0.50%,-1.27%,3.91%,-11.47%,-2.46%,-6.42%,-1.72%,-6.20%,-16.40%,,,,,,,,
Quarterly Results,Other Income,0.30,0.73,0.51,0.74,0.69,1.31,0.76,0.98,1.40,1.03,0.99,1.03,1.05,,,,,,,,
Quarterly Results,Interest,0.69,0.86,0.83,1.22,1.51,1.64,1.74,1.48,1.52,1.46,1.54,1.36,1.27,,,,,,,,
Quarterly Results,Depreciation,0.14,0.19,0.17,0.22,0.48,0.42,0.40,0.45,0.38,0.34,0.27,0.33,0.30,,,,,,,,
Quarterly Results,Profit before tax,-1.19,0.71,1.17,-0.85,-1.46,-1.17,0.25,-3.12,-1.05,-2.01,-1.31,-1.92,-3.39,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.19%,41.59%,,,,,,,,
Quarterly Results,Net Profit,-1.19,0.71,1.17,-0.85,-1.46,-1.18,0.26,-3.12,-1.05,-2.01,-1.31,-2.24,-4.80,,,,,,,,
