Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2024,Sep 2024
Quarterly Results,Sales,17.10,20.60,17.74,4.60,5.44,8.58,4.55,8.04,6.01,30.22,12.22,4.20,18.68,,,,,,,,,
Quarterly Results,Expenses,14.60,18.44,15.99,3.61,4.22,7.42,3.36,6.04,4.71,26.94,11.48,2.70,11.93,,,,,,,,,
Quarterly Results,Operating Profit,2.50,2.16,1.75,0.99,1.22,1.16,1.19,2.00,1.30,3.28,0.74,1.50,6.75,,,,,,,,,
Quarterly Results,OPM %,14.62%,10.49%,9.86%,21.52%,22.43%,13.52%,26.15%,24.88%,21.63%,10.85%,6.06%,35.71%,36.13%,,,,,,,,,
Quarterly Results,Other Income,0.07,0.10,0.19,0.07,0.04,0.16,0.54,0.60,1.33,1.09,2.17,0.60,2.29,,,,,,,,,
Quarterly Results,Interest,0.12,0.25,0.67,0.09,0.09,0.06,0.55,1.11,1.22,1.26,0.80,0.81,1.47,,,,,,,,,
Quarterly Results,Depreciation,0.28,0.80,0.46,0.42,0.46,0.48,0.50,0.44,0.45,0.45,0.59,0.98,0.21,,,,,,,,,
Quarterly Results,Profit before tax,2.17,1.21,0.81,0.55,0.71,0.78,0.68,1.05,0.96,2.66,1.52,0.31,7.36,,,,,,,,,
Quarterly Results,Tax %,18.89%,24.79%,61.73%,16.36%,35.21%,23.08%,29.41%,20.95%,14.58%,22.56%,1.97%,12.90%,26.90%,,,,,,,,,
Quarterly Results,Net Profit,1.76,0.91,0.31,0.47,0.46,0.61,0.48,0.83,0.82,2.07,1.49,0.26,5.39,,,,,,,,,
Quarterly Results,EPS in Rs,1.01,0.52,0.18,0.27,0.26,0.35,0.28,0.48,0.47,1.19,0.85,0.15,3.09,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,60.25,,,,22.51,,,,56.04,,39.97,9.99,6.53,2.90,6.01,10.06,34.80,36.10,,
Profit & Loss,Expenses,,,52.55,,,,17.96,,,,48.73,,27.37,5.74,3.62,1.21,2.73,8.27,27.57,26.91,,
