Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,189,547,898,854,173,68,449,40,48,401,505,639,699,,,,,,,,,
Quarterly Results,Expenses,379,463,750,818,194,111,503,113,50,350,419,527,554,,,,,,,,,
Quarterly Results,Operating Profit,-190,85,147,36,-20,-43,-54,-73,-2,52,86,112,145,,,,,,,,,
Quarterly Results,OPM %,-101%,15%,16%,4%,-12%,-64%,-12%,-182%,-3%,13%,17%,18%,21%,,,,,,,,,
Quarterly Results,Other Income,39,76,61,29,-2,5,45,3,11,39,44,44,1,,,,,,,,,
Quarterly Results,Interest,114,122,122,125,124,125,124,126,130,2,2,3,45,,,,,,,,,
Quarterly Results,Depreciation,7,7,7,7,7,7,5,5,4,4,4,5,5,,,,,,,,,
Quarterly Results,Profit before tax,-273,33,79,-67,-152,-170,-137,-201,-124,85,123,148,96,,,,,,,,,
Quarterly Results,Tax %,-37%,-129%,-9%,-9%,98%,1%,1%,-1%,-2%,-84%,-45%,0%,2%,,,,,,,,,
Quarterly Results,Net Profit,-173,74,86,-61,-302,-172,-138,-198,-122,156,179,148,95,,,,,,,,,
Quarterly Results,EPS in Rs,-0.37,0.16,0.18,-0.13,-0.65,-0.37,-0.30,-0.43,-0.26,0.34,0.38,0.25,0.15,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1605,,,,2472,,,,604,,,,2245,5325,6361,7301,8464,9610,8672,5206,2825,
Profit & Loss,Expenses,1696,,,,2216,,,,774,,,,1850,4726,5631,6543,7699,8620,8374,4749,2410,
Profit & Loss,Operating Profit,-91,,,,256,,,,-170,,,,395,599,730,758,765,990,298,457,415,
Profit & Loss,OPM %,-6%,,,,10%,,,,-28%,,,,18%,11%,11%,10%,9%,10%,3%,9%,15%,
Profit & Loss,Other Income,53,,,,163,,,,64,,,,127,36,59,50,97,92,77,80,24,
Profit & Loss,Interest,442,,,,499,,,,505,,,,51,153,227,251,286,324,354,374,396,
Profit & Loss,Depreciation,28,,,,27,,,,20,,,,18,12,23,23,22,21,19,37,35,
