Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,693,700,834,692,668,749,814,745,823,733,748,840,906,,,,,,,,
Quarterly Results,Expenses,642,655,788,634,600,687,744,669,758,662,672,768,815,,,,,,,,
Quarterly Results,Operating Profit,51,45,46,58,68,62,70,76,65,72,75,72,91,,,,,,,,
Quarterly Results,OPM %,7%,6%,6%,8%,10%,8%,9%,10%,8%,10%,10%,9%,10%,,,,,,,,
Quarterly Results,Other Income,7,11,16,8,2,12,6,6,16,7,6,16,7,,,,,,,,
Quarterly Results,Interest,21,22,25,22,23,28,30,31,26,27,28,31,34,,,,,,,,
Quarterly Results,Depreciation,15,16,16,16,17,16,17,18,16,17,17,17,18,,,,,,,,
Quarterly Results,Profit before tax,22,19,22,28,31,29,30,33,39,35,36,40,47,,,,,,,,
Quarterly Results,Tax %,23%,25%,24%,23%,22%,26%,25%,23%,26%,25%,25%,23%,24%,,,,,,,,
Quarterly Results,Net Profit,17,14,16,21,24,22,22,25,29,26,27,30,36,,,,,,,,
Quarterly Results,EPS in Rs,1.16,1.00,1.24,1.58,1.73,1.62,1.67,1.88,2.12,1.96,1.99,2.26,2.64,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2266,,,,2895,,,,3131,,,,3227,1125,1313,1356,1541,1768,2133,2107,1525
Profit & Loss,Expenses,2094,,,,2673,,,,2858,,,,2916,1035,1195,1208,1387,1562,1959,1937,1432
Profit & Loss,Operating Profit,171,,,,221,,,,273,,,,310,90,118,148,154,206,175,169,93
Profit & Loss,OPM %,8%,,,,8%,,,,9%,,,,10%,8%,9%,11%,10%,12%,8%,8%,6%
Profit & Loss,Other Income,17,,,,33,,,,40,,,,37,4,3,3,8,29,25,20,39
Profit & Loss,Interest,78,,,,91,,,,115,,,,120,26,36,38,62,67,75,83,80
Profit & Loss,Depreciation,54,,,,65,,,,66,,,,69,19,18,19,25,29,28,43,48
Profit & Loss,Profit before tax,56,,,,98,,,,131,,,,158,48,67,94,75,138,97,63,4
Profit & Loss,Tax %,25%,,,,23%,,,,25%,,,,25%,36%,35%,38%,33%,34%,31%,15%,22%
Profit & Loss,Net Profit,42,,,,75,,,,98,,,,119,31,43,58,50,90,67,53,3
Profit & Loss,EPS in Rs,2.94,,,,5.59,,,,7.29,,,,8.84,2.15,2.98,3.64,2.87,7.43,5.52,3.65,0.18
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,71,,,,67,,,,67,,,,67,60,60,60,60,76,76,73,71
Balance Sheet,Reserves,664,,,,711,,,,809,,,,931,311,342,454,416,528,591,628,625
Balance Sheet,Borrowings,646,,,,685,,,,785,,,,812,161,198,267,299,355,445,490,618
Balance Sheet,Other Liabilities,760,,,,855,,,,978,,,,1144,300,332,644,709,553,631,663,579
Balance Sheet,Total Liabilities,2141,,,,2318,,,,2640,,,,2954,832,931,1425,1484,1512,1744,1853,1893
Balance Sheet,Fixed Assets,644,,,,721,,,,697,,,,947,268,282,464,441,342,454,626,603
Balance Sheet,CWIP,76,,,,18,,,,218,,,,53,13,3,3,12,27,118,33,61
Balance Sheet,Investments,45,,,,27,,,,22,,,,12,26,26,33,35,69,52,45,18
Balance Sheet,Other Assets,1376,,,,1552,,,,1704,,,,1942,526,620,925,996,1073,1120,1149,1211
Balance Sheet,Total Assets,2141,,,,2318,,,,2640,,,,2954,832,931,1425,1484,1512,1744,1853,1893
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,195,,,,244,,,,225,,,,256,84,30,205,-19,-2,174,191,-43
Cash Flows,Cash from Investing Activity,-98,,,,-26,,,,-256,,,,-105,-72,-30,-268,41,-39,-204,-72,-6
Cash Flows,Cash from Financing Activity,-92,,,,-113,,,,-22,,,,-100,-35,-4,115,-21,16,13,-95,43
Cash Flows,Net Cash Flow,4,,,,105,,,,-53,,,,51,-23,-3,51,1,-26,-18,24,-5
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,68,,,,46,,,,58,,,,66,81,94,103,82,83,79,69,102
Ratios,Inventory Days,167,,,,159,,,,155,,,,178,93,88,116,157,147,122,128,193
Ratios,Days Payable,142,,,,118,,,,149,,,,167,88,85,196,173,125,125,139,176
Ratios,Cash Conversion Cycle,94,,,,86,,,,64,,,,77,86,98,24,66,104,76,57,120
Ratios,Working Capital Days,83,,,,59,,,,61,,,,71,79,91,54,65,95,73,56,137
Ratios,ROCE %,10%,,,,13%,,,,16%,,,,16%,13%,17%,18%,16%,21%,17%,13%,5%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,38.20%,39.75%,39.75%,39.75%,39.75%,39.75%,39.75%,39.62%,39.63%,39.67%,39.67%,39.67%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.14%,0.65%,4.08%,4.86%,4.25%,4.69%,4.31%,4.62%,4.86%,4.81%,4.40%,3.81%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.03%,0.00%,0.10%,0.35%,0.27%,0.32%,1.48%,1.59%,1.69%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,61.66%,59.60%,56.18%,55.37%,56.01%,55.47%,55.59%,55.48%,55.18%,54.04%,54.34%,54.84%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,59594,55531,55146,60975,64184,83318,87165,93940,93684,85000,86446,87736,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,37.71%,,,,39.75%,,,,39.62%,,,,39.67%,,,,36.36%,36.37%,36.41%,36.84%,37.69%
Shareholding Pattern (Yearly),FIIs,0.20%,,,,4.86%,,,,4.62%,,,,3.81%,,,,10.97%,11.96%,10.45%,10.05%,8.82%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.03%,,,,0.27%,,,,1.69%,,,,12.56%,9.18%,9.57%,9.14%,5.86%
Shareholding Pattern (Yearly),Public,62.09%,,,,55.37%,,,,55.48%,,,,54.84%,,,,40.11%,42.49%,43.57%,43.98%,47.62%
Shareholding Pattern (Yearly),No. of Shareholders,62306,,,,60975,,,,93940,,,,87736,,,,44121,45499,45961,45187,42625
,,,,,,,,,,,,,,,,,,,,,,
