Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,11160,14264,15986,15776,13874,11656,12533,14747,13793,13415,13024,12227,12316,,,,,,,
Quarterly Results,Expenses,9992,13200,14813,14101,12931,10475,11318,13042,12690,11853,11822,10980,10803,,,,,,,
Quarterly Results,Operating Profit,1169,1064,1173,1675,943,1182,1215,1705,1104,1562,1202,1247,1512,,,,,,,
Quarterly Results,OPM %,10%,7%,7%,11%,7%,10%,10%,12%,8%,12%,9%,10%,12%,,,,,,,
Quarterly Results,Other Income,127,166,136,200,159,145,194,157,154,178,202,196,197,,,,,,,
Quarterly Results,Interest,80,78,81,81,90,75,75,70,71,67,65,65,61,,,,,,,
Quarterly Results,Depreciation,190,191,192,192,189,192,195,195,194,195,196,210,206,,,,,,,
Quarterly Results,Profit before tax,1026,961,1035,1601,823,1060,1140,1597,992,1479,1142,1169,1443,,,,,,,
Quarterly Results,Tax %,23%,25%,24%,25%,25%,26%,25%,25%,26%,26%,26%,26%,26%,,,,,,,
Quarterly Results,Net Profit,791,725,786,1196,619,819,856,1213,764,1105,871,902,1095,,,,,,,
Quarterly Results,EPS in Rs,5.27,4.83,5.24,7.98,4.13,5.46,5.70,8.09,5.10,7.37,5.80,6.01,7.30,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,43169,,,,59899,,,,52729,,,,50982,39627,27133,24616,30599,38395,35452,26023
Profit & Loss,Expenses,37918,,,,55045,,,,47520,,,,45458,38109,25547,22024,27285,35101,31462,21323
Profit & Loss,Operating Profit,5250,,,,4854,,,,5209,,,,5524,1518,1586,2592,3314,3294,3990,4700
Profit & Loss,OPM %,12%,,,,8%,,,,10%,,,,11%,4%,6%,11%,11%,9%,11%,18%
Profit & Loss,Other Income,395,,,,523,,,,605,,,,773,156,188,364,349,525,306,377
Profit & Loss,Interest,317,,,,331,,,,290,,,,258,308,239,210,163,99,403,336
Profit & Loss,Depreciation,768,,,,764,,,,777,,,,806,329,322,369,412,411,776,784
Profit & Loss,Profit before tax,4559,,,,4282,,,,4748,,,,5233,1037,1214,2378,3088,3309,3116,3958
Profit & Loss,Tax %,25%,,,,26%,,,,26%,,,,26%,13%,24%,28%,32%,33%,13%,26%
Profit & Loss,Net Profit,3438,,,,3326,,,,3652,,,,3973,905,928,1723,2110,2231,2703,2939
Profit & Loss,EPS in Rs,22.92,,,,22.17,,,,24.35,,,,26.48,6.03,6.19,11.49,14.07,14.87,18.02,19.59
Profit & Loss,Dividend Payout %,50%,,,,45%,,,,41%,,,,38%,17%,20%,22%,32%,67%,69%,59%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1500,,,,1500,,,,1500,,,,1500,750,750,750,1500,1500,1500,1500
Balance Sheet,Reserves,12168,,,,13765,,,,15910,,,,18378,4972,5912,7428,8311,8731,9621,10307
Balance Sheet,Borrowings,3438,,,,3345,,,,3008,,,,2657,2812,2615,2218,1453,733,3690,3653
Balance Sheet,Other Liabilities,4258,,,,4210,,,,5131,,,,4763,2830,3198,3517,4480,4285,4056,3630
Balance Sheet,Total Liabilities,21365,,,,22820,,,,25549,,,,27297,11364,12475,13914,15745,15249,18867,19090
Balance Sheet,Fixed Assets,9557,,,,8790,,,,8147,,,,8836,7217,6811,8423,8030,7665,11188,10313
Balance Sheet,CWIP,193,,,,1126,,,,1552,,,,1642,754,1550,49,220,348,5,25
Balance Sheet,Investments,1286,,,,1368,,,,617,,,,1712,5,138,3020,4213,1154,517,1707
Balance Sheet,Other Assets,10329,,,,11535,,,,15233,,,,15107,3388,3975,2422,3282,6082,7157,7044
Balance Sheet,Total Assets,21365,,,,22820,,,,25549,,,,27297,11364,12475,13914,15745,15249,18867,19090
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3479,,,,2519,,,,4871,,,,4398,901,3374,2068,2996,2141,2863,3559
Cash Flows,Cash from Investing Activity,-1063,,,,-1142,,,,-1056,,,,-3189,-717,-854,-3175,-1278,-72,941,-927
Cash Flows,Cash from Financing Activity,-2211,,,,-2368,,,,-2154,,,,-2152,-1058,-699,-748,-1335,-2548,-3055,-2759
Cash Flows,Net Cash Flow,205,,,,-991,,,,1661,,,,-942,-874,1821,-1856,383,-478,749,-127
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,23,,,,25,,,,23,13,13,18,19,13,16,26
Ratios,Inventory Days,6,,,,8,,,,12,,,,10,9,4,9,7,6,6,6
Ratios,Days Payable,15,,,,11,,,,23,,,,21,3,11,16,21,14,14,18
Ratios,Cash Conversion Cycle,13,,,,20,,,,14,,,,12,18,6,11,4,5,8,14
Ratios,Working Capital Days,9,,,,16,,,,12,,,,18,8,-2,-5,-8,-3,3,9
Ratios,ROCE %,30%,,,,26%,,,,26%,,,,26%,,15%,26%,30%,31%,28%,28%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,34.83%,34.83%,34.85%,34.81%,34.27%,33.31%,26.82%,26.22%,25.58%,27.31%,28.61%,28.77%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,2.93%,4.05%,4.11%,4.55%,4.97%,5.93%,10.95%,11.37%,12.86%,11.81%,11.10%,11.18%,,,,,,,
Shareholding Pattern (Quarterly),Public,,12.24%,11.11%,11.03%,10.66%,10.77%,10.76%,12.21%,12.41%,11.56%,10.88%,10.29%,10.05%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,412002,408400,403627,394760,389109,384845,433628,454319,456043,455045,436896,426703,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.00%,,,,50.00%,,,,50.00%,,,,50.00%,,,50.00%,50.00%,50.00%,50.00%,50.00%
Shareholding Pattern (Yearly),FIIs,33.60%,,,,34.81%,,,,26.22%,,,,28.77%,,,19.43%,25.11%,25.65%,29.31%,30.50%
Shareholding Pattern (Yearly),DIIs,3.38%,,,,4.55%,,,,11.37%,,,,11.18%,,,17.69%,9.82%,11.01%,7.80%,6.32%
Shareholding Pattern (Yearly),Public,13.02%,,,,10.66%,,,,12.41%,,,,10.05%,,,12.88%,15.07%,13.34%,12.89%,13.18%
Shareholding Pattern (Yearly),No. of Shareholders,437536,,,,394760,,,,454319,,,,426703,,,277488,325721,308014,311154,377345
,,,,,,,,,,,,,,,,,,,,,
