Section,,Nov 2006,Nov 2007,Nov 2008,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,664,676,678,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,537,815,760,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,127,-139,-82,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,19%,-21%,-12%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,48,600,512,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,0,0,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,13,10,11,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,163,451,419,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,35%,25%,29%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,106,340,300,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,35.64,113.94,100.39,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,63%,24%,12%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,30,30,30,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,376,620,871,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,240,218,197,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,646,867,1098,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,65,60,51,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,10,32,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,579,797,1014,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,646,867,1098,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,123,17,238,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,7,232,-79,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-34,-76,-95,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,97,173,64,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,38,33,32,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,160,149,190,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,208,144,164,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-10,39,58,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,2,45,135,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,37%,27%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,2.55%,2.55%,2.77%,2.80%,2.81%,2.82%,3.03%,3.32%,3.22%,3.54%,2.74%,2.18%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,14.83%,14.88%,14.93%,14.89%,14.89%,15.00%,15.15%,15.32%,15.83%,16.03%,16.80%,17.10%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,18.70%,18.65%,18.39%,18.38%,18.37%,18.24%,17.87%,17.42%,17.00%,16.50%,16.54%,16.79%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,123449,122028,117950,117194,115988,116948,112456,109214,106098,98824,105015,108261,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,63.92%,,,,63.92%,,,,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%,63.92%
Shareholding Pattern (Yearly),FIIs,,,,,,,2.80%,,,,3.32%,,,,2.18%,2.89%,3.01%,4.20%,3.69%,1.89%,2.20%
Shareholding Pattern (Yearly),DIIs,,,,,,,14.89%,,,,15.32%,,,,17.10%,10.53%,11.91%,11.98%,12.66%,14.63%,15.06%
Shareholding Pattern (Yearly),Public,,,,,,,18.38%,,,,17.42%,,,,16.79%,22.66%,21.16%,19.90%,19.73%,19.55%,18.82%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,117194,,,,109214,,,,108261,85570,72919,76717,82750,145980,125287
,,,,,,,,,,,,,,,,,,,,,,
