Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 201415m,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2014,Mar 2016,Jun 2025
Quarterly Results,Sales,1099,1028,1075,1106,1435,1210,1026,841,873,813,897,909,979,,,,,,,,,,,
Quarterly Results,Expenses,779,858,896,917,999,1057,1033,815,832,739,686,641,747,,,,,,,,,,,
Quarterly Results,Operating Profit,319,170,179,189,437,153,-7,26,42,75,211,268,232,,,,,,,,,,,
Quarterly Results,OPM %,29%,17%,17%,17%,30%,13%,-1%,3%,5%,9%,24%,29%,24%,,,,,,,,,,,
Quarterly Results,Other Income,-126,4,50,70,96,59,12,105,81,30,131,-84,-231,,,,,,,,,,,
Quarterly Results,Interest,101,101,100,88,132,156,160,117,125,127,128,150,133,,,,,,,,,,,
Quarterly Results,Depreciation,123,101,107,102,157,125,128,132,113,112,139,128,126,,,,,,,,,,,
Quarterly Results,Profit before tax,-31,-28,22,69,243,-69,-284,-118,-116,-135,75,-94,-257,,,,,,,,,,,
Quarterly Results,Tax %,189%,74%,51%,40%,22%,5%,-10%,-33%,-31%,17%,33%,6%,-2%,,,,,,,,,,,
Quarterly Results,Net Profit,-90,-49,11,42,190,-72,-257,-79,-80,-158,50,-99,-252,,,,,,,,,,,
Quarterly Results,EPS in Rs,-3.01,-1.51,0.40,0.55,5.48,-2.27,-7.37,-1.85,-2.01,-3.98,1.11,-2.01,-7.70,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3386,,,,4644,,,,3951,,,,3599,1080,1606,1382,2153,2257,2539,2928,2536,,,
Profit & Loss,Expenses,2589,,,,3670,,,,3697,,,,2813,875,1364,1180,1743,1840,2180,2524,1947,,,
Profit & Loss,Operating Profit,797,,,,975,,,,253,,,,786,204,241,203,410,416,359,404,590,,,
Profit & Loss,OPM %,24%,,,,21%,,,,6%,,,,22%,19%,15%,15%,19%,18%,14%,14%,23%,,,
Profit & Loss,Other Income,-89,,,,219,,,,216,,,,-154,23,-228,-38,121,34,123,13,45,,,
Profit & Loss,Interest,373,,,,421,,,,558,,,,538,69,73,262,172,212,237,231,251,,,
Profit & Loss,Depreciation,417,,,,527,,,,498,,,,505,133,221,203,255,277,304,381,422,,,
Profit & Loss,Profit before tax,-82,,,,246,,,,-587,,,,-411,25,-281,-301,105,-39,-58,-196,-39,,,
Profit & Loss,Tax %,111%,,,,45%,,,,-17%,,,,12%,28%,12%,5%,9%,15%,-44%,-21%,46%,,,
Profit & Loss,Net Profit,-174,,,,194,,,,-488,,,,-458,18,-313,-317,96,-44,-33,-154,-56,,,
Profit & Loss,EPS in Rs,-5.73,,,,4.92,,,,-13.49,,,,-12.57,1.31,-9.78,-9.48,2.79,-1.78,-0.76,-4.39,-1.45,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,30,,,,30,,,,30,,,,30,,30,,30,30,30,30,30,19,30,
Balance Sheet,Reserves,84,,,,-5,,,,486,,,,729,,1082,,510,546,498,362,237,719,378,
Balance Sheet,Borrowings,4102,,,,4892,,,,4859,,,,4879,,1037,,1339,1637,2419,3371,3904,823,1571,
Balance Sheet,Other Liabilities,1422,,,,1826,,,,1744,,,,2888,,1229,,1422,1226,899,1205,1159,498,1366,
Balance Sheet,Total Liabilities,5638,,,,6743,,,,7120,,,,8526,,3379,,3301,3439,3846,4969,5329,2059,3345,
Balance Sheet,Fixed Assets,2895,,,,3067,,,,2990,,,,4135,,2138,,2247,2264,2445,2926,2973,1092,2322,
Balance Sheet,CWIP,28,,,,152,,,,260,,,,43,,44,,20,55,63,47,30,20,51,
Balance Sheet,Investments,0,,,,131,,,,153,,,,158,,86,,4,4,4,4,0,0,89,
Balance Sheet,Other Assets,2715,,,,3393,,,,3718,,,,4190,,1111,,1030,1116,1334,1992,2327,947,883,
Balance Sheet,Total Assets,5638,,,,6743,,,,7120,,,,8526,,3379,,3301,3439,3846,4969,5329,2059,3345,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,183,,,,254,,,,-33,,,,295,,213,,291,201,120,522,328,26,30,
Cash Flows,Cash from Investing Activity,-80,,,,-490,,,,-317,,,,-356,,-446,,-89,-374,-269,-154,-104,-239,-98,
Cash Flows,Cash from Financing Activity,-232,,,,152,,,,335,,,,133,,254,,-187,147,159,-201,-114,178,123,
Cash Flows,Net Cash Flow,-129,,,,-84,,,,-15,,,,72,,21,,15,-27,10,166,111,-35,55,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,49,,,,49,,,,37,,,,42,,85,,46,56,59,72,32,130,50,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,
