Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,514,537,336,459,828,678,460,532,1077,1321,671,968,1910,,,,,,,,
Quarterly Results,Expenses,464,500,309,422,752,612,423,490,960,1190,615,883,1698,,,,,,,,
Quarterly Results,Operating Profit,50,36,27,37,76,66,38,42,116,131,56,85,212,,,,,,,,
Quarterly Results,OPM %,10%,7%,8%,8%,9%,10%,8%,8%,11%,10%,8%,9%,11%,,,,,,,,
Quarterly Results,Other Income,3,1,1,1,1,1,3,5,3,4,4,7,20,,,,,,,,
Quarterly Results,Interest,9,9,9,12,18,14,12,10,16,18,15,22,33,,,,,,,,
Quarterly Results,Depreciation,7,8,8,9,10,11,11,11,14,15,15,16,19,,,,,,,,
Quarterly Results,Profit before tax,37,21,11,17,49,42,18,26,91,101,30,54,180,,,,,,,,
Quarterly Results,Tax %,25%,20%,33%,21%,18%,20%,30%,26%,21%,16%,35%,25%,19%,,,,,,,,
Quarterly Results,Net Profit,28,16,7,14,40,34,12,19,70,84,19,40,145,,,,,,,,
Quarterly Results,EPS in Rs,1.30,0.77,0.34,0.60,1.77,1.49,0.48,0.74,2.67,3.21,0.74,1.40,5.13,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1112,,,,2160,,,,2746,,,,4870,424,222,303,703,,,,
Profit & Loss,Expenses,1023,,,,1983,,,,2484,,,,4385,396,219,298,653,,,,
Profit & Loss,Operating Profit,89,,,,177,,,,262,,,,484,28,3,5,50,,,,
Profit & Loss,OPM %,8%,,,,8%,,,,10%,,,,10%,7%,1%,2%,7%,,,,
Profit & Loss,Other Income,5,,,,4,,,,12,,,,35,3,4,7,2,,,,
Profit & Loss,Interest,23,,,,48,,,,52,,,,89,6,11,11,18,,,,
Profit & Loss,Depreciation,22,,,,35,,,,47,,,,66,2,5,9,18,,,,
Profit & Loss,Profit before tax,49,,,,98,,,,176,,,,365,23,-9,-9,15,,,,
Profit & Loss,Tax %,24%,,,,21%,,,,22%,,,,20%,23%,0%,-43%,23%,,,,
Profit & Loss,Net Profit,37,,,,77,,,,135,,,,288,18,-9,-5,12,,,,
Profit & Loss,EPS in Rs,1.74,,,,3.41,,,,5.17,,,,10.17,,-0.53,-0.30,0.59,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,4%,,,,2%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,,,,23,,,,26,,,,28,11,16,16,20,,,,
Balance Sheet,Reserves,291,,,,373,,,,1012,,,,2800,35,131,126,173,,,,
Balance Sheet,Borrowings,399,,,,577,,,,435,,,,384,68,78,80,185,,,,
Balance Sheet,Other Liabilities,358,,,,536,,,,837,,,,1908,46,62,65,203,,,,
Balance Sheet,Total Liabilities,1069,,,,1509,,,,2310,,,,5121,160,288,288,580,,,,
Balance Sheet,Fixed Assets,441,,,,578,,,,783,,,,1139,62,122,123,273,,,,
Balance Sheet,CWIP,5,,,,2,,,,65,,,,74,17,21,22,6,,,,
Balance Sheet,Investments,1,,,,2,,,,6,,,,8,0,30,26,0,,,,
Balance Sheet,Other Assets,623,,,,927,,,,1456,,,,3900,80,115,117,301,,,,
Balance Sheet,Total Assets,1069,,,,1509,,,,2310,,,,5121,160,288,288,580,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-79,,,,46,,,,186,,,,-77,23,-23,,57,,,,
Cash Flows,Cash from Investing Activity,-161,,,,-173,,,,-399,,,,-1201,-50,-97,,-44,,,,
Cash Flows,Cash from Financing Activity,256,,,,112,,,,234,,,,1329,22,126,,-17,,,,
Cash Flows,Net Cash Flow,16,,,,-15,,,,22,,,,51,-5,6,,-4,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,70,,,,74,,,,74,,,,73,28,29,43,76,,,,
Ratios,Inventory Days,118,,,,73,,,,90,,,,123,16,45,39,61,,,,
Ratios,Days Payable,111,,,,81,,,,107,,,,129,33,67,63,101,,,,
Ratios,Cash Conversion Cycle,77,,,,67,,,,57,,,,68,12,7,18,37,,,,
Ratios,Working Capital Days,77,,,,64,,,,59,,,,70,13,21,34,40,,,,
Ratios,ROCE %,13%,,,,17%,,,,19%,,,,19%,,1%,1%,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.71%,65.24%,61.33%,61.33%,61.20%,53.59%,53.59%,53.70%,53.56%,53.42%,49.37%,49.37%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.98%,2.68%,2.32%,1.97%,3.13%,8.96%,10.77%,11.02%,11.07%,10.69%,10.29%,10.45%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,1.56%,6.47%,7.17%,7.13%,12.63%,12.36%,10.94%,9.89%,9.80%,16.22%,16.37%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,33.31%,30.27%,29.86%,29.53%,28.32%,24.62%,23.27%,24.33%,25.22%,25.91%,24.11%,23.80%,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.00%,0.25%,0.01%,0.01%,0.21%,0.19%,0.01%,0.00%,0.26%,0.19%,0.00%,0.00%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,13002,12280,12918,12848,13936,18251,17837,20678,35492,103595,135421,158667,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
