Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,,,,,,
Shareholding Pattern (Quarterly),FIIs,2.03%,1.68%,1.12%,1.05%,1.13%,1.30%,1.48%,1.57%,1.56%,1.48%,1.43%,1.33%,,,,,,
Shareholding Pattern (Quarterly),DIIs,14.19%,14.56%,15.28%,15.44%,15.49%,15.45%,15.29%,15.11%,15.16%,15.28%,15.37%,15.50%,,,,,,
Shareholding Pattern (Quarterly),Public,13.14%,13.12%,12.96%,12.87%,12.73%,12.61%,12.60%,12.67%,12.65%,12.60%,12.56%,12.52%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,41533,43445,40495,39968,39388,37069,38807,39999,40671,42348,42941,44877,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,70.64%,,,,70.64%,,,,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%,70.64%
Shareholding Pattern (Yearly),FIIs,,,,1.05%,,,,1.57%,,,,1.33%,3.89%,3.61%,3.41%,2.79%,2.52%,2.25%
Shareholding Pattern (Yearly),DIIs,,,,15.44%,,,,15.11%,,,,15.50%,9.13%,9.88%,10.79%,12.87%,13.50%,13.89%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.00%,0.03%,0.03%,0.03%,0.03%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,12.87%,,,,12.67%,,,,12.52%,16.32%,15.84%,15.14%,13.68%,13.34%,13.22%
Shareholding Pattern (Yearly),No. of Shareholders,,,,39968,,,,39999,,,,44877,28146,27962,32227,36169,39337,40819
,,,,,,,,,,,,,,,,,,,
