Section,,Mar 2022,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Nov 2022,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,63.31,13.42,10.69,44.67,21.82,24.33,15.13,36.92,25.47,54.93,33.37,55.09,,,,,
Quarterly Results,Expenses,59.94,11.67,8.52,43.32,19.27,21.62,13.31,33.03,22.35,49.71,29.68,49.95,,,,,
Quarterly Results,Operating Profit,3.37,1.75,2.17,1.35,2.55,2.71,1.82,3.89,3.12,5.22,3.69,5.14,,,,,
Quarterly Results,OPM %,5.32%,13.04%,20.30%,3.02%,11.69%,11.14%,12.03%,10.54%,12.25%,9.50%,11.06%,9.33%,,,,,
Quarterly Results,Other Income,0.22,0.07,0.04,0.79,0.15,0.19,0.37,0.69,0.53,0.82,0.78,0.30,,,,,
Quarterly Results,Interest,0.28,1.00,1.17,0.50,1.30,1.00,0.98,1.14,1.09,0.78,0.56,0.96,,,,,
Quarterly Results,Depreciation,0.11,0.08,0.06,0.07,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07,,,,,
Quarterly Results,Profit before tax,3.20,0.74,0.98,1.57,1.34,1.84,1.16,3.39,2.50,5.20,3.85,4.41,,,,,
Quarterly Results,Tax %,11.25%,21.62%,33.67%,21.02%,24.63%,24.46%,29.31%,20.94%,24.80%,25.19%,25.19%,29.48%,,,,,
Quarterly Results,Net Profit,2.85,0.59,0.66,1.24,1.00,1.39,0.83,2.68,1.87,3.89,3.12,2.81,,,,,
Quarterly Results,EPS in Rs,3.32,0.69,0.52,0.98,0.79,1.10,0.66,2.12,1.48,2.42,1.94,1.61,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,91,,,93,,,,97,,,,169,,,,,
Profit & Loss,Expenses,84,,,86,,,,87,,,,152,,,,,
Profit & Loss,Operating Profit,7,,,8,,,,11,,,,17,,,,,
Profit & Loss,OPM %,7%,,,8%,,,,11%,,,,10%,,,,,
Profit & Loss,Other Income,0,,,1,,,,1,,,,2,,,,,
Profit & Loss,Interest,3,,,3,,,,4,,,,3,,,,,
Profit & Loss,Depreciation,0,,,0,,,,0,,,,0,,,,,
Profit & Loss,Profit before tax,4,,,5,,,,8,,,,16,,,,,
Profit & Loss,Tax %,31%,,,27%,,,,24%,,,,26%,,,,,
Profit & Loss,Net Profit,3,,,4,,,,6,,,,12,,,,,
Profit & Loss,EPS in Rs,3.36,,,2.88,,,,4.67,,,,6.73,,,,,
Profit & Loss,Dividend Payout %,0%,,,7%,,,,4%,,,,0%,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,,,13,,,,13,,,,17,,,,,
Balance Sheet,Reserves,28,,,33,,,,39,,,,93,,,,,
Balance Sheet,Borrowings,29,,,32,,,,15,,,,18,,,,,
Balance Sheet,Other Liabilities,32,,,30,,,,42,,,,45,,,,,
Balance Sheet,Total Liabilities,97,,,107,,,,107,,,,173,,,,,
Balance Sheet,Fixed Assets,1,,,1,,,,1,,,,1,,,,,
Balance Sheet,CWIP,0,,,1,,,,1,,,,1,,,,,
Balance Sheet,Investments,0,,,0,,,,0,,,,0,,,,,
Balance Sheet,Other Assets,95,,,105,,,,106,,,,172,,,,,
Balance Sheet,Total Assets,97,,,107,,,,107,,,,173,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3,,,1,,,,8,,,,-40,,,,,
Cash Flows,Cash from Investing Activity,1,,,-4,,,,-0,,,,-12,,,,,
Cash Flows,Cash from Financing Activity,2,,,4,,,,-8,,,,52,,,,,
Cash Flows,Net Cash Flow,-0,,,0,,,,0,,,,-0,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,221,,,150,,,,115,,,,131,,,,,
Ratios,Inventory Days,80,,,161,,,,190,,,,124,,,,,
Ratios,Days Payable,132,,,107,,,,153,,,,79,,,,,
Ratios,Cash Conversion Cycle,168,,,204,,,,151,,,,175,,,,,
Ratios,Working Capital Days,197,,,221,,,,166,,,,206,,,,,
Ratios,ROCE %,,,,12%,,,,17%,,,,20%,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,58.39%,,,59.88%,52.09%,52.09%,52.09%,52.09%,52.09%,40.95%,40.95%,45.72%,58.39%,59.88%,,,
Shareholding Pattern (Quarterly),Public,41.60%,,,40.12%,47.90%,47.91%,47.91%,47.90%,47.91%,59.06%,59.05%,54.29%,41.61%,40.12%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,228,,,259,1840,2167,2567,4174,4561,4232,6442,7498,264,289,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,58.39%,,,59.88%,,,,52.09%,,,,45.72%,,,69.59%,69.59%,69.59%
Shareholding Pattern (Yearly),Public,41.60%,,,40.12%,,,,47.90%,,,,54.29%,,,30.42%,30.41%,30.41%
Shareholding Pattern (Yearly),No. of Shareholders,228,,,259,,,,4174,,,,7498,,,246,221,202
,,,,,,,,,,,,,,,,,,
