Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1395,1543,1770,1613,1566,1910,2117,1898,1741,2069,2221,1901,1787,,,,,,,,
Quarterly Results,Expenses,1090,1198,1338,1198,1223,1443,1566,1344,1299,1486,1593,1389,1332,,,,,,,,
Quarterly Results,Operating Profit,305,346,432,415,343,468,551,554,442,583,628,512,456,,,,,,,,
Quarterly Results,OPM %,22%,22%,24%,26%,22%,24%,26%,29%,25%,28%,28%,27%,25%,,,,,,,,
Quarterly Results,Other Income,21,28,33,51,51,52,49,58,60,75,123,76,75,,,,,,,,
Quarterly Results,Interest,3,4,11,9,3,4,8,7,11,8,8,8,8,,,,,,,,
Quarterly Results,Depreciation,54,56,56,57,58,70,80,78,80,83,80,99,90,,,,,,,,
Quarterly Results,Profit before tax,269,314,398,400,332,445,512,526,411,566,663,481,432,,,,,,,,
Quarterly Results,Tax %,24%,16%,16%,12%,16%,14%,6%,15%,10%,21%,23%,22%,24%,,,,,,,,
Quarterly Results,Net Profit,204,262,335,352,281,383,480,449,370,449,508,373,330,,,,,,,,
Quarterly Results,EPS in Rs,13.47,17.30,22.07,23.19,18.49,25.24,31.67,29.57,24.35,29.58,33.50,24.57,21.78,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,5300,,,,6492,,,,7666,,,,7978,1596,1940,2096,2277,2277,2841,3366,4577
Profit & Loss,Expenses,4154,,,,4948,,,,5636,,,,5799,1300,1558,1661,1722,1781,2261,2647,3559
Profit & Loss,Operating Profit,1146,,,,1544,,,,2030,,,,2179,295,382,435,555,496,580,720,1018
Profit & Loss,OPM %,22%,,,,24%,,,,26%,,,,27%,19%,20%,21%,24%,22%,20%,21%,22%
Profit & Loss,Other Income,105,,,,166,,,,216,,,,348,11,35,34,36,60,58,50,129
