Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,62.43%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.96%,1.02%,0.48%,0.48%,0.51%,0.48%,0.48%,0.20%,0.00%,0.13%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.25%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.24%,0.23%,0.23%,,,,,,
Shareholding Pattern (Quarterly),Public,36.36%,36.30%,36.85%,36.85%,36.81%,36.84%,36.84%,37.14%,37.33%,37.20%,37.34%,37.34%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,12223,12364,11863,11492,11018,10501,9831,10313,9805,9695,10271,10010,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,62.43%,,,,62.43%,,,,62.43%,60.85%,62.43%,62.43%,62.43%,62.43%,62.43%
Shareholding Pattern (Yearly),FIIs,,,,0.48%,,,,0.20%,,,,0.00%,0.00%,0.83%,1.03%,0.96%,0.96%,0.96%
Shareholding Pattern (Yearly),DIIs,,,,0.24%,,,,0.24%,,,,0.23%,0.44%,0.47%,0.31%,0.31%,0.30%,0.25%
Shareholding Pattern (Yearly),Government,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,2.81%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,36.85%,,,,37.14%,,,,37.34%,38.71%,36.27%,33.42%,36.30%,36.31%,36.36%
Shareholding Pattern (Yearly),No. of Shareholders,,,,11492,,,,10313,,,,10010,10533,11466,9270,9245,9224,12723
,,,,,,,,,,,,,,,,,,,
