Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,258,249,275,285,307,321,337,340,378,385,420,424,441,,,,,,,,
Quarterly Results,Expenses,202,202,210,214,224,234,253,249,282,281,305,310,321,,,,,,,,
Quarterly Results,Operating Profit,56,46,65,71,83,87,84,90,96,104,115,115,119,,,,,,,,
Quarterly Results,OPM %,22%,19%,24%,25%,27%,27%,25%,27%,26%,27%,27%,27%,27%,,,,,,,,
Quarterly Results,Other Income,8,5,9,15,9,14,15,17,15,17,27,24,27,,,,,,,,
Quarterly Results,Interest,1,1,0,5,2,2,2,3,3,3,3,3,2,,,,,,,,
Quarterly Results,Depreciation,14,14,14,14,15,16,16,16,16,20,21,22,21,,,,,,,,
Quarterly Results,Profit before tax,49,36,59,67,75,83,81,88,92,98,118,113,123,,,,,,,,
Quarterly Results,Tax %,26%,26%,27%,25%,22%,24%,23%,26%,26%,25%,26%,25%,25%,,,,,,,,
Quarterly Results,Net Profit,36,27,44,50,59,63,62,65,68,74,87,85,92,,,,,,,,
Quarterly Results,EPS in Rs,3.77,2.81,4.54,5.21,6.13,6.54,6.48,6.78,7.12,7.71,8.63,8.41,9.06,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,922,,,,1115,,,,1375,,,,1670,322,390,411,454,519,610,687,785
Profit & Loss,Expenses,707,,,,847,,,,1013,,,,1217,246,304,323,361,397,479,520,569
Profit & Loss,Operating Profit,215,,,,267,,,,362,,,,453,76,86,88,93,122,131,166,216
Profit & Loss,OPM %,23%,,,,24%,,,,26%,,,,27%,24%,22%,21%,21%,23%,22%,24%,28%
Profit & Loss,Other Income,40,,,,38,,,,60,,,,94,11,28,8,14,16,20,21,22
Profit & Loss,Interest,6,,,,11,,,,14,,,,12,9,10,10,8,12,14,20,11
Profit & Loss,Depreciation,54,,,,57,,,,64,,,,83,14,19,21,24,29,37,41,48
Profit & Loss,Profit before tax,195,,,,237,,,,344,,,,453,63,85,65,75,97,100,126,180
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,25%,30%,27%,27%,27%,27%,35%,24%,25%
Profit & Loss,Net Profit,147,,,,179,,,,258,,,,339,45,62,48,55,71,65,96,136
Profit & Loss,EPS in Rs,15.28,,,,18.69,,,,26.91,,,,33.41,5.11,7.07,5.47,6.25,8.00,7.41,10.86,14.17
Profit & Loss,Dividend Payout %,16%,,,,16%,,,,11%,,,,10%,20%,18%,27%,40%,25%,27%,18%,18%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,48,,,,48,,,,48,,,,51,22,22,22,44,44,44,44,48
Balance Sheet,Reserves,1040,,,,1194,,,,1422,,,,2715,124,174,207,227,294,337,391,918
Balance Sheet,Borrowings,127,,,,149,,,,174,,,,180,67,79,82,101,133,161,207,137
Balance Sheet,Other Liabilities,163,,,,187,,,,214,,,,247,73,89,76,85,94,112,126,121
