Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,2131,1482,1720,1716,2164,1749,1911,1959,2552,1951,2242,2204,2754,
Quarterly Results,Expenses,1733,1465,1547,1629,1812,1617,1646,1690,2022,1747,1900,1866,2193,
Quarterly Results,Operating Profit,398,17,173,87,351,132,266,268,530,204,342,338,561,
Quarterly Results,OPM %,19%,1%,10%,5%,16%,8%,14%,14%,21%,10%,15%,15%,20%,
Quarterly Results,Other Income,97,92,50,98,32,53,68,43,8,42,78,29,58,
Quarterly Results,Interest,57,62,83,95,104,119,110,106,114,107,108,103,104,
Quarterly Results,Depreciation,165,162,166,164,184,174,185,186,196,185,192,197,243,
Quarterly Results,Profit before tax,273,-115,-26,-74,95,-107,40,19,227,-45,120,67,273,
Quarterly Results,Tax %,25%,-5%,42%,22%,47%,-8%,87%,48%,55%,97%,81%,94%,44%,
Quarterly Results,Net Profit,204,-109,-37,-90,50,-99,5,10,101,-89,23,4,154,
Quarterly Results,EPS in Rs,,,-0.28,-0.68,0.38,-0.75,0.04,0.08,0.77,-0.67,0.17,0.03,1.16,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,6559,,,,7082,,,,8171,,,,9151,6315
Profit & Loss,Expenses,5609,,,,6453,,,,6974,,,,7706,4887
Profit & Loss,Operating Profit,950,,,,629,,,,1197,,,,1445,1428
Profit & Loss,OPM %,14%,,,,9%,,,,15%,,,,16%,23%
Profit & Loss,Other Income,319,,,,272,,,,172,,,,208,230
Profit & Loss,Interest,198,,,,344,,,,448,,,,422,163
Profit & Loss,Depreciation,586,,,,677,,,,741,,,,816,545
Profit & Loss,Profit before tax,485,,,,-120,,,,179,,,,415,949
Profit & Loss,Tax %,22%,,,,55%,,,,90%,,,,78%,12%
Profit & Loss,Net Profit,376,,,,-186,,,,18,,,,91,835
Profit & Loss,EPS in Rs,,,,,-1.41,,,,0.13,,,,0.69,
Profit & Loss,Dividend Payout %,18%,,,,0%,,,,82%,,,,20%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,1186,,,,1193,,,,1323,,,,1324,995
Balance Sheet,Reserves,5511,,,,5580,,,,6588,,,,6801,4610
Balance Sheet,Borrowings,4128,,,,5637,,,,4710,,,,4856,3025
Balance Sheet,Other Liabilities,1781,,,,1893,,,,2461,,,,2447,2047
Balance Sheet,Total Liabilities,12605,,,,14303,,,,15083,,,,15429,10677
Balance Sheet,Fixed Assets,6879,,,,7469,,,,7990,,,,8133,6105
Balance Sheet,CWIP,1172,,,,1419,,,,1116,,,,977,627
Balance Sheet,Investments,267,,,,639,,,,385,,,,291,123
Balance Sheet,Other Assets,4286,,,,4777,,,,5592,,,,6028,3822
Balance Sheet,Total Assets,12605,,,,14303,,,,15083,,,,15429,10677
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,766,,,,484,,,,1005,,,,892,598
Cash Flows,Cash from Investing Activity,-1737,,,,-1334,,,,-416,,,,-488,-4464
Cash Flows,Cash from Financing Activity,794,,,,818,,,,-422,,,,-441,3977
Cash Flows,Net Cash Flow,-177,,,,-32,,,,166,,,,-37,110
,,,,,,,,,,,,,,,
Ratios,Debtor Days,99,,,,93,,,,95,,,,94,91
Ratios,Inventory Days,207,,,,227,,,,269,,,,261,218
Ratios,Days Payable,153,,,,161,,,,190,,,,173,163
Ratios,Cash Conversion Cycle,153,,,,159,,,,174,,,,182,147
Ratios,Working Capital Days,115,,,,124,,,,115,,,,122,78
Ratios,ROCE %,7%,,,,2%,,,,5%,,,,6%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,34.78%,34.78%,34.78%,35.02%,35.02%,35.02%,34.94%,34.94%,34.94%,34.94%,
Shareholding Pattern (Quarterly),FIIs,,,,41.29%,39.28%,35.01%,32.37%,32.51%,30.58%,31.41%,31.73%,31.68%,31.49%,
Shareholding Pattern (Quarterly),DIIs,,,,5.26%,4.98%,5.48%,8.01%,9.68%,12.12%,12.95%,13.80%,14.09%,14.78%,
Shareholding Pattern (Quarterly),Public,,,,18.27%,20.57%,24.32%,24.21%,22.41%,21.89%,20.20%,19.06%,18.85%,18.42%,
Shareholding Pattern (Quarterly),Others,,,,0.39%,0.39%,0.39%,0.38%,0.38%,0.37%,0.47%,0.45%,0.40%,0.34%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,229960,241359,277270,300606,292312,297996,306398,359751,418442,432843,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,34.78%,,,,35.02%,,,,34.94%,
Shareholding Pattern (Yearly),FIIs,,,,,39.28%,,,,30.58%,,,,31.49%,
Shareholding Pattern (Yearly),DIIs,,,,,4.98%,,,,12.12%,,,,14.78%,
Shareholding Pattern (Yearly),Public,,,,,20.57%,,,,21.89%,,,,18.42%,
Shareholding Pattern (Yearly),Others,,,,,0.39%,,,,0.37%,,,,0.34%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,241359,,,,297996,,,,432843,
,,,,,,,,,,,,,,,
