Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,55.66%,55.66%,55.66%,55.39%,44.49%,41.29%,33.23%,33.15%,33.15%,28.35%,26.26%,23.61%,,,,,
Shareholding Pattern (Quarterly),FIIs,2.55%,2.56%,2.55%,2.39%,1.92%,1.92%,1.92%,1.91%,1.91%,1.91%,1.77%,1.89%,,,,,
Shareholding Pattern (Quarterly),DIIs,1.50%,1.50%,1.50%,1.49%,0.89%,0.89%,1.10%,1.16%,1.13%,0.51%,0.47%,0.47%,,,,,
Shareholding Pattern (Quarterly),Public,40.29%,40.28%,40.29%,40.73%,52.70%,55.91%,63.76%,63.77%,63.80%,69.22%,71.50%,74.02%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,23930,24441,24538,24801,25442,24430,24207,24539,24635,24906,25121,26890,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,55.39%,,,,33.15%,,,,23.61%,52.41%,56.84%,61.74%,65.21%,55.66%
Shareholding Pattern (Yearly),FIIs,,,,2.39%,,,,1.91%,,,,1.89%,12.36%,4.90%,4.42%,4.29%,2.55%
Shareholding Pattern (Yearly),DIIs,,,,1.49%,,,,1.16%,,,,0.47%,2.46%,3.94%,3.92%,2.31%,1.41%
Shareholding Pattern (Yearly),Public,,,,40.73%,,,,63.77%,,,,74.02%,32.77%,34.32%,29.91%,28.20%,40.38%
Shareholding Pattern (Yearly),No. of Shareholders,,,,24801,,,,24539,,,,26890,35699,31233,28457,25263,24080
,,,,,,,,,,,,,,,,,,
