Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,285.06,253.47,235.36,227.00,238.00,224.22,266.31,227.72,228.48,234.91,253.58,211.99,227.76,,,,,,,,
Quarterly Results,Expenses,242.02,218.13,222.00,247.93,238.01,216.99,250.00,210.00,205.75,209.71,225.92,185.91,199.63,,,,,,,,
Quarterly Results,Operating Profit,43.04,35.34,13.36,-20.93,-0.01,7.23,16.31,17.72,22.73,25.20,27.66,26.08,28.13,,,,,,,,
Quarterly Results,OPM %,15.10%,13.94%,5.68%,-9.22%,-0.00%,3.22%,6.12%,7.78%,9.95%,10.73%,10.91%,12.30%,12.35%,,,,,,,,
Quarterly Results,Other Income,1.83,1.46,0.62,1.46,3.70,2.48,-0.51,1.99,7.63,2.27,1.61,-0.42,-11.19,,,,,,,,
Quarterly Results,Interest,8.06,10.10,9.47,8.68,7.88,9.74,11.85,8.09,8.03,10.08,9.48,8.04,4.03,,,,,,,,
Quarterly Results,Depreciation,7.97,8.06,8.39,8.55,8.40,7.39,5.03,5.12,4.38,5.04,5.35,4.44,5.35,,,,,,,,
Quarterly Results,Profit before tax,28.84,18.64,-3.88,-36.70,-12.59,-7.42,-1.08,6.50,17.95,12.35,14.44,13.18,7.56,,,,,,,,
Quarterly Results,Tax %,15.95%,25.21%,-19.33%,-23.87%,-29.31%,-58.36%,0.00%,-35.54%,32.37%,23.89%,27.22%,29.89%,50.53%,,,,,,,,
Quarterly Results,Net Profit,24.25,13.95,-3.13,-27.94,-8.90,-3.09,-1.08,8.81,12.14,9.40,10.51,9.23,3.74,,,,,,,,
Quarterly Results,EPS in Rs,20.21,11.62,-2.61,-23.28,-7.42,-2.58,-0.90,7.34,10.12,7.83,8.76,7.69,3.12,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,993,,,,954,,,,978,,,,868,738,747,684,679,709,790,726,665
Profit & Loss,Expenses,803,,,,923,,,,912,,,,757,656,725,654,650,687,732,677,571
Profit & Loss,Operating Profit,190,,,,31,,,,65,,,,111,82,22,30,29,22,59,49,94
Profit & Loss,OPM %,19%,,,,3%,,,,7%,,,,13%,11%,3%,4%,4%,3%,7%,7%,14%
Profit & Loss,Other Income,6,,,,7,,,,17,,,,-15,12,17,-8,25,47,6,11,6
Profit & Loss,Interest,30,,,,39,,,,42,,,,29,33,35,39,44,42,42,40,34
Profit & Loss,Depreciation,33,,,,33,,,,23,,,,19,39,37,38,34,33,31,33,33
Profit & Loss,Profit before tax,134,,,,-35,,,,17,,,,49,21,-32,-56,-24,-6,-8,-13,33
Profit & Loss,Tax %,21%,,,,-25%,,,,3%,,,,33%,-48%,1%,0%,0%,0%,0%,28%,0%
Profit & Loss,Net Profit,105,,,,-26,,,,17,,,,33,30,-33,-56,-24,-6,-8,-17,33
Profit & Loss,EPS in Rs,87.85,,,,-21.68,,,,13.98,,,,27.41,25.37,-27.20,-46.27,-19.69,-4.81,-6.89,-13.77,27.46
Profit & Loss,Dividend Payout %,7%,,,,0%,,,,11%,,,,11%,8%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,12,12,12,12,12,12,12,12
Balance Sheet,Reserves,432,,,,394,,,,406,,,,436,148,122,66,337,331,324,298,330
Balance Sheet,Borrowings,360,,,,379,,,,373,,,,329,448,383,399,352,380,354,308,329
Balance Sheet,Other Liabilities,129,,,,122,,,,163,,,,161,86,56,70,110,101,97,113,87
Balance Sheet,Total Liabilities,933,,,,907,,,,954,,,,939,694,573,547,811,824,787,732,758
Balance Sheet,Fixed Assets,433,,,,447,,,,449,,,,514,364,336,314,557,533,512,470,444
Balance Sheet,CWIP,32,,,,3,,,,56,,,,3,0,1,1,5,1,2,1,3
Balance Sheet,Investments,12,,,,9,,,,15,,,,11,30,16,16,16,17,18,11,11
Balance Sheet,Other Assets,456,,,,447,,,,434,,,,411,299,220,216,233,272,255,249,301
Balance Sheet,Total Assets,933,,,,907,,,,954,,,,939,694,573,547,811,824,787,732,758
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,56,,,,49,,,,121,,,,116,35,91,29,20,11,75,61,26
Cash Flows,Cash from Investing Activity,-64,,,,-31,,,,-70,,,,-37,-20,11,-7,67,3,-15,13,-16
Cash Flows,Cash from Financing Activity,1,,,,-23,,,,-50,,,,-81,-22,-104,-23,-87,-17,-68,-82,-17
Cash Flows,Net Cash Flow,-7,,,,-5,,,,1,,,,-2,-7,-2,-1,0,-3,-8,-8,-7
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,51,,,,45,,,,49,,,,48,21,20,25,26,38,37,45,56
Ratios,Inventory Days,180,,,,142,,,,137,,,,161,171,76,124,131,127,103,106,134
Ratios,Days Payable,29,,,,37,,,,61,,,,74,20,13,20,20,29,22,38,30
