Section,,Mar 2015,Dec 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,207.76,190.05,210.05,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,197.79,178.06,196.00,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,9.97,11.99,14.05,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,4.80%,6.31%,6.69%,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.05,0.10,0.13,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.76,2.67,2.76,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,5.06,4.02,3.96,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.20,5.40,7.46,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,40.62%,38.15%,33.51%,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.90,3.34,4.88,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.11,0.19,0.28,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,881,,843,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,833,,792,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,47,,52,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,5%,,6%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,3,,2,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,14,,11,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,20,,16,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,17,,27,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,40%,,36%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,10,,17,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.58,,0.98,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,63%,,89%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,12,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,175,,183,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,38,,28,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,133,,134,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,358,,357,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,87,,80,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,3,,12,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,,2,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,268,,263,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,358,,357,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,32,,45,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-5,,-19,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-36,,-27,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-8,,-1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,57,,58,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,46,,50,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,52,,55,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,51,,53,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,50,,50,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,17%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,59.67%,59.67%,59.67%,59.67%,57.93%,57.93%,57.93%,57.93%,57.93%,57.93%,57.93%,57.93%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.80%,0.70%,0.73%,0.61%,0.47%,0.11%,0.02%,0.14%,0.31%,0.31%,0.44%,0.47%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,0.00%,0.04%,0.07%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,39.53%,39.57%,39.52%,39.70%,41.60%,41.96%,42.04%,41.94%,41.76%,41.76%,41.64%,41.60%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,46937,48263,56905,53934,51719,50927,53345,56707,56681,61803,66244,62785,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,59.67%,,,,57.93%,,,,57.93%,59.67%,59.67%,59.67%,59.67%,59.67%,59.67%
Shareholding Pattern (Yearly),FIIs,,,,,,,0.61%,,,,0.14%,,,,0.47%,0.00%,0.85%,0.81%,0.29%,0.00%,0.84%
Shareholding Pattern (Yearly),DIIs,,,,,,,0.02%,,,,0.00%,,,,0.01%,0.04%,0.28%,0.14%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,39.70%,,,,41.94%,,,,41.60%,40.30%,39.20%,39.38%,40.05%,40.33%,39.49%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,53934,,,,56707,,,,62785,11041,12226,12252,11892,14425,47735
,,,,,,,,,,,,,,,,,,,,,,
