Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1854,1811,1663,1774,2112,1942,1838,1728,2066,1763,1685,1821,2102,,,,,,,,
Quarterly Results,Expenses,1716,1690,1631,1714,1965,1791,1745,1595,1955,1631,1639,1768,1915,,,,,,,,
Quarterly Results,Operating Profit,138,121,33,60,147,152,92,134,111,132,46,52,188,,,,,,,,
Quarterly Results,OPM %,7%,7%,2%,3%,7%,8%,5%,8%,5%,8%,3%,3%,9%,,,,,,,,
Quarterly Results,Other Income,27,8,2,14,13,17,260,6,9,18,17,91,167,,,,,,,,
Quarterly Results,Interest,43,42,44,49,50,48,44,49,51,55,57,56,55,,,,,,,,
Quarterly Results,Depreciation,94,94,90,101,105,93,95,99,126,112,118,121,133,,,,,,,,
Quarterly Results,Profit before tax,28,-7,-100,-77,6,27,214,-9,-58,-16,-112,-34,166,,,,,,,,
Quarterly Results,Tax %,28%,119%,-17%,-18%,35%,24%,14%,28%,-47%,14%,-7%,-237%,27%,,,,,,,,
Quarterly Results,Net Profit,20,-16,-83,-63,4,21,183,-11,-30,-18,-104,46,121,,,,,,,,
Quarterly Results,EPS in Rs,0.59,0.19,-1.32,-1.06,0.14,0.36,3.63,-0.07,-0.32,-0.15,-1.78,0.96,2.57,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6306,,,,7361,,,,7588,,,,7310,5027,5654,5223,5012,5508,6194,5956,5587
Profit & Loss,Expenses,5829,,,,6987,,,,7091,,,,6892,4840,5293,4873,4651,5057,5586,5409,4958
Profit & Loss,Operating Profit,478,,,,374,,,,497,,,,418,186,362,350,361,451,609,547,629
Profit & Loss,OPM %,8%,,,,5%,,,,7%,,,,6%,4%,6%,7%,7%,8%,10%,9%,11%
Profit & Loss,Other Income,109,,,,35,,,,292,,,,293,165,92,144,93,67,18,23,37
Profit & Loss,Interest,193,,,,197,,,,201,,,,223,280,296,286,221,232,226,258,217
Profit & Loss,Depreciation,310,,,,390,,,,414,,,,483,200,165,184,192,184,200,251,293
Profit & Loss,Profit before tax,84,,,,-178,,,,174,,,,5,-129,-7,24,42,101,201,62,157
Profit & Loss,Tax %,48%,,,,-11%,,,,7%,,,,-900%,-34%,-167%,-6%,66%,45%,46%,119%,10%
Profit & Loss,Net Profit,44,,,,-158,,,,162,,,,45,-85,5,25,14,55,110,-12,140
Profit & Loss,EPS in Rs,1.82,,,,-2.05,,,,3.60,,,,1.59,-1.71,0.05,0.06,-0.04,0.84,2.31,0.20,3.40
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,22%,501%,0%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,503,,,,503,,,,503,,,,503,503,503,503,503,503,503,503,503
Balance Sheet,Reserves,820,,,,703,,,,886,,,,975,555,551,495,492,534,623,576,738
Balance Sheet,Borrowings,1744,,,,2182,,,,2243,,,,1506,2104,2236,2212,1980,2020,1918,2425,1930
Balance Sheet,Other Liabilities,3381,,,,3158,,,,3449,,,,4334,1446,1559,1777,1893,2084,2358,2569,2994
Balance Sheet,Total Liabilities,6448,,,,6547,,,,7081,,,,7318,4609,4849,4988,4869,5142,5402,6073,6166
Balance Sheet,Fixed Assets,2970,,,,2947,,,,3260,,,,3304,2474,2413,2472,2415,2602,2626,2821,2946
Balance Sheet,CWIP,204,,,,240,,,,141,,,,122,64,72,69,136,100,124,259,132
Balance Sheet,Investments,834,,,,911,,,,980,,,,1114,226,218,280,339,411,485,523,731
Balance Sheet,Other Assets,2439,,,,2449,,,,2699,,,,2778,1846,2147,2166,1978,2030,2167,2470,2357
Balance Sheet,Total Assets,6448,,,,6547,,,,7081,,,,7318,4609,4849,4988,4869,5142,5402,6073,6166
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,573,,,,592,,,,473,,,,737,57,199,462,676,587,654,667,1281
Cash Flows,Cash from Investing Activity,-320,,,,-320,,,,72,,,,-239,80,-57,-110,-236,-407,-330,-657,-265
Cash Flows,Cash from Financing Activity,-342,,,,-267,,,,-371,,,,-527,-145,-108,-328,-461,-180,-325,65,-806
Cash Flows,Net Cash Flow,-89,,,,5,,,,174,,,,-28,-9,33,24,-21,0,-1,75,209
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,36,,,,34,,,,33,,,,42,39,38,43,46,44,43,44,41
Ratios,Inventory Days,142,,,,114,,,,121,,,,121,106,116,119,111,110,131,137,112
Ratios,Days Payable,200,,,,146,,,,151,,,,159,133,127,130,141,122,142,143,183
Ratios,Cash Conversion Cycle,-23,,,,2,,,,3,,,,4,12,26,32,15,32,31,38,-29
Ratios,Working Capital Days,-33,,,,-17,,,,-18,,,,-48,-0,19,15,-13,-15,-19,-30,-40
Ratios,ROCE %,8%,,,,1%,,,,3%,,,,2%,0%,7%,8%,8%,10%,13%,9%,11%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,74.87%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.34%,3.42%,3.46%,3.50%,3.58%,3.72%,3.91%,3.88%,3.63%,3.67%,3.76%,3.42%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,5.46%,4.33%,4.11%,4.37%,4.64%,4.85%,5.10%,5.05%,5.94%,6.02%,5.32%,5.57%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,16.33%,17.37%,17.55%,17.26%,16.91%,16.56%,16.11%,16.20%,15.56%,15.42%,16.05%,16.13%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,76655,73935,74839,74631,72406,71042,69964,70599,71111,86380,82399,81265,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.87%,,,,74.87%,,,,74.87%,,,,74.87%,,,,74.87%,74.87%,74.87%,74.87%,74.87%
Shareholding Pattern (Yearly),FIIs,3.29%,,,,3.50%,,,,3.88%,,,,3.42%,,,,7.54%,6.58%,6.81%,3.70%,2.96%
Shareholding Pattern (Yearly),DIIs,6.22%,,,,4.37%,,,,5.05%,,,,5.57%,,,,8.29%,5.53%,4.47%,7.61%,7.39%
Shareholding Pattern (Yearly),Public,15.61%,,,,17.26%,,,,16.20%,,,,16.13%,,,,9.30%,13.01%,13.85%,13.82%,14.77%
Shareholding Pattern (Yearly),No. of Shareholders,77257,,,,74631,,,,70599,,,,81265,,,,90403,80790,79250,72206,70424
,,,,,,,,,,,,,,,,,,,,,,
