Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,258.68,272.12,278.60,260.45,195.04,281.36,242.18,214.16,196.53,242.22,242.13,213.89,202.28,,,,,,,,
Quarterly Results,Expenses,224.48,236.70,247.53,225.52,173.89,243.54,206.78,188.13,183.30,214.70,216.53,194.63,176.77,,,,,,,,
Quarterly Results,Operating Profit,34.20,35.42,31.07,34.93,21.15,37.82,35.40,26.03,13.23,27.52,25.60,19.26,25.51,,,,,,,,
Quarterly Results,OPM %,13.22%,13.02%,11.15%,13.41%,10.84%,13.44%,14.62%,12.15%,6.73%,11.36%,10.57%,9.00%,12.61%,,,,,,,,
Quarterly Results,Other Income,0.35,0.15,1.70,0.58,0.92,0.26,1.55,1.30,0.50,0.51,1.69,0.18,-3.83,,,,,,,,
Quarterly Results,Interest,4.18,3.44,3.92,4.03,6.64,3.57,6.58,6.53,4.16,4.04,4.58,4.46,4.75,,,,,,,,
Quarterly Results,Depreciation,4.28,4.56,4.73,4.76,4.96,5.14,5.52,5.47,6.03,5.86,6.14,6.51,6.53,,,,,,,,
Quarterly Results,Profit before tax,26.09,27.57,24.12,26.72,10.47,29.37,24.85,15.33,3.54,18.13,16.57,8.47,10.40,,,,,,,,
Quarterly Results,Tax %,25.83%,26.51%,27.11%,24.93%,69.44%,25.57%,27.08%,26.94%,31.92%,25.87%,25.35%,28.34%,32.21%,,,,,,,,
Quarterly Results,Net Profit,19.35,20.26,17.58,20.06,3.20,21.86,18.12,11.20,2.41,13.44,12.37,6.07,7.05,,,,,,,,
Quarterly Results,EPS in Rs,15.78,16.52,14.34,16.36,2.61,17.83,14.78,9.13,1.97,10.96,10.09,4.95,5.75,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,933,,,,1006,,,,934,,,,901,514,564,537,525,493,643,550,678
Profit & Loss,Expenses,793,,,,883,,,,821,,,,801,473,517,497,509,450,576,507,583
Profit & Loss,Operating Profit,140,,,,123,,,,113,,,,99,41,47,41,16,44,67,42,96
Profit & Loss,OPM %,15%,,,,12%,,,,12%,,,,11%,8%,8%,8%,3%,9%,10%,8%,14%
Profit & Loss,Other Income,1,,,,3,,,,3,,,,-3,15,21,40,12,12,-2,13,2
Profit & Loss,Interest,12,,,,18,,,,21,,,,18,35,35,50,31,18,17,18,13
Profit & Loss,Depreciation,17,,,,19,,,,22,,,,25,16,19,17,16,14,19,15,15
Profit & Loss,Profit before tax,112,,,,89,,,,73,,,,54,4,14,14,-19,24,29,22,69
Profit & Loss,Tax %,25%,,,,31%,,,,27%,,,,27%,-0%,4%,4%,4%,29%,42%,51%,29%
Profit & Loss,Net Profit,83,,,,61,,,,54,,,,39,1,14,13,-20,17,17,11,49
Profit & Loss,EPS in Rs,68.06,,,,49.83,,,,43.70,,,,31.75,0.78,11.58,10.83,-16.25,14.01,13.70,8.77,40.03
Profit & Loss,Dividend Payout %,4%,,,,6%,,,,7%,,,,9%,-0%,-0%,-0%,-0%,11%,11%,17%,5%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,12,12,12,12,12,12,12,12
Balance Sheet,Reserves,213,,,,268,,,,318,,,,352,-46,-47,49,46,62,79,85,132
Balance Sheet,Borrowings,93,,,,94,,,,123,,,,168,365,321,191,151,117,91,99,88
Balance Sheet,Other Liabilities,238,,,,241,,,,187,,,,268,164,196,205,229,165,189,197,219
Balance Sheet,Total Liabilities,557,,,,616,,,,640,,,,801,496,482,457,439,356,371,394,451
Balance Sheet,Fixed Assets,212,,,,222,,,,236,,,,254,242,232,235,224,177,180,168,189
Balance Sheet,CWIP,7,,,,20,,,,12,,,,13,3,7,4,6,4,7,15,16
Balance Sheet,Investments,1,,,,2,,,,8,,,,4,4,0,0,1,1,1,1,1
Balance Sheet,Other Assets,337,,,,372,,,,384,,,,529,247,243,219,207,174,184,210,245
Balance Sheet,Total Assets,557,,,,616,,,,640,,,,801,496,482,457,439,356,371,394,451
