Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,26.80,160.00,0.76,13.13,1.79,0.45,0.03,4.32,3.67,2.52,3.18,2.48,19.03,,,,,,,,
Quarterly Results,Expenses,15.49,16.31,2.26,21.72,6.00,3.26,3.29,6.87,6.88,6.13,8.07,6.74,13.82,,,,,,,,
Quarterly Results,Operating Profit,11.31,143.69,-1.50,-8.59,-4.21,-2.81,-3.26,-2.55,-3.21,-3.61,-4.89,-4.26,5.21,,,,,,,,
Quarterly Results,OPM %,42.20%,89.81%,-197.37%,-65.42%,-235.20%,-624.44%,-10866.67%,-59.03%,-87.47%,-143.25%,-153.77%,-171.77%,27.38%,,,,,,,,
Quarterly Results,Other Income,-34.24,145.70,116.29,0.03,-117.64,0.03,0.07,73.31,7.26,2.63,3.23,2.78,-3.93,,,,,,,,
Quarterly Results,Interest,19.03,9.40,0.43,0.43,-0.17,0.96,0.66,2.89,0.85,1.12,1.49,0.49,0.86,,,,,,,,
Quarterly Results,Depreciation,0.21,0.28,0.28,0.28,0.28,0.22,0.22,0.71,0.75,0.60,0.61,0.59,0.24,,,,,,,,
Quarterly Results,Profit before tax,-42.17,279.71,114.08,-9.27,-121.96,-3.96,-4.07,67.16,2.45,-2.70,-3.76,-2.56,0.18,,,,,,,,
Quarterly Results,Tax %,-0.45%,4.25%,6.31%,-7.44%,5.23%,0.00%,0.00%,0.00%,-202.45%,-16.67%,-19.95%,-71.48%,1527.78%,,,,,,,,
Quarterly Results,Net Profit,-41.98,267.81,106.89,-8.59,-128.33,-3.95,-4.07,67.16,7.42,-2.25,-3.01,-0.74,-2.57,,,,,,,,
Quarterly Results,EPS in Rs,-1.71,10.93,4.36,-0.35,-4.99,-0.16,-0.01,2.59,0.28,-0.08,-0.10,-0.02,-0.06,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,48.76,,,,175.68,,,,8.47,,,,27.20,63.47,53.36,143.77,155.60,58.43,36.81,43.72,17.84
Profit & Loss,Expenses,41.51,,,,46.28,,,,20.41,,,,34.77,30.97,64.53,140.32,110.98,67.40,80.94,64.42,31.38
Profit & Loss,Operating Profit,7.25,,,,129.40,,,,-11.94,,,,-7.57,32.50,-11.17,3.45,44.62,-8.97,-44.13,-20.70,-13.54
Profit & Loss,OPM %,14.87%,,,,73.66%,,,,-140.97%,,,,-27.83%,51.21%,-20.93%,2.40%,28.68%,-15.35%,-119.89%,-47.35%,-75.90%
Profit & Loss,Other Income,-33.45,,,,216.10,,,,80.23,,,,4.71,-3.77,2.96,53.44,2.09,0.45,-11.20,1.66,-3.80
Profit & Loss,Interest,68.16,,,,10.09,,,,5.39,,,,3.95,20.31,21.84,51.18,47.18,50.88,59.25,69.15,61.32
Profit & Loss,Depreciation,0.87,,,,1.12,,,,1.90,,,,2.04,0.21,0.60,1.16,1.11,1.09,1.71,2.46,1.96
Profit & Loss,Profit before tax,-95.23,,,,334.29,,,,61.00,,,,-8.85,8.21,-30.65,4.55,-1.58,-60.49,-116.29,-90.65,-80.62
Profit & Loss,Tax %,0.00%,,,,7.42%,,,,-8.13%,,,,-3.16%,65.90%,8.58%,92.75%,-620.25%,2.61%,0.03%,2.98%,0.00%
Profit & Loss,Net Profit,-95.22,,,,309.51,,,,65.96,,,,-8.56,2.81,-33.29,0.33,8.22,-62.06,-116.32,-93.36,-80.62
Profit & Loss,EPS in Rs,-2.43,,,,8.79,,,,2.55,,,,-0.26,0.11,-1.04,0.01,0.34,-2.53,-4.75,-2.48,-2.30
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,243.96,,,,243.96,,,,260.40,,,,260.40,243.96,243.96,243.96,243.96,243.96,243.96,243.96,243.96
Balance Sheet,Reserves,-289.65,,,,-95.89,,,,-30.87,,,,-38.41,183.19,142.60,-9.28,4.61,-31.89,-114.17,-176.39,-232.72
Balance Sheet,Borrowings,372.93,,,,119.20,,,,43.23,,,,23.25,164.62,142.74,362.91,302.40,348.87,369.93,358.67,355.27
Balance Sheet,Other Liabilities,178.11,,,,71.41,,,,106.44,,,,129.63,186.47,151.90,223.12,224.80,167.26,169.67,184.87,199.32
Balance Sheet,Total Liabilities,505.35,,,,338.68,,,,379.20,,,,374.87,778.24,681.20,820.71,775.77,728.20,669.39,611.11,565.83
Balance Sheet,Fixed Assets,3.93,,,,3.88,,,,43.43,,,,36.62,85.18,69.48,3.80,4.20,13.36,12.39,13.78,4.81
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.00,0.10,2.76,8.66,0.00,0.00,0.00,0.00
Balance Sheet,Investments,14.21,,,,9.48,,,,7.74,,,,2.18,147.63,150.19,51.81,51.85,43.88,32.99,29.04,17.57
Balance Sheet,Other Assets,487.21,,,,325.32,,,,328.03,,,,336.07,545.43,461.43,762.34,711.06,670.96,624.01,568.29,543.45
Balance Sheet,Total Assets,505.35,,,,338.68,,,,379.20,,,,374.87,778.24,681.20,820.71,775.77,728.20,669.39,611.11,565.83
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-13.08,,,,327.32,,,,0.04,,,,20.18,-20.65,65.68,28.11,48.35,-8.20,-12.97,17.43,6.21
Cash Flows,Cash from Investing Activity,-7.85,,,,-123.40,,,,6.87,,,,2.55,17.88,-23.09,12.30,18.92,7.23,19.51,1.99,7.32
Cash Flows,Cash from Financing Activity,17.33,,,,-202.55,,,,-7.85,,,,-22.89,2.75,-43.66,-40.16,-62.56,-3.63,-6.04,-20.88,-9.94
Cash Flows,Net Cash Flow,-3.60,,,,1.36,,,,-0.94,,,,-0.15,-0.02,-1.07,0.26,4.71,-4.59,0.50,-1.46,3.59
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,12.73,,,,4.22,,,,77.14,,,,18.38,14.38,20.66,14.32,53.08,79.21,16.16,12.52,33.14
Ratios,Inventory Days,40980.34,,,,9891.18,,,,,,,,7769.29,0.00,0.00,,,,,,
Ratios,Days Payable,270.93,,,,52.00,,,,,,,,714.66,,,,,,,,
Ratios,Cash Conversion Cycle,40722.14,,,,9843.39,,,,77.14,,,,7073.01,14.38,20.66,14.32,53.08,79.21,16.16,12.52,33.14
Ratios,Working Capital Days,373.01,,,,550.35,,,,1247.55,,,,487.25,-463.11,-413.63,1295.28,980.50,2259.53,2688.86,1154.02,2967.88
Ratios,ROCE %,3.08%,,,,61.18%,,,,-2.20%,,,,0.70%,7.74%,0.29%,6.13%,7.28%,-1.65%,-8.79%,-5.48%,-4.36%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,57.53%,57.54%,57.54%,59.98%,59.39%,59.39%,61.40%,61.40%,61.40%,61.40%,61.34%,61.34%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.99%,0.99%,0.94%,1.06%,0.97%,0.02%,0.00%,0.04%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.17%,0.17%,0.17%,0.15%,0.15%,0.15%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,42.28%,42.28%,42.28%,39.84%,39.44%,39.44%,37.48%,37.36%,37.45%,38.41%,38.50%,38.47%,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,33108,33187,33079,33101,33585,37026,37553,45425,46090,44679,44719,44635,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,57.53%,,,,59.98%,,,,61.40%,,,,61.34%,,,,57.53%,57.53%,57.53%,57.53%,57.53%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,1.06%,,,,0.04%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.18%,,,,0.18%,,,,0.17%,,,,0.15%,,,,0.18%,0.18%,0.18%,0.18%,0.18%
Shareholding Pattern (Yearly),Public,42.28%,,,,39.84%,,,,37.36%,,,,38.47%,,,,42.28%,42.28%,42.28%,42.28%,42.28%
Shareholding Pattern (Yearly),No. of Shareholders,33790,,,,33101,,,,45425,,,,44635,,,,28527,31491,31124,31148,31209
,,,,,,,,,,,,,,,,,,,,,,
