Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,5.07,1.32,1.97,3.23,5.91,2.08,3.33,4.06,11.87,14.79,3.42,2.36,2.30,,,,,,,,
Quarterly Results,Expenses,6.81,2.11,2.51,3.98,3.06,2.34,4.17,4.33,7.90,13.59,2.60,1.66,2.23,,,,,,,,
Quarterly Results,Operating Profit,-1.74,-0.79,-0.54,-0.75,2.85,-0.26,-0.84,-0.27,3.97,1.20,0.82,0.70,0.07,,,,,,,,
Quarterly Results,OPM %,-34.32%,-59.85%,-27.41%,-23.22%,48.22%,-12.50%,-25.23%,-6.65%,33.45%,8.11%,23.98%,29.66%,3.04%,,,,,,,,
Quarterly Results,Other Income,0.05,0.00,0.01,0.00,0.01,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,,,,,,,,
Quarterly Results,Interest,0.50,0.51,0.58,0.69,0.66,0.71,0.76,0.85,0.75,0.66,0.56,0.67,0.55,,,,,,,,
Quarterly Results,Depreciation,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,
Quarterly Results,Profit before tax,-2.21,-1.32,-1.13,-1.46,2.19,-0.99,-1.59,-1.12,3.21,0.53,0.25,0.02,-0.49,,,,,,,,
Quarterly Results,Tax %,-0.90%,-0.76%,-0.88%,-0.68%,-0.46%,-1.01%,0.63%,0.00%,-0.93%,-1.89%,-4.00%,-50.00%,-2.04%,,,,,,,,
Quarterly Results,Net Profit,-2.19,-1.32,-1.12,-1.45,2.20,-0.98,-1.60,-1.11,3.24,0.53,0.25,0.03,-0.49,,,,,,,,
Quarterly Results,EPS in Rs,-0.40,-0.24,-0.21,-0.27,0.41,-0.18,-0.30,-0.20,0.60,0.10,0.05,0.01,-0.09,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,9.89,,,,12.03,,,,21.33,,,,22.87,31.67,35.54,32.40,30.81,29.12,28.04,10.20,9.36
Profit & Loss,Expenses,13.29,,,,11.26,,,,18.73,,,,20.11,29.56,32.65,29.70,28.27,26.71,34.24,17.04,14.81
Profit & Loss,Operating Profit,-3.40,,,,0.77,,,,2.60,,,,2.76,2.11,2.89,2.70,2.54,2.41,-6.20,-6.84,-5.45
Profit & Loss,OPM %,-34.38%,,,,6.40%,,,,12.19%,,,,12.07%,6.66%,8.13%,8.33%,8.24%,8.28%,-22.11%,-67.06%,-58.23%
Profit & Loss,Other Income,1.28,,,,0.01,,,,0.04,,,,0.01,0.33,-0.03,0.13,0.15,0.18,0.14,-0.10,0.00
