Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,212,237,313,306,317,287,333,336,341,330,417,398,370,,,,,,,,
Quarterly Results,Expenses,164,155,204,200,219,199,215,218,236,236,270,264,255,,,,,,,,
Quarterly Results,Operating Profit,48,82,110,107,98,88,118,118,106,94,147,134,115,,,,,,,,
Quarterly Results,OPM %,23%,35%,35%,35%,31%,31%,35%,35%,31%,28%,35%,34%,31%,,,,,,,,
Quarterly Results,Other Income,6,6,8,8,9,8,8,9,13,12,11,13,15,,,,,,,,
Quarterly Results,Interest,16,14,13,14,14,15,13,14,17,18,18,18,18,,,,,,,,
Quarterly Results,Depreciation,22,22,22,23,23,25,27,28,32,34,35,35,34,,,,,,,,
Quarterly Results,Profit before tax,16,52,81,78,70,56,85,85,69,53,105,94,77,,,,,,,,
Quarterly Results,Tax %,22%,25%,24%,26%,23%,25%,26%,26%,26%,26%,25%,27%,27%,,,,,,,,
Quarterly Results,Net Profit,12,39,62,58,54,42,63,63,51,40,79,69,57,,,,,,,,
Quarterly Results,EPS in Rs,1.30,3.76,6.02,5.71,5.28,4.04,6.20,6.12,5.02,3.89,7.77,6.76,5.55,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,974,,,,1174,,,,1297,,,,1516,122,169,234,321,402,543,719,650
Profit & Loss,Expenses,666,,,,774,,,,865,,,,1022,98,128,204,266,332,391,519,485
Profit & Loss,Operating Profit,308,,,,400,,,,432,,,,494,24,41,30,55,69,151,201,165
Profit & Loss,OPM %,32%,,,,34%,,,,33%,,,,33%,20%,24%,13%,17%,17%,28%,28%,25%
Profit & Loss,Other Income,19,,,,31,,,,37,,,,51,3,10,16,11,10,8,10,10
Profit & Loss,Interest,56,,,,58,,,,63,,,,77,3,3,3,3,4,42,48,46
Profit & Loss,Depreciation,83,,,,90,,,,112,,,,138,13,9,18,22,28,60,69,73
Profit & Loss,Profit before tax,187,,,,282,,,,295,,,,330,11,38,24,41,47,58,93,56
Profit & Loss,Tax %,26%,,,,25%,,,,26%,,,,26%,53%,35%,28%,24%,22%,22%,41%,29%
Profit & Loss,Net Profit,139,,,,212,,,,218,,,,244,5,25,17,31,36,45,55,40
