Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,251.90,240.02,347.24,350.25,399.24,312.52,203.33,262.39,268.27,216.64,263.05,275.17,293.20,,,,,,,
Quarterly Results,Expenses,236.26,233.71,339.57,340.68,371.59,296.38,191.18,245.16,254.81,205.23,262.47,270.20,281.14,,,,,,,
Quarterly Results,Operating Profit,15.64,6.31,7.67,9.57,27.65,16.14,12.15,17.23,13.46,11.41,0.58,4.97,12.06,,,,,,,
Quarterly Results,OPM %,6.21%,2.63%,2.21%,2.73%,6.93%,5.16%,5.98%,6.57%,5.02%,5.27%,0.22%,1.81%,4.11%,,,,,,,
Quarterly Results,Other Income,-0.92,3.60,3.33,7.10,-5.33,2.04,1.13,1.78,0.51,0.96,9.40,5.43,1.59,,,,,,,
Quarterly Results,Interest,3.25,3.84,4.06,5.69,6.62,7.19,3.94,7.27,2.84,3.23,2.66,2.87,2.91,,,,,,,
Quarterly Results,Depreciation,1.08,1.06,1.18,1.23,1.25,1.42,1.33,1.45,1.45,1.73,1.40,1.37,1.37,,,,,,,
Quarterly Results,Profit before tax,10.39,5.01,5.76,9.75,14.45,9.57,8.01,10.29,9.68,7.41,5.92,6.16,9.37,,,,,,,
Quarterly Results,Tax %,28.78%,15.57%,10.94%,20.00%,19.24%,22.05%,17.98%,13.31%,21.07%,16.33%,27.03%,9.90%,28.71%,,,,,,,
Quarterly Results,Net Profit,7.40,4.23,5.13,7.80,11.67,7.46,6.58,8.92,7.65,6.20,4.31,5.55,6.67,,,,,,,
Quarterly Results,EPS in Rs,0.06,0.03,0.04,0.05,0.08,0.05,0.04,0.06,0.05,0.04,0.03,0.04,0.04,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,768,,,,1337,,,,1047,,,,1048,192,242,260,377,504,353,470
Profit & Loss,Expenses,726,,,,1285,,,,987,,,,1019,187,227,240,354,488,344,452
Profit & Loss,Operating Profit,42,,,,51,,,,59,,,,29,6,15,20,22,16,9,18
Profit & Loss,OPM %,5%,,,,4%,,,,6%,,,,3%,3%,6%,8%,6%,3%,2%,4%
Profit & Loss,Other Income,9,,,,8,,,,5,,,,17,3,3,4,5,5,6,8
Profit & Loss,Interest,11,,,,20,,,,21,,,,12,5,6,8,6,9,10,8
Profit & Loss,Depreciation,4,,,,5,,,,6,,,,6,2,3,3,2,3,3,3
Profit & Loss,Profit before tax,36,,,,35,,,,38,,,,29,1,9,13,18,9,2,15
Profit & Loss,Tax %,24%,,,,22%,,,,20%,,,,21%,22%,30%,28%,31%,11%,80%,16%
Profit & Loss,Net Profit,27,,,,27,,,,30,,,,23,1,6,9,13,8,0,12
Profit & Loss,EPS in Rs,0.22,,,,0.19,,,,0.19,,,,0.15,0.01,0.05,0.08,0.10,0.07,0.00,0.10
Profit & Loss,Dividend Payout %,3%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,8,,,,47,,,,154,,,,155,1,7,8,8,8,8,8
Balance Sheet,Reserves,118,,,,204,,,,181,,,,209,18,18,44,70,79,79,92
Balance Sheet,Borrowings,138,,,,193,,,,145,,,,89,56,58,57,63,90,83,85
Balance Sheet,Other Liabilities,94,,,,252,,,,254,,,,305,21,23,26,11,24,67,62
Balance Sheet,Total Liabilities,358,,,,695,,,,734,,,,758,96,107,135,153,200,238,248
Balance Sheet,Fixed Assets,57,,,,106,,,,110,,,,103,12,17,26,42,41,41,51
Balance Sheet,CWIP,6,,,,1,,,,1,,,,10,6,1,1,0,1,7,4
Balance Sheet,Investments,8,,,,13,,,,6,,,,5,13,12,2,2,5,7,8
Balance Sheet,Other Assets,288,,,,574,,,,617,,,,640,65,77,106,109,154,183,184
Balance Sheet,Total Assets,358,,,,695,,,,734,,,,758,96,107,135,153,200,238,248
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-35,,,,-96,,,,18,,,,51,3,5,-7,5,-17,30,25
Cash Flows,Cash from Investing Activity,-9,,,,-53,,,,-1,,,,3,-7,-2,-1,-9,-3,-7,-10
Cash Flows,Cash from Financing Activity,41,,,,143,,,,-13,,,,-66,9,-5,10,6,17,-17,-6
Cash Flows,Net Cash Flow,-3,,,,-6,,,,5,,,,-12,5,-1,1,2,-3,6,9
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,64,,,,76,,,,85,21,36,46,37,47,75,41
Ratios,Inventory Days,53,,,,58,,,,51,,,,47,55,54,84,37,40,61,62
Ratios,Days Payable,37,,,,63,,,,88,,,,106,5,26,25,5,15,67,43
Ratios,Cash Conversion Cycle,67,,,,58,,,,38,,,,26,71,64,105,69,72,69,60
Ratios,Working Capital Days,77,,,,79,,,,119,,,,113,65,67,95,82,84,96,69
Ratios,ROCE %,21%,,,,15%,,,,12%,,,,8%,,19%,22%,20%,12%,7%,13%
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,70.46%,65.40%,65.40%,65.11%,63.91%,57.14%,57.22%,56.70%,56.33%,47.97%,47.97%,47.97%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.76%,4.49%,3.33%,2.74%,2.16%,0.33%,0.33%,0.08%,0.05%,0.17%,0.07%,0.44%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.71%,0.66%,0.66%,0.67%,0.63%,0.69%,0.59%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
Shareholding Pattern (Quarterly),Public,,26.07%,29.44%,30.60%,31.48%,33.30%,41.83%,41.84%,43.24%,43.61%,51.87%,51.98%,51.60%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,19273,24278,33592,54997,59608,71733,74086,164880,279751,851948,850598,842661,,,,,,,
