Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,1713,1779,1794,2012,2573,2247,2341,2111,2678,2094,2044,1983,2397,,,,,,,,
Quarterly Results,Expenses,1418,1476,1606,1729,2161,1903,1935,1714,2259,1773,1730,1704,2078,,,,,,,,
Quarterly Results,Operating Profit,295,303,188,283,412,343,406,397,419,320,314,279,319,,,,,,,,
Quarterly Results,OPM %,17%,17%,10%,14%,16%,15%,17%,19%,16%,15%,15%,14%,13%,,,,,,,,
Quarterly Results,Other Income,9,6,7,9,11,7,12,7,14,8,10,199,23,,,,,,,,
Quarterly Results,Interest,33,47,55,61,77,93,117,102,104,113,120,113,113,,,,,,,,
Quarterly Results,Depreciation,108,107,122,136,141,150,163,180,154,168,170,175,183,,,,,,,,
Quarterly Results,Profit before tax,163,155,18,95,205,108,138,121,175,48,34,191,46,,,,,,,,
Quarterly Results,Tax %,24%,27%,30%,31%,26%,27%,27%,31%,26%,27%,27%,4%,46%,,,,,,,,
Quarterly Results,Net Profit,118,109,4,51,151,74,72,82,129,37,26,182,26,,,,,,,,
Quarterly Results,EPS in Rs,5.02,4.61,0.13,2.18,6.38,3.15,3.05,3.58,5.46,1.57,1.09,7.72,1.16,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,6004,,,,8157,,,,9376,,,,8518,3684,3655,3582,3967,4425,5162,5389,5291
Profit & Loss,Expenses,4713,,,,6971,,,,7811,,,,7286,3120,2935,2504,2759,3310,4117,4241,3733
Profit & Loss,Operating Profit,1291,,,,1186,,,,1565,,,,1233,564,721,1077,1208,1115,1046,1149,1558
Profit & Loss,OPM %,22%,,,,15%,,,,17%,,,,14%,15%,20%,30%,30%,25%,20%,21%,29%
Profit & Loss,Other Income,28,,,,33,,,,39,,,,241,63,85,75,40,32,25,34,30
Profit & Loss,Interest,113,,,,241,,,,416,,,,459,189,196,184,105,61,53,73,88
Profit & Loss,Depreciation,402,,,,506,,,,646,,,,695,306,251,305,286,294,300,317,357
Profit & Loss,Profit before tax,803,,,,472,,,,542,,,,319,131,358,663,857,792,718,792,1144
Profit & Loss,Tax %,-11%,,,,28%,,,,27%,,,,16%,13%,32%,20%,24%,29%,29%,24%,33%
Profit & Loss,Net Profit,882,,,,315,,,,356,,,,270,114,247,545,664,566,511,605,784
Profit & Loss,EPS in Rs,37.30,,,,13.31,,,,15.23,,,,11.54,4.81,10.34,22.90,27.84,23.95,21.68,25.65,33.22
Profit & Loss,Dividend Payout %,8%,,,,15%,,,,16%,,,,17%,21%,15%,13%,11%,13%,14%,10%,9%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,24,,,,24,,,,24,,,,24,24,24,24,24,24,24,24,24
Balance Sheet,Reserves,6595,,,,6837,,,,7214,,,,7418,2435,2602,3109,3772,4089,4513,4978,5708
Balance Sheet,Borrowings,3950,,,,4507,,,,4936,,,,4675,2910,2734,2141,1437,1121,1637,3032,3110
Balance Sheet,Other Liabilities,2589,,,,3224,,,,4095,,,,4213,1476,1646,1670,1838,1936,2029,2099,2613
Balance Sheet,Total Liabilities,13157,,,,14592,,,,16270,,,,16330,6846,7006,6944,7071,7169,8203,10132,11455
Balance Sheet,Fixed Assets,7773,,,,10195,,,,12053,,,,12378,4650,4882,5026,5211,5323,5400,6049,6978
Balance Sheet,CWIP,3034,,,,1987,,,,1378,,,,1353,354,263,147,120,175,853,1840,2355
Balance Sheet,Investments,297,,,,273,,,,319,,,,90,283,358,327,210,240,259,276,307
Balance Sheet,Other Assets,2054,,,,2138,,,,2519,,,,2509,1559,1503,1444,1529,1432,1692,1967,1814
Balance Sheet,Total Assets,13157,,,,14592,,,,16270,,,,16330,6846,7006,6944,7071,7169,8203,10132,11455
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1135,,,,1412,,,,1906,,,,1399,509,932,1089,1117,1124,793,748,1892
Cash Flows,Cash from Investing Activity,-1816,,,,-1694,,,,-1911,,,,-542,-571,-477,-261,-280,-490,-1202,-1921,-1779
Cash Flows,Cash from Financing Activity,715,,,,274,,,,-28,,,,-782,53,-436,-950,-665,-793,653,1194,-64
Cash Flows,Net Cash Flow,35,,,,-8,,,,-33,,,,75,-9,18,-122,172,-159,243,21,50
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,21,,,,21,,,,33,,,,31,30,38,48,51,37,35,36,26
Ratios,Inventory Days,342,,,,240,,,,209,,,,215,363,280,341,314,273,242,270,253
Ratios,Days Payable,199,,,,174,,,,211,,,,199,93,123,133,140,130,111,143,154
Ratios,Cash Conversion Cycle,165,,,,87,,,,31,,,,48,300,195,256,225,179,165,163,125
Ratios,Working Capital Days,-11,,,,-23,,,,-34,,,,-43,19,18,-16,-8,-5,-4,23,-11
Ratios,ROCE %,9%,,,,6%,,,,8%,,,,5%,,10%,16%,18%,16%,13%,12%,15%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,42.33%,42.29%,42.29%,42.29%,42.11%,42.11%,42.11%,42.29%,42.29%,42.29%,42.75%,42.55%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.86%,6.63%,7.14%,7.55%,7.95%,7.85%,7.94%,7.43%,7.38%,6.61%,6.88%,7.29%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,33.40%,33.75%,32.25%,32.46%,32.44%,33.37%,32.92%,32.24%,31.14%,30.87%,30.89%,30.14%,,,,,,,,
Shareholding Pattern (Quarterly),Government,,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,3.39%,,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.03%,13.96%,14.94%,14.31%,14.11%,13.29%,13.64%,14.66%,15.81%,16.85%,16.10%,16.64%,,,,,,,,
