Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,391,497,304,304,350,487,316,334,365,543,353,344,419,,,,,,,,
Quarterly Results,Expenses,355,422,273,294,316,433,287,300,325,486,312,307,375,,,,,,,,
Quarterly Results,Operating Profit,35,74,30,11,34,54,29,34,40,57,41,37,44,,,,,,,,
Quarterly Results,OPM %,9%,15%,10%,3%,10%,11%,9%,10%,11%,10%,12%,11%,10%,,,,,,,,
Quarterly Results,Other Income,2,5,9,7,7,4,3,3,4,3,3,4,6,,,,,,,,
Quarterly Results,Interest,3,3,4,7,7,6,6,7,6,4,3,4,5,,,,,,,,
Quarterly Results,Depreciation,7,8,8,8,9,9,9,9,10,9,9,9,9,,,,,,,,
Quarterly Results,Profit before tax,28,68,26,2,25,43,18,20,28,47,33,27,35,,,,,,,,
Quarterly Results,Tax %,29%,29%,43%,98%,-73%,23%,56%,36%,30%,23%,60%,43%,19%,,,,,,,,
Quarterly Results,Net Profit,46,61,3,1,58,40,-4,26,44,39,17,89,36,,,,,,,,
Quarterly Results,EPS in Rs,5.34,7.00,0.30,0.10,6.73,4.56,-0.48,3.04,5.05,4.54,1.94,10.24,4.11,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1460,,,,1458,,,,1501,,,,1659,785,863,865,881,932,1036,974,1209
Profit & Loss,Expenses,1234,,,,1305,,,,1345,,,,1479,722,783,785,764,814,909,871,1014
Profit & Loss,Operating Profit,226,,,,152,,,,157,,,,179,63,80,80,117,118,128,103,195
Profit & Loss,OPM %,15%,,,,10%,,,,10%,,,,11%,8%,9%,9%,13%,13%,12%,11%,16%
Profit & Loss,Other Income,8,,,,24,,,,14,,,,16,11,21,43,22,44,24,46,22
Profit & Loss,Interest,9,,,,21,,,,25,,,,17,36,38,40,34,22,15,15,10
Profit & Loss,Depreciation,33,,,,34,,,,37,,,,36,49,25,25,26,28,29,31,33
Profit & Loss,Profit before tax,193,,,,122,,,,109,,,,142,-11,39,57,79,112,107,103,175
Profit & Loss,Tax %,34%,,,,12%,,,,33%,,,,34%,-71%,7%,-0%,30%,30%,30%,33%,34%
Profit & Loss,Net Profit,303,,,,124,,,,106,,,,181,-3,90,192,205,176,172,170,279
Profit & Loss,EPS in Rs,34.95,,,,14.28,,,,12.18,,,,20.84,-0.36,10.39,22.21,23.63,20.31,19.89,19.56,32.16
Profit & Loss,Dividend Payout %,3%,,,,7%,,,,6%,,,,5%,-70%,3%,2%,2%,2%,3%,3%,3%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,,,,9,,,,9,,,,9,9,9,9,9,9,9,9,9
Balance Sheet,Reserves,3750,,,,3875,,,,4052,,,,4224,513,602,2514,2707,2877,3044,3201,3475
Balance Sheet,Borrowings,224,,,,308,,,,242,,,,256,408,413,363,336,213,187,238,152
Balance Sheet,Other Liabilities,312,,,,273,,,,273,,,,294,117,140,173,211,217,224,266,332
Balance Sheet,Total Liabilities,4294,,,,4465,,,,4575,,,,4783,1047,1164,3059,3263,3315,3464,3713,3968
Balance Sheet,Fixed Assets,523,,,,563,,,,565,,,,559,411,407,407,424,424,443,467,472
Balance Sheet,CWIP,19,,,,12,,,,6,,,,5,12,10,22,11,10,5,21,36
Balance Sheet,Investments,3053,,,,3058,,,,3172,,,,3340,198,261,2129,2270,2366,2477,2602,2817
Balance Sheet,Other Assets,699,,,,832,,,,832,,,,879,427,487,501,558,515,539,624,643
Balance Sheet,Total Assets,4294,,,,4465,,,,4575,,,,4783,1047,1164,3059,3263,3315,3464,3713,3968
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,88,,,,-43,,,,135,,,,132,123,89,79,47,126,88,36,190
Cash Flows,Cash from Investing Activity,-138,,,,-27,,,,-21,,,,-107,-50,-15,6,-9,13,-33,-63,-73
Cash Flows,Cash from Financing Activity,63,,,,54,,,,-100,,,,-11,-55,-77,-57,-48,-150,-36,27,-104
Cash Flows,Net Cash Flow,13,,,,-17,,,,14,,,,14,18,-3,28,-9,-12,20,0,14
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,15,,,,17,,,,22,29,30,30,30,35,33,31,28
Ratios,Inventory Days,203,,,,273,,,,262,,,,232,171,195,202,256,207,194,264,217
Ratios,Days Payable,26,,,,11,,,,13,,,,17,22,28,50,46,36,33,50,48
Ratios,Cash Conversion Cycle,200,,,,277,,,,267,,,,237,178,198,183,239,206,194,246,197
Ratios,Working Capital Days,85,,,,131,,,,126,,,,117,110,101,87,108,100,80,104,82
Ratios,ROCE %,5%,,,,3%,,,,3%,,,,4%,3%,7%,4%,3%,4%,4%,3%,5%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,53.97%,53.97%,53.97%,53.88%,53.88%,53.88%,53.88%,54.81%,54.81%,54.81%,54.81%,54.81%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,3.02%,2.94%,1.98%,1.16%,0.73%,0.71%,0.90%,0.85%,0.98%,0.96%,1.42%,0.81%,,,,,,,,
