Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,108,119,125,138,183,214,235,252,256,260,277,279,261,,,
Quarterly Results,Expenses,93,107,107,115,151,177,188,201,202,210,217,217,200,,,
Quarterly Results,Operating Profit,15,12,18,23,32,38,46,51,54,50,60,61,61,,,
Quarterly Results,OPM %,14%,10%,14%,17%,18%,18%,20%,20%,21%,19%,22%,22%,23%,,,
Quarterly Results,Other Income,6,8,7,1,5,6,4,11,21,18,17,20,20,,,
Quarterly Results,Interest,1,0,0,0,0,0,0,0,0,0,0,0,0,,,
Quarterly Results,Depreciation,8,8,8,8,11,11,10,10,10,9,9,8,8,,,
Quarterly Results,Profit before tax,12,11,16,15,26,32,39,52,65,58,68,73,72,,,
Quarterly Results,Tax %,6%,24%,17%,10%,-31%,22%,24%,22%,24%,22%,24%,23%,24%,,,
Quarterly Results,Net Profit,12,8,13,13,34,25,30,40,50,45,52,57,55,,,
Quarterly Results,EPS in Rs,1.08,0.78,1.20,1.22,3.12,2.30,2.77,3.43,4.24,3.85,4.43,4.79,4.64,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,367,,,,565,,,,957,,,,1077,262,399,251
Profit & Loss,Expenses,334,,,,479,,,,766,,,,845,239,423,244
Profit & Loss,Operating Profit,32,,,,87,,,,191,,,,232,23,-24,7
Profit & Loss,OPM %,9%,,,,15%,,,,20%,,,,22%,9%,-6%,3%
Profit & Loss,Other Income,16,,,,20,,,,42,,,,76,11,59,13
Profit & Loss,Interest,7,,,,3,,,,3,,,,1,4,10,9
Profit & Loss,Depreciation,30,,,,36,,,,41,,,,35,20,43,36
Profit & Loss,Profit before tax,11,,,,67,,,,189,,,,272,9,-18,-25
Profit & Loss,Tax %,22%,,,,-2%,,,,23%,,,,23%,-16%,13%,16%
Profit & Loss,Net Profit,8,,,,68,,,,145,,,,209,11,-20,-29
Profit & Loss,EPS in Rs,0.78,,,,6.31,,,,12.34,,,,17.70,168.40,-306.87,-436.20
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,12,,,,12,0.65,0.65,0.66
Balance Sheet,Reserves,608,,,,699,,,,1439,,,,1671,142,137,244
Balance Sheet,Borrowings,18,,,,18,,,,17,,,,16,54,144,117
Balance Sheet,Other Liabilities,140,,,,208,,,,255,,,,205,87,116,78
Balance Sheet,Total Liabilities,777,,,,936,,,,1722,,,,1904,285,397,440
Balance Sheet,Fixed Assets,222,,,,396,,,,364,,,,348,106,216,168
