Section,,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,1803,1726,1685,1220,1708,1754,1494
Quarterly Results,Expenses,1543,1443,1438,1160,1493,1575,1481
Quarterly Results,Operating Profit,260,283,246,60,215,180,14
Quarterly Results,OPM %,14%,16%,15%,5%,13%,10%,1%
Quarterly Results,Other Income,46,33,149,29,-32,41,84
Quarterly Results,Interest,43,44,47,46,53,54,53
Quarterly Results,Depreciation,60,60,70,75,76,79,91
Quarterly Results,Profit before tax,203,213,278,-32,53,87,-47
Quarterly Results,Tax %,32%,24%,15%,-28%,20%,26%,-5%
Quarterly Results,Net Profit,139,162,236,-23,42,64,-45
Quarterly Results,EPS in Rs,,,,,6.92,10.53,-7.38
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,,6535,,,,6177
Profit & Loss,Expenses,,,5599,,,,5709
Profit & Loss,Operating Profit,,,937,,,,468
Profit & Loss,OPM %,,,14%,,,,8%
Profit & Loss,Other Income,,,2310,,,,121
Profit & Loss,Interest,,,196,,,,207
Profit & Loss,Depreciation,,,246,,,,321
Profit & Loss,Profit before tax,,,2805,,,,60
Profit & Loss,Tax %,,,6%,,,,36%
Profit & Loss,Net Profit,,,2645,,,,38
Profit & Loss,EPS in Rs,,,,,,,6.27
Profit & Loss,Dividend Payout %,,,0%,,,,0%
,,,,,,,,
Balance Sheet,Equity Capital,,,2,,,,12
Balance Sheet,Reserves,,,9661,,,,9575
Balance Sheet,Borrowings,,,1539,,,,2288
Balance Sheet,Other Liabilities,,,1854,,,,1960
Balance Sheet,Total Liabilities,,,13055,,,,13836
Balance Sheet,Fixed Assets,,,7497,,,,7762
Balance Sheet,CWIP,,,51,,,,124
Balance Sheet,Investments,,,900,,,,966
Balance Sheet,Other Assets,,,4607,,,,4985
Balance Sheet,Total Assets,,,13055,,,,13836
,,,,,,,,
Cash Flows,Cash from Operating Activity,,,38,,,,404
Cash Flows,Cash from Investing Activity,,,1305,,,,-281
Cash Flows,Cash from Financing Activity,,,-1403,,,,58
Cash Flows,Net Cash Flow,,,-60,,,,182
,,,,,,,,
Ratios,Debtor Days,,,52,,,,54
Ratios,Inventory Days,,,216,,,,231
Ratios,Days Payable,,,157,,,,174
Ratios,Cash Conversion Cycle,,,111,,,,111
Ratios,Working Capital Days,,,112,,,,125
Ratios,ROCE %,,,,,,,3%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,54.67%,54.67%,54.67%
Shareholding Pattern (Quarterly),FIIs,,,,,12.63%,12.34%,10.51%
Shareholding Pattern (Quarterly),DIIs,,,,,7.89%,7.91%,7.88%
Shareholding Pattern (Quarterly),Public,,,,,24.78%,25.03%,26.90%
Shareholding Pattern (Quarterly),Others,,,,,0.03%,0.03%,0.03%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,154304,150903,151117
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,54.67%
Shareholding Pattern (Yearly),FIIs,,,,,,,10.51%
Shareholding Pattern (Yearly),DIIs,,,,,,,7.88%
Shareholding Pattern (Yearly),Public,,,,,,,26.90%
Shareholding Pattern (Yearly),Others,,,,,,,0.03%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,151117
,,,,,,,,
