Section,,Mar 2024,Mar 2025,Jun 2025
Quarterly Results,Sales,,,
Quarterly Results,Expenses,,,
Quarterly Results,Operating Profit,,,
Quarterly Results,OPM %,,,
Quarterly Results,Other Income,,,
Quarterly Results,Interest,,,
Quarterly Results,Depreciation,,,
Quarterly Results,Profit before tax,,,
Quarterly Results,Tax %,,,
Quarterly Results,Net Profit,,,
Quarterly Results,EPS in Rs,,,
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,3,565,
Profit & Loss,Expenses,22,504,
Profit & Loss,Operating Profit,-19,61,
Profit & Loss,OPM %,-543%,11%,
Profit & Loss,Other Income,1,2,
Profit & Loss,Interest,27,46,
Profit & Loss,Depreciation,0,1,
Profit & Loss,Profit before tax,-45,15,
Profit & Loss,Tax %,-2%,-15%,
Profit & Loss,Net Profit,-44,18,
Profit & Loss,EPS in Rs,,,
Profit & Loss,Dividend Payout %,0%,0%,
,,,,
Balance Sheet,Equity Capital,0.15,2,
Balance Sheet,Reserves,-1,46,
Balance Sheet,Borrowings,231,466,
Balance Sheet,Other Liabilities,531,790,
Balance Sheet,Total Liabilities,762,1304,
Balance Sheet,Fixed Assets,1,2,
Balance Sheet,CWIP,1,0,
Balance Sheet,Investments,4,10,
Balance Sheet,Other Assets,756,1292,
Balance Sheet,Total Assets,762,1304,
,,,,
Cash Flows,Cash from Operating Activity,-226,-237,
Cash Flows,Cash from Investing Activity,-6,-7,
Cash Flows,Cash from Financing Activity,234,261,
Cash Flows,Net Cash Flow,2,17,
,,,,
Ratios,Debtor Days,7,0,
Ratios,Inventory Days,,,
Ratios,Days Payable,,,
Ratios,Cash Conversion Cycle,7,0,
Ratios,Working Capital Days,58284,591,
Ratios,ROCE %,,16%,
,,,,
Shareholding Pattern (Quarterly),Promoters,,,48.87%
Shareholding Pattern (Quarterly),FIIs,,,15.52%
Shareholding Pattern (Quarterly),DIIs,,,6.35%
Shareholding Pattern (Quarterly),Public,,,29.23%
Shareholding Pattern (Quarterly),Others,,,0.03%
Shareholding Pattern (Quarterly),No. of Shareholders,,,261564
,,,,
Shareholding Pattern (Yearly),Promoters,,,48.87%
Shareholding Pattern (Yearly),FIIs,,,15.52%
Shareholding Pattern (Yearly),DIIs,,,6.35%
Shareholding Pattern (Yearly),Public,,,29.23%
Shareholding Pattern (Yearly),Others,,,0.03%
Shareholding Pattern (Yearly),No. of Shareholders,,,261564
,,,,
