Section,,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,,,,,,
Quarterly Results,Expenses,,,,,,
Quarterly Results,Operating Profit,,,,,,
Quarterly Results,OPM %,,,,,,
Quarterly Results,Other Income,,,,,,
Quarterly Results,Interest,,,,,,
Quarterly Results,Depreciation,,,,,,
Quarterly Results,Profit before tax,,,,,,
Quarterly Results,Tax %,,,,,,
Quarterly Results,Net Profit,,,,,,
Quarterly Results,EPS in Rs,,,,,,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,,,,,,
Profit & Loss,Expenses,,,,,,
Profit & Loss,Operating Profit,,,,,,
Profit & Loss,OPM %,,,,,,
Profit & Loss,Other Income,,,,,,
Profit & Loss,Interest,,,,,,
Profit & Loss,Depreciation,,,,,,
Profit & Loss,Profit before tax,,,,,,
Profit & Loss,Tax %,,,,,,
Profit & Loss,Net Profit,,,,,,
Profit & Loss,EPS in Rs,,,,,,
Profit & Loss,Dividend Payout %,,,,,,
,,,,,,,
Balance Sheet,Equity Capital,,,,,,
Balance Sheet,Reserves,,,,,,
Balance Sheet,Borrowings,,,,,,
Balance Sheet,Other Liabilities,,,,,,
Balance Sheet,Total Liabilities,,,,,,
Balance Sheet,Fixed Assets,,,,,,
Balance Sheet,CWIP,,,,,,
Balance Sheet,Investments,,,,,,
Balance Sheet,Other Assets,,,,,,
Balance Sheet,Total Assets,,,,,,
,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,
Cash Flows,Net Cash Flow,,,,,,
,,,,,,,
Ratios,Debtor Days,,,,,,
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,,,,,,
Ratios,Working Capital Days,,,,,,
Ratios,ROCE %,,,,,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
Shareholding Pattern (Quarterly),FIIs,4.33%,1.83%,1.34%,1.02%,0.90%,0.59%
Shareholding Pattern (Quarterly),DIIs,3.03%,2.78%,1.54%,1.72%,1.89%,1.58%
Shareholding Pattern (Quarterly),Public,17.64%,20.40%,22.13%,22.27%,22.22%,22.82%
Shareholding Pattern (Quarterly),No. of Shareholders,21491,39766,38426,35962,35996,37955
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,75.00%,,,,75.00%
Shareholding Pattern (Yearly),FIIs,,1.83%,,,,0.59%
Shareholding Pattern (Yearly),DIIs,,2.78%,,,,1.58%
Shareholding Pattern (Yearly),Public,,20.40%,,,,22.82%
Shareholding Pattern (Yearly),No. of Shareholders,,39766,,,,37955
,,,,,,,
