Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,207375,218855,229409,216737,212834,207559,231886,225086,236533,231784,231535,239986,261388,,,,,,,,
Quarterly Results,Expenses,176009,181157,198438,181728,174478,169466,190918,184430,194017,193019,192477,196197,217556,,,,,,,,
Quarterly Results,Operating Profit,31366,37698,30971,35009,38356,38093,40968,40656,42516,38765,39058,43789,43832,,,,,,,,
Quarterly Results,OPM %,15%,17%,14%,16%,18%,18%,18%,18%,18%,17%,17%,18%,17%,,,,,,,,
Quarterly Results,Other Income,2602,2275,3656,3377,2996,3813,3841,3869,4534,3983,4876,4214,4905,,,,,,,,
Quarterly Results,Interest,3556,3997,4554,5201,5819,5837,5731,5789,5761,5918,6017,6179,6155,,,,,,,,
Quarterly Results,Depreciation,8001,8942,9726,10183,11452,11775,12585,12903,13569,13596,12880,13181,13479,,,,,,,,
Quarterly Results,Profit before tax,22411,27034,20347,23002,24081,24294,26493,25833,27720,23234,25037,28643,29103,,,,,,,,
Quarterly Results,Tax %,20%,28%,24%,23%,11%,25%,25%,25%,24%,25%,24%,24%,23%,,,,,,,,
Quarterly Results,Net Profit,18021,19443,15512,17806,21327,18258,19878,19641,21243,17445,19323,21930,22611,,,,,,,,
Quarterly Results,EPS in Rs,11.98,13.27,10.09,11.67,14.26,11.83,12.85,12.76,14.01,11.19,12.24,13.70,14.34,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,694673,,,,876396,,,,899041,,,,964693,433521,374372,272583,303954,390823,568337,596679,466307
Profit & Loss,Expenses,586092,,,,734078,,,,736543,,,,799249,398586,336923,230802,257647,326508,484087,507413,385517
Profit & Loss,Operating Profit,108581,,,,142318,,,,162498,,,,165444,34935,37449,41781,46307,64315,84250,89266,80790
Profit & Loss,OPM %,16%,,,,16%,,,,18%,,,,17%,8%,10%,15%,15%,16%,15%,15%,17%
Profit & Loss,Other Income,19600,,,,12020,,,,16179,,,,17978,8865,8528,12212,9222,9869,8406,8570,22432
Profit & Loss,Interest,14584,,,,19571,,,,23118,,,,24269,3836,3316,3691,3849,8052,16495,22027,21189
Profit & Loss,Depreciation,29782,,,,40303,,,,50832,,,,53136,11201,11547,11565,11646,16706,20934,22203,26572
Profit & Loss,Profit before tax,83815,,,,94464,,,,104727,,,,106017,28763,31114,38737,40034,49426,55227,53606,55461
Profit & Loss,Tax %,19%,,,,22%,,,,25%,,,,24%,22%,24%,23%,25%,27%,28%,26%,3%
Profit & Loss,Net Profit,67845,,,,74088,,,,79020,,,,81309,22548,23640,29861,29833,36080,39837,39880,53739
Profit & Loss,EPS in Rs,44.87,,,,49.29,,,,51.45,,,,51.47,16.31,17.07,21.51,21.55,26.69,29.28,29.10,38.75
Profit & Loss,Dividend Payout %,9%,,,,9%,,,,10%,,,,11%,12%,12%,10%,11%,10%,10%,10%,9%
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,6765,,,,6766,,,,6766,,,,13532,2940,2943,2948,2959,5922,5926,6339,6445
Balance Sheet,Reserves,772720,,,,709106,,,,786715,,,,829668,195747,215556,228608,260750,287584,381186,442827,693727
Balance Sheet,Borrowings,319158,,,,451664,,,,458991,,,,369575,138761,168251,194714,217475,239843,307714,355133,278962
Balance Sheet,Other Liabilities,399979,,,,438346,,,,502576,,,,737346,91395,117736,172727,225618,277924,302804,358716,340931
Balance Sheet,Total Liabilities,1498622,,,,1605882,,,,1755048,,,,1950121,428843,504486,598997,706802,811273,997630,1163015,1320065
Balance Sheet,Fixed Assets,627798,,,,724805,,,,779985,,,,1092041,141417,156458,184910,198526,403885,398374,532658,541258
Balance Sheet,CWIP,172506,,,,293752,,,,338855,,,,169710,91494,166462,228697,324837,187022,179463,109106,125953
Balance Sheet,Investments,394264,,,,235560,,,,225672,,,,242381,60602,76451,84015,82899,82862,235635,276767,364828
Balance Sheet,Other Assets,304054,,,,351765,,,,410536,,,,445989,135330,105115,101375,100540,137504,184158,244484,288026
Balance Sheet,Total Assets,1498622,,,,1605882,,,,1755048,,,,1950121,428843,504486,598997,706802,811273,997630,1163015,1320065
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,110654,,,,115032,,,,158788,,,,178703,43261,34374,38134,49550,71459,42346,94877,26958
Cash Flows,Cash from Investing Activity,-109162,,,,-93001,,,,-113581,,,,-137535,-73070,-64706,-36186,-66201,-68192,-94507,-72497,-142385
Cash Flows,Cash from Financing Activity,17289,,,,10455,,,,-16646,,,,-31891,13713,8444,-3210,8617,-2001,55906,-2541,101904
Cash Flows,Net Cash Flow,18781,,,,32486,,,,28561,,,,9277,-16096,-21888,-1262,-8034,1266,3745,19839,-13523
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,12,,,,12,,,,13,,,,16,8,5,6,10,16,19,12,15
Ratios,Inventory Days,83,,,,87,,,,95,,,,85,57,66,90,84,83,63,67,102
Ratios,Days Payable,123,,,,91,,,,111,,,,108,61,74,117,132,146,100,87,136
Ratios,Cash Conversion Cycle,-27,,,,7,,,,-3,,,,-8,4,-2,-21,-38,-46,-18,-9,-19
Ratios,Working Capital Days,-13,,,,-9,,,,-10,,,,21,-3,-37,-117,-141,-144,-67,-101,12
Ratios,ROCE %,8%,,,,9%,,,,10%,,,,9%,10%,9%,10%,10%,11%,12%,11%,8%
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.62%,50.56%,50.49%,50.41%,50.39%,50.27%,50.30%,50.31%,50.33%,50.24%,50.13%,50.10%,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,23.90%,23.58%,23.48%,22.49%,22.55%,22.60%,22.13%,22.06%,21.75%,21.30%,19.16%,19.07%,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,14.67%,14.91%,15.26%,16.06%,16.13%,15.99%,16.59%,16.98%,17.30%,17.61%,19.02%,19.36%,,,,,,,,
